I brought ... and gave ... where ... 	Babylon, my capital city, they saw my ... and ... their ... 
You throw hand-water to Sîn, ... the ‘heart’ (and) ‘wrist,’ and say: “May the heart of your god, the heart of your fate, the hand of your god and the hand of your goddess become disengaged for you!” You say (thus) and ... 	“May the heart of your god, the heart of your fate, the hand of your god and the hand of your goddess be disengaged for you!” You say (thus), he performs his rinsings, and his evil will be released. You sweep (the room), swing the purification device, take his hand and make him rise. His seed will solidify. He performs his rinsings and his evil will be removed.
Dannaya (and) Aššur-da''in-šarru, reporters... 	Tablet of Dannaya, eunuch; Aššur-da''in-šarru, reporter. Month Adar (XII), ... day, eponym year of Sagab (651).
mount an attack against ... Ša-Nabû-šû and his army, and kill and plunder (them)?	(... whether) either Mugallu the Melidean, or ... , or Iškallû the Tabalean, ... , or any other enemy, will mount an attack against Ša-Nabû-šû and his army,
If Leo is black: the land will not be happy.	If Jupiter carries radiance: the king is well; the land will become happy.
from Babylon to ... 	... to the bodyguard and to ... 
Til-Barsip             	Marduk-bani-zeri             
Šarru-emuranni, 'third man' of the crown prince;	1, Šamaš-šarru-uṣur, chief eunuch of the crown prince;
to the Borsippeans ... 	... the god Aššur, my lord, encouraged me and I marched to the land Judah. In the course of my campaign, I received a payment from the kings of ... With the strength of (the god) Aššur, my lord, I ... the district of ... -Yaū (Hezekiah) of the land Judah like ... (5') ... the city Azaqâ, a place upon which he relied, which (is situated) between my ... and the land Judah, ... is situated upon a mountain peak. Like the blade(s) of daggers, without number, they rise up high into the heavens ... were well fortified and rival high mountains. Looking upon (them), like ... from the heavens ... 
May Šamaš and Marduk bless the crown prince, my lord!	To the king, my lord: your servant Mar-Issar. Good health to the king, my lord! May Nabû and Marduk bless the king, my lord! May the great gods bestow lasting days, well-being and joy upon the king, my lord!
Total, ... minas of silver.	Whoever in the future, at any time, breaks the contract, whether Sin-nadin-ahi or his sons or relatives, and seeks a lawsuit or litigation against Sin-šarru-uṣur and his sons, shall pay 10 minas of silver, 5 minas of gold, and four white horses to Sin residing in Harran, and shall return the silver tenfold to its owners. He shall contest in his lawsuit and not succeed.
Addî, Šarru-lu-dari, Bagusu:	Šarru-lu-dari has contracted and bought the estate from Zabinu ... for half mina of silver.
... if in the river ... 	whom they guided like a father and a mother, whose foes they killed, (and) whose adversaries they cut down; the one who the god Ea created for dominion over the world and ... in the entire ... ; (the one) who the luminary of the heavens, the god Sîn, crowned with the crown of lordship to make the foundation of the land firm (and) to organize the people; (the one) in whose hands the god Nabû, overseer of the universe, placed a just scepter (and) legitimate rod for shepherding a widespread population; ... to bring order to what is confused, to repair what is destroyed ... ; whose head they lifted to make the gods Bēl (Marduk) and Nabû reside ... ; who comprehends rational thought and counsel, who speaks eloquent (words), ... , administer of just verdicts; whose words are pleasing to the people like a mountain apple; to whom treacherous talk is taboo (and) lies an abomination; the forbearing one, the purification-priest ... ; who ... their taboo; protector ... ;
2 cavalry mounts, 	I hitched up 2,002 chariots (and equipped) 5,542 cavalry for the forces of my land.
Concerning NN, about whom the king, my lord wrote to me, ... dwelt	Concerning the people of Barik-il about whom the king, my lord, wrote to me, now then Nabû-šallim of Larak has seized 53 souls and given them to Umadi, the bodyguard of the crown prince.
shall place 10 minas of silver and one mina of gold in the lap of Ištar of Nineveh, and shall return the money tenfold to its owners. He shall contest in his lawsuit and not succeed.	shall place 10 minas of refined silver (and) x minas of pure gold in the lap of Ninurta residing in Calah, and shall return the money tenfold to its owners. He shall contest in his lawsuit and not succeed.
... will achieve life ... 	... the god Adad ... will erase ... 
Whoever in the future, at any time, lodges a complaint, shall return the money tenfold to its owners.	shall tie 2 white horses at the feet Sin residing in Harran, shall return the money tenfold to its owners.
Witness Urda-Šamaš. Witness Šamaš-eriba.	Witness Ahû'a-eriba. Witness Šamaš-nammir, merchant.
... Niqi-Tubliš	... iq-ili 14 persons, Il-yaba 2 persons, Uqayyaqi 2 persons.
x fat sheep and spring lambs;	1 sheep, 1 spring lamb, 1 duck, 10 turtledoves, in hallam-type preparation;
On my third campaign, I marched against Baʾalu, the king of the land Tyre who resides in the middle of the sea. Because he did not honor my royal command(s and) did not obey the pronouncement(s) from my lips, I set up outposts against him. By sea and dry land, I took control of (all of) his routes. I constricted (and) cut short their lives. I made them (the people of Tyre) bow down to my yoke.	On my third campaign, I marched against Baʾalu, the king of the land Tyre who resides in the middle of the sea. Because he did not honor my royal command(s and) did not obey the pronouncement(s) from my lip(s), (iii 20') I set up outposts against him. To prevent his people from leaving, I reinforced (its) garrison. By sea and dry land, I took control of (all of) his routes (and thus) cut off (all) access to him. (iii 25') I made water and food for the preservation of their lives scarce for their mouths. I confined them in a harsh imprisonment from which there was no escape. I constricted (and) cut short their lives. I made them (the people of Tyre) bow down to my yoke.
Witness ... buri... 	Witness NN, ... of ... 
... guršî;	... greatly bless the king, my lord.
The left side of the gall bladder is attached ... 	If the left of the gall bladder is attached: your expeditionary force will slay the enemy.
— On the 1st day the moon became visible.	If on the 14th day the moon and sun are seen together: the speech of the land will become reliable; the land will become happy; the king will become happy; the gods will remember Akkad favorably; there will be joy among people; the cattle of Akkad will lie in the steppe undisturbed.
Witness Uarbis, ditto.	Witness NN, ditto ditto.
Šulmu-... , ... ;	Šulmu-šarri, ... has contracted and bought it for 1/2 mina of silver ... 
... praises you, lady ... 	... the praises of mankind ... 
Bel-šallim, son of Yadi'-il;	Munnabitu, son of Bel-mušallim, son of Ukkayu.
with the messenger of NN	in the presence of Nabû-ballussu-iqbi,
until your enemies ... 	... Esagil ... heaven and netherworld to ... I irrigated; I ... the great gods of heaven and netherworld, the people ... made bow down to his feet, overwhelmed his enemies, ... 
I have set (aside) ... for the king, my lord; let them fetch and consult ... 	I have set (aside) ... for the king, my lord; let them fetch and consult (the dictionary) Arû = "to lead."
1 irginu-coloured horse, 2 mares: in all 3 horses — Harmaku/ki.	1 red horse, 3 irginu-coloured horses, 14 mares: in all 18 horses, 
The money is paid completely... and field, house, garden, 2 wells are purchased and acquired. Any revocation, lawsuit, or litigation is void.	The money is paid completely. That field, vacant lot, half a garden are purchased and acquired. Any revocation, lawsuit, or litigation is void.
... the rest of ... 	... the god Aššur, my lord, encouraged me and I marched to the land Judah. In the course of my campaign, I received a payment from the kings of ... With the strength of (the god) Aššur, my lord, I ... the district of ... -Yaū (Hezekiah) of the land Judah like ... (5') ... the city Azaqâ, a place upon which he relied, which (is situated) between my ... and the land Judah, ... is situated upon a mountain peak. Like the blade(s) of daggers, without number, they rise up high into the heavens ... were well fortified and rival high mountains. Looking upon (them), like ... from the heavens ... 
The men of the governor of Arrapha are doing the ferrying at Bab-bitqi.	Now, let the governor of Arrapha's boat go and serve as a ferry at Bab-bitqi, and let mine come so we can use it to bring  straw and fodder over at Opis.
Witness Innanni, superintendent of Nineveh.	Witness Mannu-ki-Ninua, ... superintendent.
3 seahs of grapes, 1 seah of ... ,	9 seahs of honey, 5 seahs of oil ... 
I received payment from the chieftains of Chaldea, Balāssu of (the land Bīt)-Dakkūri (lit. “son of Dakkūri”), Nādinu of (the city) Larak, Marduk-apla-iddina (II) (Merodach-baladan) of (the land Bīt)-Yakīn (lit. “son of Yakīn”), king of the Sealand: natural, unrefined gold, silver, precious stones, ebony, ellūtu-wood, oxen, (and) sheep and goats.	I received the payment of Balāssu of (the land Bīt)-Dakkūri (lit. “son of Dakkūri”) (and) Nādinu of (the city) Larak: silver, gold, (and) precious stones. (As for) Marduk-apla-iddina (II) (Merodach-baladan) of (the land Bīt)-Yakīn (lit. “son of Yakīn”), a king of the Sea(land) who had not come before any of the kings, my ancestors, and who had not kissed their feet, fear of the brilliance of (the god) Aššur, my lord, overwhelmed him and he came to the city Sapīya (Šapīya), before me, and kissed my feet. I received as his payment natural, unrefined gold in great quantity, jewelry made of gold, a gold necklace, pearls (lit. “precious stones, produce of the sea”), beams of ebony, ellūtu-wood, ašqulālu-plant(s), amīlānu-plant(s), multi-colored garments, all types of aromatics, oxen, and sheep and goats.
Witness Tabalayu, ditto. Witness NN.	Witness Na'di-ilu, ... Witness ... -ašared.
If Gemini stand in the halo of the moon and ... 	If the sun stands in the halo of the moon: (in) all lands (people) will speak the truth; the son will speak the truth with his father.
Urad-Adad, ... ;	Just as I, when I was to ask directly (the will of) Šamaš and Adad, ... listened to their ... , so you too make the haruspices to ... !
of the chief of the fodder supplies.	When Balṭaya, chief of the fodder supplies, goes to his fate in my palace with a good repute, they shall bury him where he  dictates, and he shall lie where it was his wish. Where he lies you  shall not disturb him, and you shall not raise your hand against him, to do him evil, because he is one who has deserved kindness and  favour of the king his lord.
This night, the moon was surrounded by a halo, and Jupiter and Scorpius stood in it.	If the moon is surrounded by a halo, and two stars stand in the halo with the moon: a reign of long days.
Emelamanna: the ziggurat of Anu.	Egišlamšaršar: the ziggurat of Adad. The three ziggurats of Assur. 
Witness Šarru-nadin-ahhe.	Witness Issar-nadin-ahhe, ša šēpi guard.
total, the 28th day.	total, the palace personnel.
To the god Marduk, his lord: Esarhaddon, king of Assyria, gave (this eyestone) for his (long) life.	For the god Marduk, his lord: Esarhaddon, king of Assyria (and) king of Babylon, had baked bricks made anew for Esagil and Etemenanki.
They took booty ... 	The town of ... uinna, a district in the charge of NN.
and after he had boasted in the middle ... 	The coils of the colon ... (and) are 15 in number and are damp. In the middle ... 
Seal of Lu-šakin son of Sariuni from the city of Bit-abi-ilaya, owner of the land being sold for a number of years.	Seal of Urdu-Issar, son of Urdu-Aššur, from the town of Kankanu, owner of the field being sold for a number of years.
Month Sivan (III) ... 	Month Nisan (I), 9th day, eponym year of Sagab (651).
Nabû-šumu-iddina;	Marduk-šumu-iddina 
All this ... came in.	I have been informed that the sheet of gold of the temple of Aššur which they took has been recovered. The ... and the thieves ... are in custody, and the ... who took the gold (from them) is in hand. Basali, the goldsmith, has come and remounted it. I heard (first-hand) and wrote to the king, my lord.
I am indeed the provider.	the wise king who occupies himself with good matters, (who) turned his attention to (re)settling abandoned pasture lands, opening up unused land, (and) planting orchards; (35) (who) conceived the idea of raising crops on high mountain(-slopes) where no vegetation had ever sprouted; (who) was minded to provide with rows of furrows the waste land which had known no plow under previous kings, to have (the plowmen) sing the alālu-work song, to open up for watering place(s) the springs of a meadowland without wells, and to irrigate all around (lit.: “above and below”) with water as abundant as the surge at the (annual) inundation;
He refused the river ordeal.	Nabû, who returns and goes to Borsippa, and sprinkles about the stamens of the date palms there: (that) is because Bel went to (the place of) the river ordeal. The city has revolted against him and they are fighting in there.
... -Nabû together	His son Melarṭua, and Abaliuqunu, the governor of ... , together with their troops ... 
Seal of Mutaqqin-ilu, owner of the man.	Seal of ... , owner of the ... being sold.
Month Tammuz (IV), ... th day, eponym year of Mannu-ki-Adad.	Month ... , ... th day, eponym year of Sin-šarru-uṣur, palace scribe.
... I establish 	I, Šamaš-rēša-uṣur, governor of the land of Sūḫu and the land of Mari, brought down from the mountain of the people of Ḫabḫu the bees which gather honey — which none from among my forefathers had seen or brought down to the land of Sūḫu — and I established them in the gardens of the town Āl-gabbāri-bānî.
my energy to ... 	Month Tammuz (IV), 2nd day, eponym year of ... 
26 1/2 minas in ... 	like those of the city of Dahina in ... 
Witness Adad-abu-uṣur, son of Duri-Adad.	Witness Nergal-šarru-uṣur, son of Dayyan-Adad.
... they ... us	... they removed again
Witness Azi-il, ditto.	Witness Azi-il, scribe.
... he has gone... 	... his ... in the town of ... 
... messages ... 	They shall cut out his tongue. For the future, until far-off  days, among these Assyrian craftsmen, 'enterers,' performers of ilku-service ... his face ... 
2 minas for the hind-part of the ... -garments.	If the ‘Head Lift’ (mukīl rēši) of the right side of the lung is swollen, (then) rejoicing for the heart of the army.
1, governor of Arrapha;	for the governor of Arrapha, the road in question is very slow. He sets out from Zaban, and it takes him three days to get there, while I can make a round-trip to Parsua going this way.
Month Sivan (III), 16th day, eponym year of Ša-Nabû-šû.	Month Tebet (X), 25th day, eponym year of Bel-na'id, commander-in-chief.
... Sin-iqbi.	Witness Bel-šarru-ibni. Witness ... -iqbi.
Ditto by all the gods of Kilizi!	Ditto by all the gods of Nineveh!
Witness Pilaqqanu, commander-of-fifty of the mounted archers.	Witness Sangu-Issar, commander-of-fifty of the tanners of  coloured leather.
... they ... and	... they removed again
Snake ... 	Witness ... 
If Venus in Tebet (X) from the 1st to the 30th day disappears in the west: the harvest of the land will prosper.	If in Kislev (IX) from the 1st day to the 30th day Venus disappears in the east: there will be a famine of barley and straw in the land.
Witness Urda-Inurta, scribe.	Witness Nabû-nammir, scribe.
Month Elul (VI), 28(th) day, eponym year of Šamaš-šarru-ibni.	Month ... , ... th day, eponym year of Sin-šarru-uṣur, palace scribe.
... has exceeded Der ... 	... has seized (... ) his gods ... 
If the moon at its appearance is high and becomes visible: the enemy will plunder in the land.	If the moon at its appearance stands low and becomes visible: the enemy will plunder in the land.
to Nabû-tartiba-uṣur	... Nabû-mar-šarri-uṣur
May a later prince, when that wall, ziggurrat, and gate become dilapidated, restore them. (Then) the goddess Ištar will listen to his prayers.	A later prince, when the wall and its gates become dilapidated, must rebuild (them). (Then) Aššur and the god Adad will listen to his prayers. May he return my clay cone to its place.
Witness Ziziya, ditto.	Witness NN, ditto ditto.
we want to become strong ... 	If Orion comes close to the moon: the days of the reign of the king will become long ... 
Otherwise, ... to Kiṣir-Aššur.	Let them write to Kiṣir-Aššur that he should make available the straw in the Merchant Town and Šitabni, so we can use it for the work.
Seal of Nergal-šarru-uṣur, ... 	seal of Sin-šarru-uṣur, deputy of ditto,
the lady Ekallitu in ... 	While I was in the process of defeating ... the land Ellipi ... the city Šaparda, ... (and) the land Uqquti (and) receiving substantial tribute, (the following happened in the west):
Witness Nuhšaya, ... conscript.	Witness Nuhšaya, cohort commander of the chief eunuch.
... , his son, ... s ... 	They killed La-adiru-ili and his sons ... 
For the second time ... 	What are the written instructions of the crown prince, my lord? May Bel and Nabû, who are betrothed in the month of Shebat (XI), protect the life of the crown prince, my lord. May they extend your kingship to the end of time.
The king of Elam ... is in Bit-Bunakki.	Perhaps the king, my lord, will say: "What is the news of the king of Elam?" The king of Elam is in the mountain, in the town Burati. He has not set out, he is still there.
Witness ... ni, 2 (witnesses from) Šuru.	witness ... i, 2 (witnesses from) In-mati. Witness Azi-il,
4 heads (and) breasts of x roast sheep.	x head(s) (and) the breasts of 4 roast sheep.
My ... , whom ... to ... 	... holds ... ; ... have passed into the possession of the people of Kannu'.
NN, son of Balasu, ... 	Miniwî, son of NN, ... 
In intercalary Adar (XII/2) on the 14th day the moon will be seen with the sun.	If the moon and sun are in balance: reliable speech will be placed in the mouth of people; ... ; i.e. on the 14th day (the moon) will be seen with the sun.
... saying: "Just as	The letter which the king, my lord, sent to me, saying: "Dispatch a copy of it to Nabû-iqiša, and let him copy it and dispatch it to the royal delegate of Araši" — the letter of his which he dispatched has disappeared from the hands of his messenger, and nobody knows ... 
in all 7 bronzesmiths; 1 of 4 spans' height; 1 3 spans' height; 5 ... 	In all, 10 farmers, 3 adolescents, 5 of 5 spans' height; 2 of 4 spans' height; 1 of 3 spans' height; 1 weaned; 2 suckling.
Should Esarhaddon, king of Assyria, strive and plan? Should he summon the governor of ... along with men, horses, and army, as (great as) he wishes, and send them to collect a tribute of horses?	Should Assurbanipal, son of Esarhaddon, king of Assyria, strive and plan? Should he send Ša-Nabû-šû, chief eunuch, with men, horses, and an army, as great as he wishes, to the city ... in the district of Ellipi, and should they go?
... a libation jar ... 	He pours out a libation bowl ... 
I will come out ... with them	Perhaps the emissaries of Hubuškia will come with me
total, 3, in the Land of the ... Official;	A Chaldean (Šūzubu), ... a rash fellow, a chariot fighter, a servant who belonged to the governor of the city Laḫīru, (... ) who in the time of my father fled like a bird on account of  the beating of the ... -official and the tearing out (of his hair) ... and wandered about in the open country, who entered Babylon when there was rebellion and revolt (... ) and was reckoned as one of them: They (the Babylonians) exalted him over them and they entrusted him with the kingship of the land of Sumer and Akkad.
... rib of ... ;	... his ... in the town of ... 
Witness Mannu-ki-Adad, ... 	Witness Ṣil-Adad, servant of chief of granaries.
... the Ru'uean(s)	... the 'mule-house man'
The 'station' is present. The beginning of the 'path' ... 	... The 'station' is present. The 'path' is present. The 'strength' and 'well-being' are present. In the left side of the gall bladder a 'foot'-mark is overturned ... 
... The vertebrae are recessed ... 	The vertebrae are recessed. The coils of the colon are double on the left, and ... 
A tablet of Datâ to her brother Šumu-iddina.	Šullumâ asks about the health of his brother Šumu-iddina.
Samsi-... ,	to the teams ... 
If the moon becomes visible on the 1st day: reliable speech; the land will  become happy.	If on the 14th day the moon and sun are seen together: reliable speech; the land will become happy; the gods will remember Akkad favorably; the king will become happy; joy among the troops; the cattle of Akkad will lie in the steppe undisturbed.
which I didn't see, the house ... 	... jars of wine in the house ... 
A bow ... 	I filled Mount Ḫauranu (Hauran) with ... (15) I carried off ... (and) ... thousand sheep. I conquered ... Moreover, as for her (Samsi?), the terrifying radiance of (the god) Aššur, my lord, overwhelmed her and ... I spared her so (she would) praise (the victory of the god Aššur)... I set up ... as governors. 
the outpost and the garrison	On my seventh campaign, the god Aššur, my lord, encouraged me and (iv 55) I marched to the land Elam. In the course of my campaign, I conquered (and) plundered the cities Bīt-Ḫaʾiri (and) Raṣā, cities on the border of Assyria that the Elamites had taken away by force in the time of my ancestor(s). I had my garrisons stationed inside them. (iv 60) I brought (those cities) back inside the border of Assyria and placed (them) under the authority of the garrison commander of Dēr.
The 'mass' rides upon the left side of the gall bladder.	... is present. The left of the gall bladder is attached.
The base of the gall bladder is loose on the right, firm on the left... 	The left of the gall bladder is split. There is a hole in the left of the 'finger.'
adjoining the vineyard of Ahu-duri,	A vacant lot adjoining Nurtî, a garden, an estate of 1 hectare 6 decares of land in the town of Bit-Dagan, adjoining the garden of Arbailayu, (the estate of) Qurdi-Issar, the canal of Adian, and (the estate) of Bel-taklak —
... anywhere	... wherever he goes ... 
You sing: “Bright Lord, king of the gods” ... 	... the god Aššur, the great lord, king of the gods ... 
