not to harm ... 	... to conquer a land not obedient to me ... 
until your enemies ... 	... I cried out in mourning, I raged like a lion, and my mood became furious. In order to exercise kingship (over) the house of my father I beat my hands together. I prayed to the gods Aššur, Sîn, Šamaš, Bēl, Nabû, and Nergal, Ištar of Nineveh, (and) Ištar of Arbela and they accepted my word(s). With their firm ‘yes’, they were sending me reliable omen(s), (saying): ‘Go! Do not hold back! We will go and kill your enemies.’ 
I have set (aside) ... for the king, my lord; let them fetch and consult ... 	I have set (aside) ... for the king, my lord; let them fetch and consult (the dictionary) Arû = "to lead."
1 irginu-coloured horse, 2 mares: in all 3 horses — Harmaku/ki.	1 red horse, 3 irginu-coloured horses, 14 mares: in all 18 horses, 
The money is paid completely... and field, house, garden, 2 wells are purchased and acquired. Any revocation, lawsuit, or litigation is void.	The money is paid completely. Those fields, houses and people are purchased and acquired. Any revocation, lawsuit, or litigation is void.
... the rest of ... 	... the overseer of ... "
Witness Tabalayu, ditto. Witness NN.	Witness Tabalayu. Witness Puhî.
If Gemini stand in the halo of the moon and ... 	If the sun stands in the halo of the moon: in all lands (people) will speak the truth; the son will speak the truth with his father.
Urad-Adad, ... ;	sons ... they allowed (me) to trample my enemy under my feet. No one in the future who comes forward should say: “How did Ninurta-kudurrī-uṣur inflict this defeat?” By the gods Adad and Apla-Adad ... 
of the chief of the fodder supplies.	When Balṭaya, chief of the fodder supplies, goes to his fate in my palace with a good repute, they shall bury him where he  dictates, and he shall lie where it was his wish. Where he lies you  shall not disturb him, and you shall not raise your hand against him, to do him evil, because he is one who has deserved kindness and  favour of the king his lord.
This night, the moon was surrounded by a halo, and Jupiter and Scorpius stood in it.	This night the moon was surrounded by a halo in Scorpius, (that is a sign) for rain and flood.
Witness Šarru-nadin-ahhe.	Witness Issar-nadin-ahhe, ša šēpi guard.
total, the 28th day.	1 seah, the 28th day;
They took booty ... 	They took ... 
Month Sivan (III) ... 	Month Sivan (III), 2nd day, eponym year of Nabû-kenu-uṣur, governor of Samaria.
Nabû-šumu-iddina;	Marduk-šumu-iddina 
I am indeed the provider.	Let the seed of my priestly office endure (along) with the foundations of Esagil and Babylon; let (my) kingship be sustaining to the people forever like the plant of life so that I may shepherd their populace in truth and justice; (and) let me reach old age, attain extreme old age, (and) be sated with the prime of life until far-off days. Truly I am the provider.
... -Nabû together	... altogether
Seal of Mutaqqin-ilu, owner of the man.	Seal of Hattayu, owner of the man being sold.
Month Tammuz (IV), ... th day, eponym year of Mannu-ki-Adad.	Month Tammuz (IV), 15th day, eponym year of Sennacherib, king of Assyria.
... I establish 	I, Šamaš-rēša-uṣur, governor of the land of Sūḫu and the land of Mari, brought down from the mountain of the people of Ḫabḫu the bees which gather honey — which none from among my forefathers had seen or brought down to the land of Sūḫu — and I established them in the gardens of the town Āl-gabbāri-bānî.
May the god Marduk, great lord, look upon this work of mine (with pleasure) and may he grant (a long) life to Sargon, the prince who provides for him. May his reign be as firm as the foundation of Babylon.	May the god Marduk, great lord, look upon this work (with pleasure) and may he bestow a (long) life on Sargon, the prince who provides for him! May his reign be as firm as the foundation of Babylon!
my energy to ... 	Be it (something) for name or of appearance ... I did not hear... And someone to ... 
26 1/2 minas in ... 	in all, 102 minas ... 
... they ... us	... these ... 
Witness Azi-il, ditto.	Witness Azi-il, scribe.
... he has gone... 	The king, my lord, knows from those times when I was (still) in his service how he used to regard me and what trust he used to place in me. (But) ever since the king, my lord, appointed me to his household, it has been intolerable to him. In fact, he told the king, my lord, not to appoint me. He regards me as a mortal enemy. He has gone ... (and) he has been spreading tales about me — the king, my lord, should ask the ... s and the servants of the palace scribe.
... messages ... 	message ... 
1, governor of Arrapha;	for the governor of Arrapha, the road in question is very slow. He sets out from Zaban, and it takes him three days to get there, while I can make a round-trip to Parsua going this way.
Month Sivan (III), 16th day, eponym year of Ša-Nabû-šû.	Month Iyyar (II), 6th day, eponym year of NN.
... Sin-iqbi.	Witness Bel-šarru-ibni. Witness ... -iqbi.
Ditto by all the gods of Kilizi!	Ditto by all the gods of Nineveh!
... they ... and	... these ... 
Snake ... 	... wine ... 
If Venus in Tebet (X) from the 1st to the 30th day disappears in the west: the harvest of the land will prosper.	If Venus disappears in the west in Ab (V) from the 1st to the 30th day: there will be rains; the harvest of the land will prosper.
Witness Urda-Inurta, scribe.	Witness Šania, scribe.
Month Elul (VI), 28(th) day, eponym year of Šamaš-šarru-ibni.	Month Elul (VI), 29th day, eponym year of Zazaya.
If the moon at its appearance is high and becomes visible: the enemy will plunder in the land.	If the moon at its appearance stands low and becomes visible: the enemy will plunder in the land.
to Nabû-tartiba-uṣur	In addition, the dame Namirtu was given 10 minas by Lu-ha'il and Bel-naṣir; 3 minas were weighed to Erešu son of Dabibu, the supervisor of Bel-naṣir; 6 minas (were given) to Ašaredu son of Ṭabiya; 1 mina to Nabû-šarra-uṣur, the messenger of the king; 1 mina to Erešu, the messenger of the king of Elam, 10 shekels to ... ê; and 1 2/3 minas to the Urukeans placed at your disposal.
Witness Ziziya, ditto.	Witness Mamî, ditto.
Seal of Nergal-šarru-uṣur, ... 	Seal of Aššur-šarru-uṣur, ... 
Witness Nuhšaya, ... conscript.	Witness Nuhšaya, ... 
... , his son, ... s ... 	Whoever ... , whether Nabû-... , ... , seeks a lawsuit or litigation against ... , his sons, ... ,
For the second time ... 	For a second time, I took the direct road to Egypt (and) Kush. Tanutamon heard about the advance of my expeditionary force and
Witness ... ni, 2 (witnesses from) Šuru.	witness ... i, 2 (witnesses from) In-mati. Witness Azi-il,
4 heads (and) breasts of x roast sheep.	3 heads, the breasts of 4 roast sheep.
My ... , whom ... to ... 	To the king, my lord: your servant PN, the scribe of ... , who ... in ... Good health to the king, my lord! May Nabû and Marduk bless the king, my lord.
NN, son of Balasu, ... 	NN, son of NN, ... 
In the hidden depths of its subterranean waters I very firmly bonded reeds below (and) bitumen above with large (blocks of) limestone. I raised a plot of land that was 554 cubits long (and) 289 cubits wide out of the water and converted (it) into an empty lot. (40) I added (it) to the former dimensions of the terrace, and raised its superstructure in its entirety 190 courses of brick. I enlarged the structure of the palace to 914 large cubits along (its) longer side and 440 large cubits along (its) shorter side and (thus) I made its site bigger.	In its subterranean waters I very firmly bonded reeds below (and) bitumen above with large (blocks of) limestone. I raised a plot of land that was 340 cubits long (and) 289 cubits wide out of the water and converted (it) into an empty lot. I added (it) to the dimensions of the former terrace (and) thereby enlarged the entire terrace to 700 large cubits along (its) longer side and 440 cubits along (its) shorter side. I raised its superstructure 190 courses of brick high.
In intercalary Adar (XII/2) on the 14th day the moon will be seen with the sun.	The moon will reject the day in Adar (XII); on the xth day it will be seen with the sun.
... saying: "Just as	... saying: "It is not Bel
... rib of ... ;	Witness NN, ... of ... 
Witness Mannu-ki-Adad, ... 	Witness Mannu-ki-ṣabi. Witness Tabalu.
... the Ru'uean(s)	... the Ru'u(a)
The 'station' is present. The beginning of the 'path' ... 	The 'station' is present. The middle of the 'path' is effaced. The 'well-being' is present... 
... The vertebrae are recessed ... 	The vertebrae are recessed. The coils of the colon are double on the left, and ... 
Samsi-... ,	Sin-... , son of Bel-Harran-ilê, ... 
If the moon becomes visible on the 1st day: reliable speech; the land will  become happy.	If the moon becomes visible on the 1st day: reliable speech, the land will become happy.
A bow ... 	What else? Let these ... s go out too, don't let ... grow ... 
the outpost and the garrison	The forts and the garrison of the king, my lord, are well.
Disregard what happens after my stipulated term; disregard that they should think about it but turn back and go away... 	Disregard what happens after my stipulated term. Disregard that they (may) think about it, but turn and ... 
The 'mass' rides upon the left side of the gall bladder.	If the 'mass' rides upon the left of the gall bladder: the mass of the enemy's army (will march) against my country.
The base of the gall bladder is loose on the right, firm on the left... 	The base of the gall bladder is firm on the right, loose on the left.
adjoining the vineyard of Ahu-duri,	adjoining the vineyard of Aššur-ila'i,
... anywhere	... wherever he goes ... 
Whoever in the future, at any time, lodges a complaint, whether ... kiki or his sons, and seeks a lawsuit or litigation against Milki-nuri,	Whoever in the future, at any time, lodges a complaint, whether Mannu-ki-Arbail or his sons, and seeks a lawsuit or litigation against Zarpî,
Witness Mahsi-Ia'u.	Witness Bahianu.
... the harvest of the city ... 	... rare steppe animals into the centre of the city ... 
Nabû-bel-šumate;	Witness Nabû-bel-šumati, scribe.
we cannot do the work.'"	I went and ... : "The inscription ... ; why did you last year ... but do not do the work?"
To the king, my lord: your servant Nabû-nadin-šumi. Good health  to the king, my lord! May Nabû and Marduk bless the king, my lord!	To the king, my lord: your servant Mar-Issar. Good health to the king, my lord! May Nabû and Marduk bless the king, my lord! May the great gods bestow lasting days, well-being and joy upon the king, my lord!
x+4 1-year-old (male) sheep,	x+8 1-year-old male sheep, 
1 ... s, the house ... ;	... of the house ... 
... I did not seal	... did not fear his command or the mention of his name, and was not afraid of his lordship
50 of sown land under cultivation therein.	30 hectares of arable land, 15 hectares under cultivation therein.
40 ditto of shallots;	10 ditto of shallots;
Month Tebet (X), 22nd day, eponym year of Mannu-ki-šarri.	Month of Tebet (X), 22nd day, eponym year of Issar-duri, governor of Arrapha (714), 9th year of Sargon (II), king of Assyria.
because of the capture ... 	Concerning the field about which the king, my lord, wrote to me: "Give it to NN" — he took half a league in the town Zaddi on the other side of the river Ša... , because of the town ... 
Just as young sheep and ewes and male and female spring lambs are slit open and their entrails rolled down over their feet, so may the entrails of your sons and your daughters roll down over your feet.	Just as young sheep and ewes and male and female spring lambs are slit open and their entrails rolled down over their feet, so may your entrails (and) the entrails of your sons and your daughters roll down over your feet.
Witness Šarru-šumu-ka''in.	Witness Ilu-šumu-ka''in, chariot fighter of the governor. Witness Kiṣir-Aššur.
Month Tishri (VII), 22nd day, eponym year of Bel-šarrani, governor of Kurbail.	Month Tishri (VII), 25th day, eponym year of Bel-iqbi, governor of Tušhan.
Witness Sin-natannu, ... 	Witness Hanunu, ... 
... gold for ... 	News of Babylon: Marduk left (his temple) in procession on the 25th  of Adar (XII). The son of Nabû-naṣir has given the ... , (but) has not  given the ... for ... 
the priest ... to NN	who regularly received the tribute of their lands and the produce of their mountains, ... designate of the god Anu, the one who with his fierce valor subdued princes (and) all kings, ... overwhelmer of all the unsubmissive (of) the lands Alzu and Purulumzu ... who took over the rule of all the land of the Šubaru ... exalted priest ... who regularly vied with ... with bronze clasps ... valiant hero, creature of the god Adad, who brought about the defeat of ... favorite of the god Ninurta, the one who controlled all quarters with his strong might ... who subdued at his feet ... ; son of Shalmaneser (I), king of Assyria; son of Adad-nārārī (I) (who was) also king of Assyria:
x black horses, 4 irginu-coloured ... ,	5 black horses, 5 irginu-coloured horses,
The night of the 14th day there was no observation; let the son of the king sleep.	The night of the 15th day there was no observation; let the son of the king sleep.
For the god Marduk, great lord, compassionate god who dwells in Esagila, lord of Babylon, his lord: 	For the god Marduk, great lord, compassionate god who dwells in Esagil, lord of Babylon, his lord: 
of 2 male donkeys ... 	1 male donkey ... , in exchange for 1 1/2 minas 7 shekels.
(For) the god Nanna, king of the Enlil (circle of) gods, his lord: Sîn-balāssu-iqbi, viceroy of Ur, who provides for Eridu, built Ekišibgalekura, the abode of the god Ninimma.	(For) the god Nanna, king of the Enlil (circle of) gods, his lord: Sîn-balāssu-iqbi, viceroy of Ur, who provides for Eridu, built Eašanamar, the abode of the god Enlil.
I tore down that palace in its entirety. I took much fallow land from the meadow and plain of the city as an addition (and) I added (it) to (the site). I abandoned the site of the former palace and filled in a terrace in the area of the meadow that I had taken from the river bank. I raised its superstructure 200 courses of brick high.	I tore down that palace in its entirety. (60) As an addition, I took much fallow land from the meadow (and) I added (it) to it. I abandoned the site of the former palace and filled in a terrace in the fallow land that I had taken from the meadow. I raised its superstructure 200 courses of brick high, measured by my large brick mold.
in all, 4 eunuchs.	in all, 4 estates which are given over to the the son(s) of the palace maids of the New Palace.
in all 2 men, owners of the garden being sold.	ditto Aggar, in all 6 men, owner(s) of the field being sold.
the village of Ha... ,	an estate of 4 hectares of land adjoining the road which leads from the village of Dannaya to the village of ... , a total of 5 (hectares) adjoining the field of Išmanni-... 
The upper and lower parts ... 	The upper and lower parts are equal ... 
If he sends him, will ... 	If he, having planned, sends him, will ... attack, kill, or plunder (him)? Will Esarhaddon, king of Assyria, be ... ?
Witness Issar-šumu-lešir.	Witness Issar-šumu-iddina, ... 
... the king, my lord should know ... 	they open ... without the governor's permission; the king my lord should know this.
from Cutha ... 	from there ... 
The baths of Sîn: 	The new baths of Anu: 
18 ditto, ditto, the front ditto, 1 1/2 mina;	... ditto, ditto, the front ditto, 1 1/3 mina;
quickly ... " —	We shall kill this family who is not willing to go with us, and thereafter we shall go and have an audience with the king, our lord." I sent them a messenger, saying: "If you come quickly, ... "
Witness Aššur-na'id.	Witness Issar-na'id.
I decorated them with silver (and) copper knobbed nails... 	The covering of the roof that (hangs) over the corridors — I made their somber atmosphere cheerful, making (them) as bright as day. (vi 40) I decorated them with silver and copper knobbed nails. I adorned the arches, friezes, and all of the copings with baked bricks (glazed in the color of) obsidian (and) lapis lazuli.
Witness Aššur-taqqinanni, ... 	Witness Aššur-bel-ilani, ... 
which in the city of ... 	Performed in the New Palace, in the city ... 
Witness ... ti, son of Laiti-il.	Witness ... i, son of Luqu.
Shalmaneser, appointee of the god Enlil, vice-regent of the god Aššur, strong king, king of Assyria, son of Adad-nārārī (I), vice-regent of the god Aššur, son of Arik-dīn-ili (who was) also vice-regent of the god Aššur:	Shalmaneser, appointee of the god Enlil, vice-regent of Aššur, son of Adad-nārārī (I), vice-regent of Aššur, son of Arik-dīn-ili (who was) also vice-regent of Aššur:
Abdi-Milkūti, its king, in the face of my weapons, fled into the midst of the sea. By the command of the god Aššur, my lord, I caught him like a fish from the midst of the sea and cut off his head. I carried off his wife, his sons, his daughters, his palace retainers, silver, gold, (ii 20') goods and property, precious stones, garments with trimming and linen(s), everything of value from his palace in huge quantities, (and) took away (his) far-flung people (who were) beyond counting, oxen, sheep and goats, (and) donkeys in huge numbers to Assyria. I gathered the kings of Ḫatti (Syria-Palestine) and the seacoast, all of them, and had (them) build a city in another place, and I named it Kār-Esarhaddon.	(As for) Abdi-Milkūti, king of Sidon, (who) did not fear my lordship (and) did not listen to the words of my lips, who trusted in the rolling sea and threw off the yoke of the god Aššur — I leveled Sidon, his stronghold, which is situated in the midst of the sea, like a flood, tore out its wall(s) and its dwelling(s), and (ii 70) threw (them) into the sea; and I (even) made the site where it stood disappear. Abdi-Milkūti, its king, in the face of my weapons, fled into the midst of the sea. By the command of the god Aššur, my lord, I caught him like a fish from the midst of the sea and cut off his head. I carried off his wife, his sons, his daughters, (ii 75) his palace retainers, gold, silver, goods, property, precious stones, garments with trimming and linen(s), elephant hide(s), ivory, ebony, boxwood, everything of value from his palace in huge quantities, (and) took away his far-flung people who were beyond counting, oxen, sheep and goats, and donkeys in huge numbers (ii 80) to Assyria. I gathered the kings of Ḫatti (Syria-Palestine) and the seacoast, all of them, and had (them) build a city in another place, and I named it Kār-Esarhaddon.
They are systematically scaring me. There is no friend of mine here. I put my trust in the king, my lord. I do not give one shekel (or even) half a shekel to anybody but the king, my lord.	Perhaps the king, my lord, will say: "Why haven't you arrested him?" He is in his presence. I am afraid, I cannot seize him without the king, my lord's permission. The king, my lord, should know that there are many in the entourage of the king, my lord, who have invested silver in this house — they and the merchants are systematically scaring me. I (however) put my trust in the king, my lord. I don't give one shekel (or even) half a shekel to anybody but the king, my lord. The king, my lord, should know (this).
a basket of fruit,	a basket of (mixed) fruit.
(With regard to) 154 talents, 26 minas, (and) 10 shekels of red gold, 1,604 talents (and) 20 minas of pure silver, copper, iron, obsidian, lapis-lazuli, banded agate, (... ) blue turquoise, green turquoise (... ), (iii' 5) (and) muššaru-stone in large quantities, blue-purple wool, red-purple wool, garments with multi-colored trim and linen (garments), boxwood, cedar, cypress, (and) every kind of aromatic, the products of Mount Amanus, whose scent(s) are pleasant — from the beginning of my reign until (my) third year, I presented (these things) as gifts (iii' 10) to the deities Marduk, Zarpanītu, Nabû, Tašmētu, and the (other) gods who dwell in the cult centers of the land of Sumer and Akkad.	Happily, with a joyful heart (and) a radiant face, I entered Babylon, the cult center of the Enlil of the gods (Marduk); I grasped hold of the hands of the great lord, the god Marduk, and brought (him) safely along the road to the akītu-house. (With regard to) 154 talents, 26 minas, (and) 10 shekels of red gold, 1,604 talents (and) 20 minas of pure silver, copper (and) iron in immeasurable quantities, obsidian, lapis-lazuli, banded agate, blue turquoise, green turquoise, ... of banded agate (and) muššaru-stone in large quantities, blue-purple wool, red-purple wool, garments with multi-colored trim and linen garments, boxwood, cedar, cypress, (and) every kind of aromatic, the products of Mount Amanus, whose scent(s) are pleasant — from the beginning of my reign until (my) third year, I presented (these things) as gifts to the deities Bēl, Zarpanītu, Nabû, Tašmētu, and the (other) gods who dwell in the cult centers of the land of Sumer and Akkad.
... on the 14th day the moon was seen with the sun.	If the moon and sun are in balance: reliable speech will be placed in the mouth of people; ... ; i.e. on the 14th day (the moon) will be seen with the sun.
The moon will be seen together with the sun, it will let the eclipse pass by, it will not make (it).	The moon will complete the day in Tammuz (IV); on the 14th day, it will be seen with the sun. It will let the eclipse pass by; it will not make it.
May Šamaš with an iron plough overturn your city, your  country and your district.	May Šamaš with an iron plough overturn your city and your district.
700 men ... 	and to my men ... 
And Bel-Harran-... 	Witness Bel-Harran-... 
... judgement of the city ... 	... of the city ... 
... -šaduni ... 	... -ukin ... the work
Month Elul (VI), 5th day, eponym year of Nabû-nadin-ahi.	Month Elul (VI), 29th day, eponym year of Zazaya.
Ilu-u... , reporter.	Witness Ubru-... , porter.
To the king, our lord: your servants Nabû-ahhe-lumur and NN. Good health to the king, our lord. The city and the guard of the king, our lord, are well.	To the king, my lord: your servant Il-yada'. Good health to the king, my lord! The forts and the land of the king my lord are well.
Nabû-ahu-iddina ... 	Witness Nabû-ahu-iddina, firewood supplier of ditto.
I raged up like a lion, then put on armor (and) placed a helmet suitable for combat on my head. (v 15') In my anger, I rode quickly in my exalted battle chariot, which lays enemies low. I took in my hand the mighty bow that the god Aššur had granted to me (and) I grasped in my hand an arrow that cuts off life.	I raged up like a lion, then put on armor (and) placed a helmet suitable for combat on my head. (v 60) In my anger, I rode quickly in my exalted battle chariot, which lays enemies low. I took in my hand the mighty bow that the god Aššur had granted to me (and) I grasped in my hand an arrow that cuts off life.
When they came ... 	... when I came ... 
As for the one who removes my inscriptions and my name: May the goddess Ištar, my mistress, break his weapon (and) hand him over to his enemies.	As for the one who removes my inscriptions and my name: May the goddess Dinitu, my mistress, break his weapon (and) hand him over to his enemies.
We shall see ... 	... and shall send ... 
The 'path' and 'well-being' are present ... 	... The 'station' is present. The 'path' is present. The 'strength' and 'well-being' are present. In the left side of the gall bladder a 'foot'-mark is overturned ... 
... of the Review Palace.	I have personally brought the people of Sin-šabši into the king, my  lord's presence: once to the Review Palace and once to Nineveh.
Hana-Si, shepherd;	Witness Hananu, shepherd.
... , the Sun-image, ... ,	... on the image ... 
2 cuts of shoulder of an ox  of the temple of Dagan, of the chief treasurer;	2 cuts of shoulder, of an ox of the temple of Dagan — of the treasurer of the Aššur temple.
... beet-like carnelian	1 piece of beet-like carnelian for 1.
