not to harm ... 	not to ... 
son of Tiglath-pileser (II), king of the universe, king of Assyria, son of Aššur-rēša-iši (II) (who was) also king of the universe (and) king of Assyria:	son of Aššur-dān (II), king of the universe, king of Assyria, son of Tiglath-pileser (II), king of the universe, king of Assyria, son of Aššur-rēša-iši (II) (who was) also king of the universe (and) king of Assyria:
the gods of the king, my lord, ... 	... of the king, my lord ... 
— On the 1st day the moon became visible.	... on the 29th the moon became visible.
Witness Uarbis, ditto.	Witness Arbailayu, ditto.
Šulmu-... , ... ;	Šamaš-... , ... ;
16 ... 	11 ... 
until your enemies ... 	your enemies ... 
I have set (aside) ... for the king, my lord; let them fetch and consult ... 	I have set (aside) ... for the king, my lord; let them fetch and consult (the dictionary) Arû = "to lead."
The money is paid completely... and field, house, garden, 2 wells are purchased and acquired. Any revocation, lawsuit, or litigation is void.	The money is paid completely. Those fields, houses and people are purchased and acquired. Any revocation, lawsuit, or litigation is void.
... the rest of ... 	... the overseer of ... "
Witness Tabalayu, ditto. Witness NN.	Witness Tabalayu. Witness Puhî.
Witness Šarru-nadin-ahhe.	Witness ... -nadin-ahhe.
... his ... ,	... who ... 
They took booty ... 	They took ... 
Month Sivan (III) ... 	in Sivan (III) ... 
Nabû-šumu-iddina;	Nabû-ahu-iddina;
... -Nabû together	... altogether
... left of the moon ... 	... let them go ... 
Month Tammuz (IV), ... th day, eponym year of Mannu-ki-Adad.	Month Tammuz (IV), 26th day, eponym year of Gir-Ṣapunu.
... I establish 	... establishes.
May the god Marduk, great lord, look upon this work of mine (with pleasure) and may he grant (a long) life to Sargon, the prince who provides for him. May his reign be as firm as the foundation of Babylon.	May the god Marduk, great lord, look upon this work (with pleasure) and may he bestow a (long) life on Sargon, the prince who provides for him! May his reign be as firm as the foundation of Babylon!
26 1/2 minas in ... 	1 1/2 minas ... 
... they ... us	... these ... 
Witness Azi-il, ditto.	Witness Azi-il, scribe.
a well ... 	all ... 
... he has gone... 	... the hands of ... 
... messages ... 	message ... 
1, governor of Arrapha;	1, (governor of) Arrapha;
Month Sivan (III), 16th day, eponym year of Ša-Nabû-šû.	Month Iyyar (II), 6th day, eponym year of NN.
... Sin-iqbi.	... Sîn-ibni
Ditto by all the gods of Kilizi!	Ditto by all the gods of Nineveh!
... they ... and	... these ... 
Snake ... 	asked ... 
If Venus in Tebet (X) from the 1st to the 30th day disappears in the west: the harvest of the land will prosper.	If Venus in Ab (V), from the 1st to the 30th day, disappears in the west: there will be rains; the harvest of the land will prosper.
Witness Urda-Inurta, scribe.	Witness Šania, scribe.
Month Elul (VI), 28(th) day, eponym year of Šamaš-šarru-ibni.	Month Elul (VI), 29th day, eponym year of Zazaya.
If the moon at its appearance is high and becomes visible: the enemy will plunder in the land.	If the moon at its appearance stands low and becomes visible: the enemy will plunder in the land.
Witness Ziziya, ditto.	Witness Mamî, ditto.
Seal of Nergal-šarru-uṣur, ... 	Seal of Aššur-šarru-uṣur, ... 
Witness Nuhšaya, ... conscript.	Witness Nuhšaya, ... 
wood ... 	who ... 
4 heads (and) breasts of x roast sheep.	3 heads, the breasts of 4 roast sheep.
NN, son of Balasu, ... 	NN, son of NN, ... 
In the hidden depths of its subterranean waters I very firmly bonded reeds below (and) bitumen above with large (blocks of) limestone. I raised a plot of land that was 554 cubits long (and) 289 cubits wide out of the water and converted (it) into an empty lot. (40) I added (it) to the former dimensions of the terrace, and raised its superstructure in its entirety 190 courses of brick. I enlarged the structure of the palace to 914 large cubits along (its) longer side and 440 large cubits along (its) shorter side and (thus) I made its site bigger.	In its subterranean waters I very firmly bonded reeds below (and) bitumen above with large (blocks of) limestone. I raised a plot of land that was 340 cubits long (and) 289 cubits wide out of the water and converted (it) into an empty lot. I added (it) to the dimensions of the former terrace (and) thereby enlarged the entire terrace to 700 large cubits along (its) longer side and 440 cubits along (its) shorter side. I raised its superstructure 190 courses of brick high.
In intercalary Adar (XII/2) on the 14th day the moon will be seen with the sun.	In Sivan (III) on the 14th day the moon will be seen together with the sun.
... rib of ... ;	... of ... 
Witness Mannu-ki-Adad, ... 	Witness Mannu-ki-Adad, chief ... 
... the Ru'uean(s)	... the Ru'u(a)
The 'station' is present. The beginning of the 'path' ... 	The 'station' is present. The 'path' ... 
... The vertebrae are recessed ... 	The vertebrae are recessed ... 
Samsi-... ,	Sambi ... ,
If the moon becomes visible on the 1st day: reliable speech; the land will  become happy.	If the moon becomes visible on the 1st day: reliable speech, the land will become happy.
A bow ... 	As to ... 
Disregard what happens after my stipulated term; disregard that they should think about it but turn back and go away... 	Disregard what happens after my stipulated term. Disregard that they (may) think about it, but turn and ... 
The base of the gall bladder is loose on the right, firm on the left... 	The base of the gall bladder is firm on the right, loose on the left.
adjoining the vineyard of Ahu-duri,	adjoining the vineyard of Aššur-ila'i,
... anywhere	... here
Whoever in the future, at any time, lodges a complaint, whether ... kiki or his sons, and seeks a lawsuit or litigation against Milki-nuri,	Whoever in the future, at any time, lodges a complaint, whether Mannu-ki-Arbail or his sons, and seeks a lawsuit or litigation against Zarpî,
Witness Mahsi-Ia'u.	Witness Bahianu.
... the harvest of the city ... 	... the rest of the words ... 
To the king, my lord: your servant Nabû-nadin-šumi. Good health  to the king, my lord! May Nabû and Marduk bless the king, my lord!	To the king, my lord: your servant Nabû-zeru-uṣur, the scribe of the palace supervisor. Good health to the king, my lord! May Nabû and Marduk bless the king, my lord.
x+4 1-year-old (male) sheep,	x+8 1-year-old male sheep, 
1 ... s, the house ... ;	... of the house ... 
... I did not seal	... I did not give
I turned around (lit. “I turned the front of my yoke”) and returned safely to Assyria.	With much plunder (and) substantial booty, I turned around (lit. “I turned the front of my yoke”) and returned safely to Assyria.
40 ditto of shallots;	10 ditto of shallots;
Month Tebet (X), 22nd day, eponym year of Mannu-ki-šarri.	Month Ab (V), 20th day, eponym year of Mannu-ki-Aššur-le'i.
Just as young sheep and ewes and male and female spring lambs are slit open and their entrails rolled down over their feet, so may the entrails of your sons and your daughters roll down over your feet.	Just as young sheep and ewes and male and female spring lambs are slit open and their entrails rolled down over their feet, so may your entrails (and) the entrails of your sons and your daughters roll down over your feet.
... man	... many
Month Tishri (VII), 22nd day, eponym year of Bel-šarrani, governor of Kurbail.	Month Tishri (VII), 25th day, eponym year of Bel-iqbi, governor of Tušhan.
Witness Sin-natannu, ... 	Witness Hanunu, ... 
... gold for ... 	... lord ... 
the priest ... to NN	The priest ... 
x black horses, 4 irginu-coloured ... ,	5 black horses, 5 irginu-coloured horses,
The night of the 14th day there was no observation; let the son of the king sleep.	The night of the 15th day there was no observation; let the son of the king sleep.
For the god Marduk, great lord, compassionate god who dwells in Esagila, lord of Babylon, his lord: 	For the god Marduk, great lord, compassionate god who dwells in Esagil, lord of Babylon, his lord: 
(For) the god Nanna, king of the Enlil (circle of) gods, his lord: Sîn-balāssu-iqbi, viceroy of Ur, who provides for Eridu, built Ekišibgalekura, the abode of the god Ninimma.	(For) the god Nanna, king of the Enlil (circle of) gods, his lord: Sîn-balāssu-iqbi, viceroy of Ur, who provides for Eridu, built Eašanamar, the abode of the god Enlil.
I tore down that palace in its entirety. I took much fallow land from the meadow and plain of the city as an addition (and) I added (it) to (the site). I abandoned the site of the former palace and filled in a terrace in the area of the meadow that I had taken from the river bank. I raised its superstructure 200 courses of brick high.	I tore down that palace in its entirety. (60) As an addition, I took much fallow land from the meadow (and) I added (it) to it. I abandoned the site of the former palace and filled in a terrace in the fallow land that I had taken from the meadow. I raised its superstructure 200 courses of brick high, measured by my large brick mold.
... NN	... of NN
in all 2 men, owners of the garden being sold.	In all 3 men, owners of the house being sold.
the village of Ha... ,	The village of Qu... ,
... kept	... set
a flask of lā'u-wine	a flask of lā'u-wine.
The upper and lower parts ... 	The upper and lower parts are equal ... 
Witness Issar-šumu-lešir.	Witness Aššur-šumu-lešir.
... the king, my lord should know ... 	The king, my lord, should know (it)... 
from Cutha ... 	from there ... 
The baths of Sîn: 	The new baths of Anu: 
18 ditto, ditto, the front ditto, 1 1/2 mina;	... ditto, ditto, the front ditto, 1 1/3 mina;
quickly ... " —	quickly ... 
... aya;	... ayu
Witness Aššur-na'id.	Witness Issar-na'id.
Witness Aššur-taqqinanni, ... 	Witness Aššur-bel-ilani, ... 
which in the city of ... 	in the city of ... 
Witness ... ti, son of Laiti-il.	Witness ... i, son of Luqu.
Shalmaneser, appointee of the god Enlil, vice-regent of the god Aššur, strong king, king of Assyria, son of Adad-nārārī (I), vice-regent of the god Aššur, son of Arik-dīn-ili (who was) also vice-regent of the god Aššur:	Shalmaneser, appointee of the god Enlil, vice-regent of Aššur, son of Adad-nārārī (I), vice-regent of Aššur, son of Arik-dīn-ili (who was) also vice-regent of Aššur:
has returned ... 	... returned ... 
4 mules:	9 mules:
(With regard to) 154 talents, 26 minas, (and) 10 shekels of red gold, 1,604 talents (and) 20 minas of pure silver, copper, iron, obsidian, lapis-lazuli, banded agate, (... ) blue turquoise, green turquoise (... ), (iii' 5) (and) muššaru-stone in large quantities, blue-purple wool, red-purple wool, garments with multi-colored trim and linen (garments), boxwood, cedar, cypress, (and) every kind of aromatic, the products of Mount Amanus, whose scent(s) are pleasant — from the beginning of my reign until (my) third year, I presented (these things) as gifts (iii' 10) to the deities Marduk, Zarpanītu, Nabû, Tašmētu, and the (other) gods who dwell in the cult centers of the land of Sumer and Akkad.	Happily, with a joyful heart (and) a radiant face, I entered Babylon, the cult center of the Enlil of the gods (Marduk); I grasped hold of the hands of the great lord, the god Marduk, and brought (him) safely along the road to the akītu-house. (With regard to) 154 talents, 26 minas, (and) 10 shekels of red gold, 1,604 talents (and) 20 minas of pure silver, copper (and) iron in immeasurable quantities, obsidian, lapis-lazuli, banded agate, blue turquoise, green turquoise, ... of banded agate (and) muššaru-stone in large quantities, blue-purple wool, red-purple wool, garments with multi-colored trim and linen garments, boxwood, cedar, cypress, (and) every kind of aromatic, the products of Mount Amanus, whose scent(s) are pleasant — from the beginning of my reign until (my) third year, I presented (these things) as gifts to the deities Bēl, Zarpanītu, Nabû, Tašmētu, and the (other) gods who dwell in the cult centers of the land of Sumer and Akkad.
... , saying	... are staying
... on the 14th day the moon was seen with the sun.	— On the 14th day the moon was seen together with the sun.
The moon will be seen together with the sun, it will let the eclipse pass by, it will not make (it).	The moon will be seen on the 15th day with the sun; it will omit an eclipse, it will not make it.
May Šamaš with an iron plough overturn your city, your  country and your district.	May Šamaš with an iron plough overturn your city and your district.
700 men ... 	x men ... 
... -iqbi	... ribi
And Bel-Harran-... 	Witness Bel-Harran-... 
... judgement of the city ... 	... of the city ... 
Witness ... aya	Witness ... 
... -šaduni ... 	... šidu ... 
To the king, my lord: your servant Inurta-ila'i.	To the king, my lord: your servant Aššur-bani.
Month Elul (VI), 5th day, eponym year of Nabû-nadin-ahi.	Month Elul (VI), 29th day, eponym year of Zazaya.
... litigation	... litigation ... 
Ilu-u... , reporter.	... NN, reporter.
To the king, our lord: your servants Nabû-ahhe-lumur and NN. Good health to the king, our lord. The city and the guard of the king, our lord, are well.	To the king, my lord: your servant Il-yada'. Good health to the king, my lord! The forts and the land of the king my lord are well.
Nabû-ahu-iddina ... 	Witness Nabû-ahu-iddina, ... 
I raged up like a lion, then put on armor (and) placed a helmet suitable for combat on my head. (v 15') In my anger, I rode quickly in my exalted battle chariot, which lays enemies low. I took in my hand the mighty bow that the god Aššur had granted to me (and) I grasped in my hand an arrow that cuts off life.	I raged up like a lion, then put on armor (and) placed a helmet suitable for combat on my head. (v 60) In my anger, I rode quickly in my exalted battle chariot, which lays enemies low. I took in my hand the mighty bow that the god Aššur had granted to me (and) I grasped in my hand an arrow that cuts off life.
When they came ... 	When he saw ... 
and the men ... 	and to my men ... 
As for the one who removes my inscriptions and my name: May the goddess Ištar, my mistress, break his weapon (and) hand him over to his enemies.	As for the one who removes my inscriptions and my name: May the goddess Dinitu, my mistress, break his weapon (and) hand him over to his enemies.
We shall see ... 	We will see ... 
The 'path' and 'well-being' are present ... 	The 'path,' 'strength,' and 'well-being' are present.
... , the Sun-image, ... ,	... on the image ... 
2 cuts of shoulder of an ox  of the temple of Dagan, of the chief treasurer;	2 cuts of shoulder, of an ox of the temple of Dagan — of the treasurer of the Aššur temple.
Month Iyyar (II), 14th day, eponym year of Upaq-ana-Arbail.	Month Iyyar (II), 6th day, eponym year of NN.
I expertly fashioned four mountain sheep colossi of silver (and) bronze, together with mountain sheep colossi of massive mountain stone, and in four directions I made (them) hold their (the gates’) suitable door bolt(s).	I expertly fashioned four mountain sheep colossi of silver (and) bronze, together with mountain sheep colossi of massive mountain stone, and in four directions I had (them) hold their (the gates’) suitable door bolt(s).
... with them to ... 	... to them ... 
There are ... 	There is ... 
Esarhaddon, king of the world, king of Assyria; son of Sennacherib, king of the world (and) king of Assyria; the one who (re)constructed the temple of the god Aššur, (re)built Esagil (5) and Babylon, ... , restored  the shrines of cult centers, completed the rites and ... , (10) (and) (re)confirmed the sattukku offerings ... of the great gods, am I.	I, Aššur-etel-ilāni-mukīn-apli, king of the world, king of Assyria, son of Sennacherib, (5) king of the world (and) king of Assyria, descendant of Sargon (II), king of the world (and) king of Assyria; the one who (re)constructed the temple of the god Aššur, (re)built Esagil (10) and Babylon, restored the shrines of cult centers, completed (15) the rites, (and) (re)confirmed the offerings of the great gods, am I.
at the disposal of Partama.	at the disposal of ... 
I opened up a foundation pit for the outer wall, Badnigerimḫuluḫa, (which means) “Terrorizer of Enemies,” then ... (vii 45') Until I had (it) reach the water table, I dug down into the water forty-five nindanu, then I bound together strong mountain stone below and above I expertly carried out its construction with large limestone (blocks) up to its copings.	I opened up a foundation pit for the outer wall, Badnigerimḫuluḫa, (which means) “Terrorizer of Enemies,” then I dug down forty-five nindanu and made (it) reach the water table. I bound together strong mountain stone in the water below and above I expertly carried out its construction with large limestone (blocks) up to its copings.
Nirgî             	Dor             
... of the royal road ... 	... the royal gold ... 
Remanni-Adad, chariot driver of the king, has contracted and bought him from Mušezib-Marduk for 1 1/2 minas (of silver) by the (mina) of the king.	Remanni-Adad, chariot driver of the king, has contracted and bought them from Bel-aplu-iddina for 3 minas of silver (by the mina) of Carchemish.
x cans of beer	10 cans of beer;
tribute of the month of ... 	... cattle of the month of ... ,
Witness Kiṣir-Aššur, ditto.	Witness Mušezib-Aššur, ditto.
Witness Nabû-kenu-balliṭ.	Witness Nabû-uballissu.
... they have given me	... they have gone
In order to be able to draw water by bucket every day, I had bronze wire chains and bronze cables made and, instead of poles, I had tree trunks and date palm(s) of copper placed over wells.	In order to be able to draw water by bucket every day, I had bronze wire chains and bronze cables made and, instead of poles, I had tree trunks together with date palm(s) of copper placed over wells.
Tarhundapî has contracted and bought him for 32 shekels of silver.	Adad-kapara has contracted and bought her for 50 shekels of silver.
Witness Ahi-ila'i.	Witness Ahi-ila'i, ... 
The Lady of Babylon, who has black wool on her back and red wool on her front, ... The red wool on her front is the blood of the heart which was shed.	The Lady of Babylon who has black wool on her back and red wool on her front ... : the red wool on her front is blood of the heart which was shed ... 
6 temple stewardesses ... ;	the temple steward ... 
I together with ... 	they together with ... 
the exempts ... 	the enemy ... 
Witness Na'nu, ... 	Witness NN, ... 
... as on the first day	... on the 1st day
Babylon, ... 	... Babylon ... 
220, the cupbearer(s).	220, the cupbearer(s);
Palace of Sennacherib, king of Assyria. Whoever erases my inscribed name (or) places (it) in the service of a god (or another) person, may the deities ... , Šamaš, Adad, ... , (and) Nergal make his name (and) his seed disappear. Booty of the city Dumetu.	Palace of Sennacherib, king of Assyria. Whoever erases my inscribed name (or) places (it) in the service of a god (or another) person, may the deity ... make his name (and) his seed disappear. Booty of the city Dumetu.
To the 'farmer,' my lord: your servant Nabû-naṣir. May Nabû and Marduk bless the 'farmer', my lord!	To the king, my lord: your servant Nabû-naṣir. May Nabû and  Marduk bless the king, my lord!
Witness Ahu-lamur, horse trainer.	Witness Salamanu, horse trainer.
... your chosen name ... 	... you came ... 
... Jupiter 	... Jupiter
Without the king ... 	of the king ... 
27 ... ;	32 ... 
Witness Iqbi-ilu, ... 	Witness Laiti-il, ... 
5 shekels, for ... 	x shekels for ... 
Of NN ... 	to NN ... 
If a planet in ... 	a planet ... 
my people ... 	the people ... 
x, Enuma Anu Enlil,	all Enuma Anu Enlil;
Sennacherib, king of the world, king of Assyria, the one who fashioned image(s) of the deities Aššur, Anu, Sîn, Šamaš, Adad, Nergal, Ištar of Bīt-Kidmuri, Bēlet-ilī, and the (other) great gods, I: With white limestone, I laid the foundation(s) of the akītu-house, the residence of (the god) Aššur, my lord.	Sennacherib, king of the world, king of Assyria, the one who fashioned image(s) of the deities Aššur, Šerūa, Anu, Sîn, Šamaš, Adad, Ištar of Bīt-Kidmuri, Bēlet-ilī, Kaka, Ḫaya, Kusu, Lumḫa, Dunga, Egalkiba, and the (other) great gods, I: With limestone, stone from the mountains, I laid the foundation(s) of the akītu-house for the festival of the feast of (the god) Aššur.
2 minas 23 1/3 shekels, NN,	20 minas 3 shekels, NN;
which to ... 	which he ... 
To the king, my lord: your servant Ubru-Libbali. Good health to  the king, my lord!	To the king, my lord: your servant NN. Good health to the king, my lord!
... entered and	... entered
Witness Aqaba. Witness Ba... 	Witness Izbu. Witness Tali... 
... -Adad, chariot owner;	... -Adad, chariot driver;
Ashur-natkil.	Ashur-nasir.
Whoever, in the future, at any time, whether Addî, or his sons (or) relatives, seeks and starts a lawsuit or litigation (against) Nabû-šarru-uṣur, shall return the money tenfold to its owner. He shall contest in his lawsuit and not succeed.	Whoever in the future, at any time, comes forward, whether Kiṣir-Issar or his sons or relatives, whoever lodges a complaint and seeks a lawsuit or litigation against Mannu-ki-Arbail and his sons, shall return the money tenfold to its owners. He shall contest in his lawsuit and not succeed.
... containing ... 	... constant ... 
I surrounded, conquered, (and) plundered the city Ataun... 	I surrounded, conquered, (and) plundered (the city) Dilbat.
... anniya	... aya
... the torch in ... 	... the top of ... 
Witness Banî, ... 	Witness ... 
The (eastern) gate overlooking the river is the Gate of the Firmament, its entrance gate is the Entrance-of-the-Igigi Gate.	The Eastern gate overlooking the river is the Gate of the Firmament, its entrance gate is the Entrance-of-the-Igigi Gate.
the king should send ... 	the king should ... 
1/2 shekel of thyme;	1/2 shekel of cedar;
and brought to me ... 	was brought to meet us ... 
in all 100+x tablets,	in all 342 tablets,
To the king, my lord: your servant Ila'i-Bel. Good health to the king, my lord!	To the king, my lord: your servant NN. Good health to the king, my lord!
Witness Nabû-ahhe-eriba, scribe, keeper of the tablet.	Witness Nabû-eṭir-napšati, scribe, keeper of the tablet.
Near Nineveh, in the territory of the city Balāṭāya, by divine will, white limestone was discovered in abundance, and (then) I created bull colossi (and) sphinxes of alabaster, and slabs of alabaster, as well as magnificent slabs of breccia. I cut (them) free on both sides from their mountains, and (then), for the construction of my palace, I had (them) dragged into Nineveh.	In the territory of the city Balāṭāya,  white limestone was discovered in abundance, and (then) I created bull colossi (and) sphinxes of alabaster, and slabs of alabaster, as well as magnificent slabs of breccia. I cut (them) free on both sides from their mountains, and (then), for the construction of my palace, I had (them) dragged into Nineveh.
You perform a sheep offering before the Igigi gods and before the bed, make a flour/incense-offering, pour oil, honey, beer and wine, and sing, “... ”	You perform a sheep offering before the Anunnaki gods, make a flour/incense offering, pour oil, honey, beer and wine, and sing, “... ”
... his lord	... this land
have not ... ;	I have sent ... 
May a later prince restore its ruined (portions) (and) return my inscription to its place. (Then) the gods Aššur (and) Adad, the great gods, will listen to his prayers. May he return my clay cone to its place.	May a later prince restore its weakened (portions) and return my inscription to its place. (Then) Aššur, the god Anu, and the god Adad will listen to his prayers. May he return my clay cone to its place.
In the future may a later prince, when that site becomes old and dilapidated, repair it. May he restore my monumental inscription (and) my inscribed name to its place. (Then) the god Aššur will listen to his prayers.	In the future may a later prince, when that palace becomes old and dilapidated, restore it. May he anoint with oil my monumental inscription, make sacrifices, (and) return (it) to its place. (Then) the gods Aššur and Adad will listen to his prayers.
Witness Remanni-ilu.	Witness Immani-il.
... on	... once
In the course of my campaign, I surrounded, conquered, (and) plundered the cities Amatu, Ḫauae, Supapu, Nuqabu, Bīt-Sannabi, Qudayyin, Kidrina, Dūr-Ladini, Bitāti, (and) Bānītu, the land Guzummānu, the cities Dūr-Yanṣuri, Dūr-Abī-Yataʾ, Dūr-Rudumme, Bīt-Raḫê, Ḫapiša, Sadian, Ḫurudu, Ṣaḫrina, Iltuk, Allallu, Marad, Yaqimuna, Kupruna, Bīt-Kudurri, Sūqa-Marusi, altogether 33 fortified cities, fortresses of the land of the Bīt-Dakkūri, together with 250 small(er) settlements in their environs;	In the course of my campaign, I surrounded, conquered, (and) plundered the cities Amatu, Ḫauae, Supapu, Bīt-Sannabi, Qudayyin, Kidrina, Dūr-Ladini, Bitāti, Bānītu, Guzummānu, Dūr-Yanṣuri, Dūr-Abī-Yataʾ, Dūr-Rudumme, Bīt-Raḫê, Ḫapiša, Sadian, Ḫurudu, Ṣaḫrina, Iltuk, Allallu, Sabḫānu, Kār-Nergal, Apak, Bīt-Dannāya, Bīt-Abdāya, Baḫir, Marirâ, Marad, Yaqimuna, Kupruna, Bīt-Kudurri, Sūqa-Marusi, altogether 34 fortified walled cities of the land of the Bīt-Dakkūri, together with 250 small(er) settlements in their environs;
... bowls ... ,	... now ... 
x teams of horses:	... teams of horses, 
Witness Adad-milki-... 	Witness Adad-... 
Witness Puhrati-Issar.	Witness Habur-Issar.
An estate of 5 decares ... adjoining ... 	an estate of 3 decares adjoining ... ;
An estate of 15 hectares of land adjoining the road which leads (from) the village of Dannayato the village of Ildiši and adjoining ... ;	an estate of 4 hectares of land adjoining the road leading from the village of Dannaya to the village of ... ;
... to the land A... 	... and to the lord ... 
... the ship ... 	... these ... 
... for the second time ... 	... the second ... 
