x talents, Sam'al;	x talents, Ṣimirra;
The money is paid completely... and field, house, garden, 2 wells are purchased and acquired. Any revocation, lawsuit, or litigation is void.	The money is paid completely. Those fields, houses and people are purchased and acquired. Any revocation, lawsuit, or litigation is void.
... the rest of ... 	... the overseer of ... "
Witness Tabalayu, ditto. Witness NN.	Witness Kanunayu. Witness NN.
If Gemini stand in the halo of the moon and ... 	— Saturn stands in the halo of the moon.
This night, the moon was surrounded by a halo, and Jupiter and Scorpius stood in it.	Tonight the moon was surrounded by a halo, and the Old Man Star and Gemini stood in it.
Witness Šarru-nadin-ahhe.	Witness ... -nadin-ahhe.
... his ... ,	... s to ... 
They took booty ... 	he took ... 
Seal of Lu-šakin son of Sariuni from the city of Bit-abi-ilaya, owner of the land being sold for a number of years.	Seal of Urdu-Issar, son of Urdu-Aššur, from the town of Kankanu, owner of the field being sold for a number of years.
Month Sivan (III) ... 	in Sivan (III) ... 
Nabû-šumu-iddina;	Witness Nabû-šumu-iddina.
All this ... came in.	All this ... 
30 horses, ṣibtu-tax;	30 horses total;
... -Nabû together	... altogether
... left of the moon ... 	... of the ... 
Month Tammuz (IV), ... th day, eponym year of Mannu-ki-Adad.	Month Tammuz (IV), 2nd day, eponym year of ... 
... I establish 	... establishes.
May the god Marduk, great lord, look upon this work of mine (with pleasure) and may he grant (a long) life to Sargon, the prince who provides for him. May his reign be as firm as the foundation of Babylon.	May the god Marduk, great lord, look upon this work (with pleasure) and may he bestow a (long) life on Sargon, the prince who provides for him! May his reign be as firm as the foundation of Babylon!
my energy to ... 	my lord to ... 
26 1/2 minas in ... 	1 1/2 minas ... 
Witness Adad-abu-uṣur, son of Duri-Adad.	Witness Nergal-šarru-uṣur, son of Dayyan-Adad.
... they ... us	... to ... 
Witness Azi-il, ditto.	Witness Azi-il, scribe.
a well ... 	all ... 
... he has gone... 	... they have gone
... messages ... 	... these ... 
1, governor of Arrapha;	1, (governor of) Calah;
Month Sivan (III), 16th day, eponym year of Ša-Nabû-šû.	Month Iyyar (II), 6th day, eponym year of NN.
... Sin-iqbi.	... Sin-eriba
Ditto by all the gods of Kilizi!	Ditto by all the gods of Nineveh!
... they ... and	... these ... 
Snake ... 	one ... 
If Venus in Tebet (X) from the 1st to the 30th day disappears in the west: the harvest of the land will prosper.	If Venus disappears in the west in Ab (V) from the 1st to the 30th day: there will be rains; the harvest of the land will prosper.
Witness Urda-Inurta, scribe.	Witness Nabû-nammir, scribe.
Month Elul (VI), 28(th) day, eponym year of Šamaš-šarru-ibni.	Month Elul (VI), 29th day, eponym year of Zazaya.
... has exceeded Der ... 	... has entered ... 
If the moon at its appearance is high and becomes visible: the enemy will plunder in the land.	If the moon at its appearance stands low and becomes visible: the enemy will plunder in the land.
Witness Ziziya, ditto.	Witness Arbailayu, ditto.
we want to become strong ... 	to be(come) strong(er) ... 
Seal of Nergal-šarru-uṣur, ... 	to Bel-šarru-uṣur ... 
Witness Nuhšaya, ... conscript.	Witness Nuhšaya, porter.
... , his son, ... s ... 	... their ... s ... 
wood ... 	to ... 
Witness ... ni, 2 (witnesses from) Šuru.	witness ... a, 2 (witnesses from) Hidiniba
4 heads (and) breasts of x roast sheep.	3 heads, the breasts of 4 roast sheep.
My ... , whom ... to ... 	... who ... does ... 
NN, son of Balasu, ... 	NN, son of NN, ... 
In the hidden depths of its subterranean waters I very firmly bonded reeds below (and) bitumen above with large (blocks of) limestone. I raised a plot of land that was 554 cubits long (and) 289 cubits wide out of the water and converted (it) into an empty lot. (40) I added (it) to the former dimensions of the terrace, and raised its superstructure in its entirety 190 courses of brick. I enlarged the structure of the palace to 914 large cubits along (its) longer side and 440 large cubits along (its) shorter side and (thus) I made its site bigger.	In its subterranean waters I very firmly bonded reeds below (and) bitumen above with large (blocks of) limestone. I raised a plot of land that was 340 cubits long (and) 289 cubits wide out of the water and converted (it) into an empty lot. I added (it) to the dimensions of the former terrace (and) thereby enlarged the entire terrace to 700 large cubits along (its) longer side and 440 cubits along (its) shorter side. I raised its superstructure 190 courses of brick high.
In intercalary Adar (XII/2) on the 14th day the moon will be seen with the sun.	In Ab (V) on the 16th day the moon will be seen together with the sun.
... saying: "Just as	... saying: "I stood and
... a libation jar ... 	... litigation ... 
... rib of ... ;	... s to ... 
Witness Mannu-ki-Adad, ... 	Witness Mannu-ki-Ninua.
... the Ru'uean(s)	... the Ru'u(a)
The 'station' is present. The beginning of the 'path' ... 	The 'station' is present. The 'path' ... 
... The vertebrae are recessed ... 	... The vertebrae ... 
Samsi-... ,	Sin- ... ,
If the moon becomes visible on the 1st day: reliable speech; the land will  become happy.	If the moon becomes visible on the 1st day: reliable speech, the land will become happy.
A bow ... 	As to ... 
Disregard what happens after my stipulated term; disregard that they should think about it but turn back and go away... 	Disregard what happens after my stipulated term. Disregard that they (may) think about it, but turn and ... 
The 'mass' rides upon the left side of the gall bladder.	The 'path' on the left of the gall bladder ... 
The base of the gall bladder is loose on the right, firm on the left... 	The base of the gall bladder is firm on the right, loose on the left.
adjoining the vineyard of Ahu-duri,	adjoining the vineyard of Aššur-ila'i,
... anywhere	... there
Whoever in the future, at any time, lodges a complaint, whether ... kiki or his sons, and seeks a lawsuit or litigation against Milki-nuri,	Whoever in the future, at any time, lodges a complaint, whether Mannu-ki-Arbail or his sons, and seeks a lawsuit or litigation against Zarpî,
Witness Mahsi-Ia'u.	Witness Lahirayu.
... the harvest of the city ... 	... the statue of the king ... 
Nabû-bel-šumate;	Nabû-bel-šumati ... 
To the king, my lord: your servant Nabû-nadin-šumi. Good health  to the king, my lord! May Nabû and Marduk bless the king, my lord!	To the king, my lord: your servant Nabû-naṣir. May Nabû and  Marduk bless the king, my lord!
x+4 1-year-old (male) sheep,	x+8 1-year-old male sheep, 
1 ... s, the house ... ;	... my father's house ... 
... I did not seal	... he did not give
I turned around (lit. “I turned the front of my yoke”) and returned safely to Assyria.	With much plunder (and) substantial booty, I turned around (lit. “I turned the front of my yoke”) and returned safely to Assyria.
50 of sown land under cultivation therein.	280 under cultivation therein
40 ditto of shallots;	a ditto of small onions;
Month Tebet (X), 22nd day, eponym year of Mannu-ki-šarri.	Month Ab (V), 20th day, eponym year of Mannu-ki-Aššur-le'i.
because of the capture ... 	... because of the freedom ... 
Just as young sheep and ewes and male and female spring lambs are slit open and their entrails rolled down over their feet, so may the entrails of your sons and your daughters roll down over your feet.	Just as young sheep and ewes and male and female spring lambs are slit open and their entrails rolled down over their feet, so may your entrails (and) the entrails of your sons and your daughters roll down over your feet.
... man	... many
Witness Šarru-šumu-ka''in.	Witness Šarru-duri.
To the king, our lord: your servants, Ṭab-šar-Sin, Akkullanu, and Marduk-šallim-ahhe. Good health to the king, our lord. May Aššur, (Sin), Šamaš, Nabû, Marduk ... bless the king, our lord	To the king, our lord: your servants Balasî and Bamaya. Good health to the king, our lord! May Nabû and Marduk bless the king, our lord!
Month Tishri (VII), 22nd day, eponym year of Bel-šarrani, governor of Kurbail.	Month Tishri (VII), eponym year of Šarru-nuri, governor of Barhalzi.
Witness Sin-natannu, ... 	Witness Ki-Mama, ... 
... gold for ... 	... you go ... 
the priest ... to NN	The priest ... 
x black horses, 4 irginu-coloured ... ,	5 black horses, 5 irginu-coloured horses,
The night of the 14th day there was no observation; let the son of the king sleep.	The night of the 15th day there was no observation; let the son of the king sleep.
... revealed	... bread
For the god Marduk, great lord, compassionate god who dwells in Esagila, lord of Babylon, his lord: 	For the god Marduk, great lord, compassionate god who dwells in Esagil, lord of Babylon, his lord: 
of 2 male donkeys ... 	32 donkeys ... 
(For) the god Nanna, king of the Enlil (circle of) gods, his lord: Sîn-balāssu-iqbi, viceroy of Ur, who provides for Eridu, built Ekišibgalekura, the abode of the god Ninimma.	(For) the god Nanna, king of the Enlil (circle of) gods, his lord: Sîn-balāssu-iqbi, viceroy of Ur, who provides for Eridu, built Eašanamar, the abode of the god Enlil.
I tore down that palace in its entirety. I took much fallow land from the meadow and plain of the city as an addition (and) I added (it) to (the site). I abandoned the site of the former palace and filled in a terrace in the area of the meadow that I had taken from the river bank. I raised its superstructure 200 courses of brick high.	I tore down that palace in its entirety. (60) As an addition, I took much fallow land from the meadow (and) I added (it) to it. I abandoned the site of the former palace and filled in a terrace in the fallow land that I had taken from the meadow. I raised its superstructure 200 courses of brick high, measured by my large brick mold.
... NN	... of NN
in all 2 men, owners of the garden being sold.	ditto Aggar, in all 6 men, owner(s) of the field being sold.
the village of Ha... ,	The village of Qu... ,
... kept	... report
a flask of lā'u-wine	A flask of mēzu-wine;
The upper and lower parts ... 	The upper and lower parts are equal ... 
Witness Issar-šumu-lešir.	Witness Ša-Issar-šunu.
... the king, my lord should know ... 	... of the king, my lord ... 
from Cutha ... 	from ... 
The baths of Sîn: 	The new baths of Anu: 
18 ditto, ditto, the front ditto, 1 1/2 mina;	... ditto, ditto, the front ditto, 1 1/3 mina;
quickly ... " —	... quickly ... 
... aya;	... ayu
Witness Aššur-na'id.	Witness Aššur-... 
Witness Aššur-taqqinanni, ... 	Witness Aššur-... 
Silim-Aššur.	Silim-Ashur,
which in the city of ... 	... in the city ... 
Witness ... ti, son of Laiti-il.	Witness ... same, son of Kilakû.
In the future may a later prince, when the storehouses  (and) their doors become dilapidated and he restores (them), rebuild as I did. May he restore my inscribed name to its place. (Then) the gods Aššur, Anu, and Adad will listen to his prayers.	In the future may a later prince, when that wall becomes dilapidated and he restores (it), restore as I did. May he return my inscribed name, my monumental inscriptions, and my clay inscriptions to their places. (Then) the god Aššur will listen to his prayers.
Shalmaneser, appointee of the god Enlil, vice-regent of the god Aššur, strong king, king of Assyria, son of Adad-nārārī (I), vice-regent of the god Aššur, son of Arik-dīn-ili (who was) also vice-regent of the god Aššur:	Shalmaneser, appointee of the god Enlil, vice-regent of Aššur, son of Adad-nārārī (I), vice-regent of Aššur, son of Arik-dīn-ili (who was) also vice-regent of Aššur:
has returned ... 	... returned ... 
4 mules:	9 mules:
adjoining the estate of Marduk-belu-uṣur,	adjoining the estate of Bel-šarru-uṣur —
a basket of fruit,	a basket of (mixed) fruit.
(With regard to) 154 talents, 26 minas, (and) 10 shekels of red gold, 1,604 talents (and) 20 minas of pure silver, copper, iron, obsidian, lapis-lazuli, banded agate, (... ) blue turquoise, green turquoise (... ), (iii' 5) (and) muššaru-stone in large quantities, blue-purple wool, red-purple wool, garments with multi-colored trim and linen (garments), boxwood, cedar, cypress, (and) every kind of aromatic, the products of Mount Amanus, whose scent(s) are pleasant — from the beginning of my reign until (my) third year, I presented (these things) as gifts (iii' 10) to the deities Marduk, Zarpanītu, Nabû, Tašmētu, and the (other) gods who dwell in the cult centers of the land of Sumer and Akkad.	blue turquoise, green turquoise, ... of banded agate (and) muššaru-stone ... , (vii 10) copper, tin, iron, lead, ... skilled ... , blue-purple wool, red-purple wool, garments with multi-colored trim and linen (garments), boxwood, cedar, cypress, (and) every kind of aromatic, (vii 15) the products of Mount Amanus, whose scent(s) are pleasant — from the beginning of my reign until (my) fourth year, I presented (these things) as gifts to the deities Marduk, Zarpanītu, Nabû, Tašmētu, and the (other) gods who dwell in the cult centers of the land of Sumer and Akkad.
... , saying	... anything
In the future may a later prince, when the facing (of the quay wall) and the drains therein become dilapidated and he renews (them), restore the name of Aššur-uballiṭ (I), my forefather, and my inscribed name to their places. (Then) Aššur will listen to his prayers.	In the future may a later prince, when that temple becomes dilapidated and he restores (it), restore my monumental inscriptions and inscribed name to their places. (Then) Aššur will listen to his prayers.
... on the 14th day the moon was seen with the sun.	— On the 14th day it was seen together with the sun.
The moon will be seen together with the sun, it will let the eclipse pass by, it will not make (it).	The moon will be seen on the 15th day with the sun; it will omit an eclipse, it will not make it.
May Šamaš with an iron plough overturn your city, your  country and your district.	May Šamaš with an iron plough overturn your city and your district.
700 men ... 	My men ... 
... -iqbi	... bi'
And Bel-Harran-... 	Witness Bel-Harran-... 
... judgement of the city ... 	... in the city ... 
Witness ... aya	Witness ... 
... -šaduni ... 	... -niše ... ,
To the king, my lord: your servant Inurta-ila'i.	To the king, my lord: your servant Aššur-bani.
Month Elul (VI), 5th day, eponym year of Nabû-nadin-ahi.	Month Elul (VI), 29th day, eponym year of Zazaya.
... litigation	... litigation ... 
Ilu-u... , reporter.	... NN, reporter.
To the king, our lord: your servants Nabû-ahhe-lumur and NN. Good health to the king, our lord. The city and the guard of the king, our lord, are well.	To the king, our lord: your servants Balasî and Bamaya. Good health to the king, our lord! May Nabû and Marduk bless the king, our lord!
Nabû-ahu-iddina ... 	Witness Nabû-ahu-iddina, ... 
I raged up like a lion, then put on armor (and) placed a helmet suitable for combat on my head. (v 15') In my anger, I rode quickly in my exalted battle chariot, which lays enemies low. I took in my hand the mighty bow that the god Aššur had granted to me (and) I grasped in my hand an arrow that cuts off life.	I raged up like a lion, then put on armor (and) placed a helmet suitable for combat on my head. (v 60) In my anger, I rode quickly in my exalted battle chariot, which lays enemies low. I took in my hand the mighty bow that the god Aššur had granted to me (and) I grasped in my hand an arrow that cuts off life.
When they came ... 	they are ... 
and the men ... 	and to my men ... 
As for the one who removes my inscriptions and my name: May the goddess Ištar, my mistress, break his weapon (and) hand him over to his enemies.	As for the one who removes my inscriptions and my name, may the goddess Ištar, the great mistress, take away from him his throne, (and) may she make him sit in bondage before his enemies.
the woman (... )kabuttu	the woman ... 
We shall see ... 	I shall go ... 
The 'path' and 'well-being' are present ... 	The 'path,' 'strength,' and 'well-being' are present.
... of the Review Palace.	in the Review Palace ... 
... , the Sun-image, ... ,	... on the image ... 
... of the centre of the city	... the names of the cities
2 cuts of shoulder of an ox  of the temple of Dagan, of the chief treasurer;	2 cuts of shoulder, of an ox of the temple of Dagan — of the treasurer of the Aššur temple.
Month Iyyar (II), 14th day, eponym year of Upaq-ana-Arbail.	Month Iyyar (II), 6th day, eponym year of NN.
I expertly fashioned four mountain sheep colossi of silver (and) bronze, together with mountain sheep colossi of massive mountain stone, and in four directions I made (them) hold their (the gates’) suitable door bolt(s).	I expertly fashioned four mountain sheep colossi of silver (and) bronze, together with mountain sheep colossi of massive mountain stone, and in four directions I had (them) hold their (the gates’) suitable door bolt(s).
... with them to ... 	... the death of ... 
There are ... 	heard ... 
Esarhaddon, king of the world, king of Assyria; son of Sennacherib, king of the world (and) king of Assyria; the one who (re)constructed the temple of the god Aššur, (re)built Esagil (5) and Babylon, ... , restored  the shrines of cult centers, completed the rites and ... , (10) (and) (re)confirmed the sattukku offerings ... of the great gods, am I.	I, Aššur-etel-ilāni-mukīn-apli, king of the world, king of Assyria, son of Sennacherib, (5) king of the world (and) king of Assyria, descendant of Sargon (II), king of the world (and) king of Assyria; the one who (re)constructed the temple of the god Aššur, (re)built Esagil (10) and Babylon, restored the shrines of cult centers, completed (15) the rites, (and) (re)confirmed the offerings of the great gods, am I.
a king who before ... 	who before us ... 
at the disposal of Partama.	at the disposal of Duri-ahhešu.
I opened up a foundation pit for the outer wall, Badnigerimḫuluḫa, (which means) “Terrorizer of Enemies,” then ... (vii 45') Until I had (it) reach the water table, I dug down into the water forty-five nindanu, then I bound together strong mountain stone below and above I expertly carried out its construction with large limestone (blocks) up to its copings.	I opened up a foundation pit for the outer wall, Badnigerimḫuluḫa, (which means) “Terrorizer of Enemies,” then I dug down forty-five nindanu and made (it) reach the water table. I bound together strong mountain stone in the water below and above I expertly carried out its construction with large limestone (blocks) up to its copings.
Nirgî             	Ṣimirra             
... of the royal road ... 	... of the country of ... ,
Remanni-Adad, chariot driver of the king, has contracted and bought him from Mušezib-Marduk for 1 1/2 minas (of silver) by the (mina) of the king.	Zazî, eunuch of the king, has contracted and bought it from Eṭir-Marduk for 5 3/4 minas of silver by the mina of the merchant.
x cans of beer	10 cans of beer;
tribute of the month of ... 	... cattle of the month of ... ,
Witness Kiṣir-Aššur, ditto.	Witness Mušezib-Aššur, ditto.
Witness Nabû-kenu-balliṭ.	Witness Nabû-deni-amur.
... they have given me	... they have gone
In order to be able to draw water by bucket every day, I had bronze wire chains and bronze cables made and, instead of poles, I had tree trunks and date palm(s) of copper placed over wells.	In order to be able to draw water by bucket every day, I had bronze wire chains and bronze cables made and, instead of poles, I had tree trunks together with date palm(s) of copper placed over wells.
Tarhundapî has contracted and bought him for 32 shekels of silver.	Puṭi-athiš has contracted and bought him for 10 shekels of silver to be his son.
Witness Ahi-ila'i.	Witness Edi-il.
Ditto by all the gods of Sumer and Akkad!	Ditto by all the gods of Calah!
The Lady of Babylon, who has black wool on her back and red wool on her front, ... The red wool on her front is the blood of the heart which was shed.	The Lady of Babylon who has black wool on her back and red wool on her front ... : the red wool on her front is blood of the heart which was shed ... 
6 temple stewardesses ... ;	the temple steward ... 
I together with ... 	they together with ... 
the exempts ... 	I exempted ... 
... resting place	... are placed
Witness Na'nu, ... 	Witness ... 
... as on the first day	... on the 10th day
Babylon, ... 	... Babylon ... 
220, the cupbearer(s).	220, the cupbearer(s);
Palace of Sennacherib, king of Assyria. Whoever erases my inscribed name (or) places (it) in the service of a god (or another) person, may the deities ... , Šamaš, Adad, ... , (and) Nergal make his name (and) his seed disappear. Booty of the city Dumetu.	Palace of Sennacherib, king of Assyria. Whoever erases my inscribed name (or) places (it) in the service of a god (or another) person, may the deity ... make his name (and) his seed disappear. Booty of the city Dumetu.
To the 'farmer,' my lord: your servant Nabû-naṣir. May Nabû and Marduk bless the 'farmer', my lord!	To the king, my lord: your servant Nabû-naṣir. May Nabû and  Marduk bless the king, my lord!
Witness Ahu-lamur, horse trainer.	Witness Se'-hutni, horse trainer.
... your chosen name ... 	... your enemy ... 
... Jupiter 	... Jupiter
... in the city Zikkû —	... in the city ... 
Without the king ... 	of the king ... 
27 ... ;	... ;
Witness Iqbi-ilu, ... 	Witness Qiti-muti, ... 
x, Babylon;	... Babylon;
5 shekels, for ... 	5 shekels, Lam... ;
Of NN ... 	to NN ... 
If a planet in ... 	a planet ... 
my people ... 	the people ... 
x, Enuma Anu Enlil,	all Enuma Anu Enlil;
Sennacherib, king of the world, king of Assyria, the one who fashioned image(s) of the deities Aššur, Anu, Sîn, Šamaš, Adad, Nergal, Ištar of Bīt-Kidmuri, Bēlet-ilī, and the (other) great gods, I: With white limestone, I laid the foundation(s) of the akītu-house, the residence of (the god) Aššur, my lord.	Sennacherib, king of the world, king of Assyria, the one who fashioned image(s) of the deities Aššur, Šerūa, Anu, Sîn, Šamaš, Adad, Ištar of Bīt-Kidmuri, Bēlet-ilī, Kaka, Ḫaya, Kusu, Lumḫa, Dunga, Egalkiba, and the (other) great gods, I: With limestone, stone from the mountains, I laid the foundation(s) of the akītu-house for the festival of the feast of (the god) Aššur.
2 minas 23 1/3 shekels, NN,	11 minas 13 1/2 shekels ... ,
Riba-Adad is the guarantor.	... -iddina is the guarantor.
which to ... 	which he/they ... 
To the king, my lord: your servant Ubru-Libbali. Good health to  the king, my lord!	To the king, my lord: your servant NN. Good health to the king, my lord!
... entered and	... entered
Witness Aqaba. Witness Ba... 	Witness Ahi-ṭaba. Witness Sukkaya.
... -Adad, chariot owner;	... -Adad, chariot driver;
Ashur-natkil.	Ashur-taklak.
Whoever, in the future, at any time, whether Addî, or his sons (or) relatives, seeks and starts a lawsuit or litigation (against) Nabû-šarru-uṣur, shall return the money tenfold to its owner. He shall contest in his lawsuit and not succeed.	Whoever in the future, at any time, comes forward, whether Kiṣir-Issar or his sons or relatives, whoever lodges a complaint and seeks a lawsuit or litigation against Mannu-ki-Arbail and his sons, shall return the money tenfold to its owners. He shall contest in his lawsuit and not succeed.
... containing ... 	... king ... 
I surrounded, conquered, (and) plundered the city Ataun... 	I surrounded, conquered, (and) plundered (the city) Dilbat.
... from its owner ... 	... from the city of ... 
... anniya	... many
... the torch in ... 	... the death of ... 
Witness Banî, ... 	Witness ... 
