x talents, Sam'al;	x talents, Ṣimirra;
Abu (V), fifth day, eponymy of Nabû-bēlī-uṣur, governor of the city Dūr-Šarrukku (672 BC).	Nisannu (I), the twenty-seventh day, eponymy of Nabû-dūrī-uṣur, governor of the city Tamnunna (697).
Your servant Ullubaya: I would gladly die for the king, my lord! Say to the king, my lord:	Your servant Nabû-... : I would gladly die for the king, my (lit. "his") lord! Say to the king, my lord:
I, Sennacherib, king of Assyria, built (this) temple for the god Zababa.	Sennacherib, king of Assyria, built (this) house for Aššur-ilī-muballissu.
Disregard that I, the haruspex your servant, am dressed in my ordinary soiled garments, have seen fear and terror at night ... 	Disregard that I, the haruspex your servant, am dressed in my ordinary soiled garments, or jumbled the oracle query in my mouth... 
their seed-corn ... 	their work ... 
I am bound by the treaty of the king my lord; I cannot conceal the words of ... 	I am bound by the treaty of the king, my lord; I cannot conceal the words of ... 
If he does not pay in Marchesvan (VIII), the silver shall increase by 50 percent.	If they do not pay, the silver shall increase by a fourth.
concerning the work on ... 	concerning ... 
To the king, my lord: your servant Nabû-šumu-iškun. 	To the king, my lord: your servant Aššur-bani.
Dannaya (and) Aššur-da''in-šarru, reporters... 	Dannaya (and) Zizî, reporters.
If Leo is black: the land will not be happy.	If Leo is black: the land will become unhappy.
from Babylon to ... 	... Babylon ... 
2 towels ... 	to ... 
Til-Barsip             	Babilayu             
Šarru-emuranni, 'third man' of the crown prince;	... manu, 'third man' of the crown prince;
I, Ashurbanipal, great king, mighty king, king of the world, king of Assyria, king of the four quarters (of the world); son of Esarhaddon, great king, mighty king, king of the world, king of Assyria, viceroy of Babylon, king of the land of Sumer and Akkad, who (re)settled Babylon, (re)built Esagil, renovated the sanctuaries of all the cult centers, constantly established appropriate procedures in them, and (re)confirmed their interrupted regular offerings, (who) restored the rites  (and) rituals according to the old pattern; grandson of Sennacherib, great king, mighty king, king of the world, king of Assyria, I — 	I, Ashurbanipal, great king, mighty king, king of the world, king of Assyria, king of the four quarters (of the world); son of Esarhaddon, great king, mighty king, king of the world, king of Assyria, viceroy of Babylon, king of the land of Sumer and Akkad, who (re)settled Babylon, (re)built Esagil, renovated the sanctuaries of all cult centers, constantly established appropriate procedures in them, and (re)confirmed their interrupted regular offerings, (who) restored the rites (and) rituals according to the old pattern; grandson of Sennacherib, great king, mighty king, king of the world, king of Assyria, I — 
to the Borsippeans ... 	for the Hamureans ... 
May Šamaš and Marduk bless the crown prince, my lord!	May Nabû (and) Marduk bless the king, our lord!
Total, ... minas of silver.	... 20 minas of silver
... if in the river ... 	... into the presence ... 
2 cavalry mounts, 	17 cavalry mounts,
Concerning NN, about whom the king, my lord wrote to me, ... dwelt	As to the people about whom the king, my lord, wrote me ... 
shall place 10 minas of silver and one mina of gold in the lap of Ištar of Nineveh, and shall return the money tenfold to its owners. He shall contest in his lawsuit and not succeed.	shall place 10 minas of refined silver (and) x minas of pure gold in the lap of Ninurta residing in Calah, and shall return the money tenfold to its owners. He shall contest in his lawsuit and not succeed.
... will achieve life ... 	... will they go ... ?
Whoever in the future, at any time, lodges a complaint, shall return the money tenfold to its owners.	Whoever in the future, at any time, lodges a complaint and breaks the contract,
Witness Urda-Šamaš. Witness Šamaš-eriba.	Witness ... -ašared. Witness Šamšiya.
x fat sheep and spring lambs;	10 sheep, 10 spring lambs, fat;
On my third campaign, I marched against Baʾalu, the king of the land Tyre who resides in the middle of the sea. Because he did not honor my royal command(s and) did not obey the pronouncement(s) from my lips, I set up outposts against him. By sea and dry land, I took control of (all of) his routes. I constricted (and) cut short their lives. I made them (the people of Tyre) bow down to my yoke.	On my third campaign, I marched against Baʾalu, the king of the land Tyre who resides in the middle of the sea. Because he did not honor my royal command(s and) did not obey the pronouncement(s) from my lip(s), (iii 20') I set up outposts against him. To prevent his people from leaving, I reinforced (its) garrison. By sea and dry land, I took control of (all of) his routes (and thus) cut off (all) access to him. (iii 25') I made water and food for the preservation of their lives scarce for their mouths. I confined them in a harsh imprisonment from which there was no escape. I constricted (and) cut short their lives. I made them (the people of Tyre) bow down to my yoke.
Witness ... buri... 	Witness ... 
... guršî;	... -rahî;
The left side of the gall bladder is attached ... 	... is present. The left of the gall bladder is attached.
son of Tiglath-pileser (II), king of the universe, king of Assyria, son of Aššur-rēša-iši (II) (who was) also king of the universe (and) king of Assyria:	Statue of Adad-nārārī, strong king, king of the universe, king of Assyria, son of Aššur-dān (II), king of the universe, king of Assyria, son of Tiglath-pileser (II) (who was) also king of the universe (and) king of Assyria.
the gods of the king, my lord, ... 	... Aššur to the king, my lord ... 
— On the 1st day the moon became visible.	... on the 29th the moon became visible.
Witness Uarbis, ditto.	Witness Arbailayu, ditto.
Šulmu-... , ... ;	Apladad-... , ... ;
16 ... 	4 ... 
... praises you, lady ... 	... prayed and ... 
8 shekels of silver belonging to Kiṣir-Aššur, at the disposal of Nargî, son of Šamaš-na'id, from Issete.	16 shekels of silver belonging to Kiṣir-Aššur, at the disposal of Abdi-Samsi.
with the messenger of NN	of the messenger ... 
until your enemies ... 	... your enemy ... 
The doors which the Assyrians ... 	The rest which is in ... 
I have set (aside) ... for the king, my lord; let them fetch and consult ... 	I have set (aside) ... for the king, my lord; let them fetch and consult (the dictionary) Arû = "to lead."
1 irginu-coloured horse, 2 mares: in all 3 horses — Harmaku/ki.	1 red horse, 3 irginu-coloured horses, 14 mares: in all 18 horses, 
The money is paid completely... and field, house, garden, 2 wells are purchased and acquired. Any revocation, lawsuit, or litigation is void.	The money is paid completely. Those fields, houses and people are purchased and acquired. Any revocation, lawsuit, or litigation is void.
... the rest of ... 	... s to ... 
Witness Innanni, superintendent of Nineveh.	Witness NN, citizen of Nineveh.
3 seahs of grapes, 1 seah of ... ,	9 seahs of honey, 5 seahs of oil ... 
Witness Tabalayu, ditto. Witness NN.	Witness Kanunayu. Witness NN.
If Gemini stand in the halo of the moon and ... 	— Saturn stands in the halo of the moon.
Urad-Adad, ... ;	Gada', ... ;
This night, the moon was surrounded by a halo, and Jupiter and Scorpius stood in it.	Tonight the moon was surrounded by a halo, and the Old Man Star and Gemini stood in it.
Witness Šarru-nadin-ahhe.	Witness ... -nadin-ahhe.
total, the 28th day.	1 seah, the 28th day;
To the god Marduk, his lord: Esarhaddon, king of Assyria, gave (this eyestone) for his (long) life.	To the god Marduk, great lord, his lord: Esarhaddon, king of the world, king of Assyria, presented (this object) for the sake of his life.
... his ... ,	... s to ... 
They took booty ... 	he took ... 
Seal of Lu-šakin son of Sariuni from the city of Bit-abi-ilaya, owner of the land being sold for a number of years.	Seal of Urdu-Issar, son of Urdu-Aššur, from the town of Kankanu, owner of the field being sold for a number of years.
Month Sivan (III) ... 	Month Sivan, 16th day ... 
Nabû-šumu-iddina;	Marduk-šumu-iddina 
All this ... came in.	All this ... 
30 horses, ṣibtu-tax;	30 horses total;
... -Nabû together	... altogether
Seal of Mutaqqin-ilu, owner of the man.	Fingernail of Sin-na'id, owner of the man.
... left of the moon ... 	... the meadow of the town ... 
Month Tammuz (IV), ... th day, eponym year of Mannu-ki-Adad.	Month Iyyar (II), 6th day, eponym year of NN.
... I establish 	... establishes.
May the god Marduk, great lord, look upon this work of mine (with pleasure) and may he grant (a long) life to Sargon, the prince who provides for him. May his reign be as firm as the foundation of Babylon.	May the god Marduk, great lord, look upon this work (with pleasure) and may he bestow a (long) life on Sargon, the prince who provides for him! May his reign be as firm as the foundation of Babylon!
my energy to ... 	my lord to ... 
26 1/2 minas in ... 	12 minas for 1 ... ;
Witness Adad-abu-uṣur, son of Duri-Adad.	Witness Nergal-šarru-uṣur, son of Dayyan-Adad.
... they ... us	... s to ... 
Witness Azi-il, ditto.	Witness Azi-il, scribe.
a well ... 	when ... 
... he has gone... 	... wherever he goes ... 
... messages ... 	... my ... 
1, governor of Arrapha;	1, (governor of) Calah;
Month Sivan (III), 16th day, eponym year of Ša-Nabû-šû.	Month Iyyar (II), 6th day, eponym year of NN.
... Sin-iqbi.	... Sin-eriba
Ditto by all the gods of Kilizi!	Ditto by all the gods of Nineveh!
Witness Pilaqqanu, commander-of-fifty of the mounted archers.	Witness Sangu-Issar, commander-of-fifty of the tanners of  coloured leather.
... they ... and	... who ... 
Snake ... 	Bakkâ ... 
If Venus in Tebet (X) from the 1st to the 30th day disappears in the west: the harvest of the land will prosper.	If Venus disappears in the west in Ab (V) from the 1st to the 30th day: there will be rains; the harvest of the land will prosper.
Witness Urda-Inurta, scribe.	Witness Azi-il, scribe.
Month Elul (VI), 28(th) day, eponym year of Šamaš-šarru-ibni.	Month Tishri (VII), 20th day, eponym year of Gabbaru.
... has exceeded Der ... 	... has entered ... 
If the moon at its appearance is high and becomes visible: the enemy will plunder in the land.	If the moon at its appearance stands low and becomes visible: the enemy will plunder in the land.
May a later prince, when that wall, ziggurrat, and gate become dilapidated, restore them. (Then) the goddess Ištar will listen to his prayers.	May a later prince restore it (and) return my inscribed name to its place. (Then) the goddess Ištar will listen to his prayers.
Witness Ziziya, ditto.	Witness Arbailayu, ditto.
we want to become strong ... 	to be(come) strong(er) ... 
Seal of Nergal-šarru-uṣur, ... 	to Bel-šarru-uṣur ... 
the lady Ekallitu in ... 	they call it ... 
Witness Nuhšaya, ... conscript.	Witness Ubru-Aššur, conscript.
... , his son, ... s ... 	... his ... against ... 
For the second time ... 	the second-best ... 
The king of Elam ... is in Bit-Bunakki.	The king of Elam ... 
wood ... 	to ... 
Witness ... ni, 2 (witnesses from) Šuru.	Witness ... di, a total of 3 witnesses from ... 
4 heads (and) breasts of x roast sheep.	3 heads, the breasts of 4 roast sheep.
My ... , whom ... to ... 	... who ... does ... 
NN, son of Balasu, ... 	NN, son of Nabû-... 
In the hidden depths of its subterranean waters I very firmly bonded reeds below (and) bitumen above with large (blocks of) limestone. I raised a plot of land that was 554 cubits long (and) 289 cubits wide out of the water and converted (it) into an empty lot. (40) I added (it) to the former dimensions of the terrace, and raised its superstructure in its entirety 190 courses of brick. I enlarged the structure of the palace to 914 large cubits along (its) longer side and 440 large cubits along (its) shorter side and (thus) I made its site bigger.	In its subterranean waters I very firmly bonded reeds below (and) bitumen above with large (blocks of) limestone. I raised a plot of land that was 340 cubits long (and) 289 cubits wide out of the water and converted (it) into an empty lot. I added (it) to the dimensions of the former terrace (and) thereby enlarged the entire terrace to 700 large cubits along (its) longer side and 440 cubits along (its) shorter side. I raised its superstructure 190 courses of brick high.
In intercalary Adar (XII/2) on the 14th day the moon will be seen with the sun.	In Adar (XII) on the 14th day the moon will make an eclipse.
a total of 31 Kushite (horses), 49 cavalry mounts — 80 horses  in all — have come in today.	a total of 139 Kushite and Mesean (horses) — 160 horses trained  to the yoke in all — have come in today.
... saying: "Just as	... , saying: "... 
in all 7 bronzesmiths; 1 of 4 spans' height; 1 3 spans' height; 5 ... 	... son of 4 spans' height, 1 son of 3 spans' height, ... 
... a libation jar ... 	... litigation ... 
... rib of ... ;	... s to ... 
Witness Mannu-ki-Adad, ... 	Witness Mannu-ki-Ninua.
... the Ru'uean(s)	... the Ru'u(a)
The 'station' is present. The beginning of the 'path' ... 	The 'station' is present. The 'path' is curled on the right... 
... The vertebrae are recessed ... 	... The vertebrae ... 
Samsi-... ,	Sin- ... ,
If the moon becomes visible on the 1st day: reliable speech; the land will  become happy.	If the moon becomes visible on the 1st day: reliable speech, the land will become happy.
A bow ... 	to ... 
Disregard what happens after my stipulated term; disregard that they should think about it but turn back and go away... 	Disregard what happens after my stipulated term. Disregard that they (may) think about it, but turn and ... 
The 'mass' rides upon the left side of the gall bladder.	The 'path' on the left of the gall bladder ... 
The base of the gall bladder is loose on the right, firm on the left... 	The base of the gall bladder is firm on the right, loose on the left.
adjoining the vineyard of Ahu-duri,	adjoining the vineyard of Aššur-ila'i,
... anywhere	... many
Whoever in the future, at any time, lodges a complaint, whether ... kiki or his sons, and seeks a lawsuit or litigation against Milki-nuri,	Whoever in the future, at any time, lodges a complaint and breaks the contract, whether Nabû-belu-uṣur or his sons or his grandsons, and seeks a lawsuit or litigation against Abdunu, his sons and his grandsons,
Witness Mahsi-Ia'u.	Witness Kusayu.
... the harvest of the city ... 	... the meadow of the town ... 
Nabû-bel-šumate;	Nabû-bel-šumati ... 
Second meal of the palace:	Send ... to the palace!"
The king’s word to NN, to ... , the people of Kar-Nergal ... and Bit-Dakkuri, old and young, every one of my servants: I am well, you can be glad.	The king's word to the Sealanders, old and young, my servants: I am well; you can be glad.
To the king, my lord: your servant Nabû-nadin-šumi. Good health  to the king, my lord! May Nabû and Marduk bless the king, my lord!	To the king, my lord: your servant Atanha-Šamaš. Good health to the king, my lord!
x+4 1-year-old (male) sheep,	x+8 1-year-old male sheep, 
1 ... s, the house ... ;	... s to ... 
You put (on) her ... 	You put ... 
... I did not seal	... he did not give
I turned around (lit. “I turned the front of my yoke”) and returned safely to Assyria.	With much plunder (and) substantial booty, I turned around (lit. “I turned the front of my yoke”) and returned safely to Assyria.
50 of sown land under cultivation therein.	280 under cultivation therein
40 ditto of shallots;	a ditto of small onions;
Month Tebet (X), 22nd day, eponym year of Mannu-ki-šarri.	Month Tammuz (IV), 2nd day, eponym year of ... 
because of the capture ... 	because of ... 
Just as young sheep and ewes and male and female spring lambs are slit open and their entrails rolled down over their feet, so may the entrails of your sons and your daughters roll down over your feet.	Just as young sheep and ewes and male and female spring lambs are slit open and their entrails rolled down over their feet, so may your entrails (and) the entrails of your sons and your daughters roll down over your feet.
... man	... ayu
Witness Šarru-šumu-ka''in.	Witness Nabû-šumu-iddina.
To the king, our lord: your servants, Ṭab-šar-Sin, Akkullanu, and Marduk-šallim-ahhe. Good health to the king, our lord. May Aššur, (Sin), Šamaš, Nabû, Marduk ... bless the king, our lord	To the king, my lord: your servant Nabû-ahhe-eriba. Good health to the king, my lord! May Nabû and Marduk bless the king, my lord!
Month Tishri (VII), 22nd day, eponym year of Bel-šarrani, governor of Kurbail.	Month Tishri (VII), 20th day, eponym year of Gabbaru.
Witness Sin-natannu, ... 	Witness Qiti-muti, ... 
... gold for ... 	... s to ... 
the moon and sun	the moon (and) the sun ... 
the priest ... to NN	The priest ... 
x black horses, 4 irginu-coloured ... ,	5 black horses, 5 irginu-coloured horses,
The night of the 14th day there was no observation; let the son of the king sleep.	The night of the 15th day there was no observation; let the son of the king sleep.
... revealed	... has released
For the god Marduk, great lord, compassionate god who dwells in Esagila, lord of Babylon, his lord: 	For the god Marduk, great lord, compassionate god who dwells in Esagil, lord of Babylon, his lord: 
of 2 male donkeys ... 	32 donkeys ... 
from Patibira ... !	from there ... 
(For) the god Nanna, king of the Enlil (circle of) gods, his lord: Sîn-balāssu-iqbi, viceroy of Ur, who provides for Eridu, built Ekišibgalekura, the abode of the god Ninimma.	(For) the god Nanna, king of the Enlil (circle of) gods, his lord: Sîn-balāssu-iqbi, viceroy of Ur, who provides for Eridu, built Eašanamar, the abode of the god Enlil.
I tore down that palace in its entirety. I took much fallow land from the meadow and plain of the city as an addition (and) I added (it) to (the site). I abandoned the site of the former palace and filled in a terrace in the area of the meadow that I had taken from the river bank. I raised its superstructure 200 courses of brick high.	I tore down that palace in its entirety. (60) As an addition, I took much fallow land from the meadow (and) I added (it) to it. I abandoned the site of the former palace and filled in a terrace in the fallow land that I had taken from the meadow. I raised its superstructure 200 courses of brick high, measured by my large brick mold.
... NN	... ?
in all, 4 eunuchs.	in all 4 Samaneans.
in all 2 men, owners of the garden being sold.	Seal of ... , owner of the ... being sold.
the village of Ha... ,	The village of Qu... ,
... kept	... report
a flask of lā'u-wine	A flask of mēzu-wine;
The upper and lower parts ... 	The upper and lower parts are equal ... 
Witness Issar-šumu-lešir.	Witness Issar-na'id.
... the king, my lord should know ... 	... Aššur to the king, my lord ... 
from Cutha ... 	from ... 
The baths of Sîn: 	The new baths of Adad: 
18 ditto, ditto, the front ditto, 1 1/2 mina;	... ditto, ditto, the front ditto, 1 1/3 mina;
quickly ... " —	... quickly ... 
... aya;	... ayu
Witness Aššur-na'id.	Witness Aššur-... 
Witness Aššur-taqqinanni, ... 	Witness Aššur-... 
Silim-Aššur.	Silim-Ashur,
which in the city of ... 	which to the king, my lord, ... 
Witness ... ti, son of Laiti-il.	Witness ... -hutni, son of Sin-ahu-iddina.
In the future may a later prince, when the storehouses  (and) their doors become dilapidated and he restores (them), rebuild as I did. May he restore my inscribed name to its place. (Then) the gods Aššur, Anu, and Adad will listen to his prayers.	In the future may a later prince, when that temple becomes dilapidated and he restores (it), restore my monumental inscriptions and inscribed name to their places. (Then) Aššur will listen to his prayers.
Shalmaneser, appointee of the god Enlil, vice-regent of the god Aššur, strong king, king of Assyria, son of Adad-nārārī (I), vice-regent of the god Aššur, son of Arik-dīn-ili (who was) also vice-regent of the god Aššur:	Shalmaneser, appointee of the god Enlil, vice-regent of Aššur, son of Adad-nārārī (I), vice-regent of Aššur, son of Arik-dīn-ili (who was) also vice-regent of Aššur:
has returned ... 	... he returns ... 
Abdi-Milkūti, its king, in the face of my weapons, fled into the midst of the sea. By the command of the god Aššur, my lord, I caught him like a fish from the midst of the sea and cut off his head. I carried off his wife, his sons, his daughters, his palace retainers, silver, gold, (ii 20') goods and property, precious stones, garments with trimming and linen(s), everything of value from his palace in huge quantities, (and) took away (his) far-flung people (who were) beyond counting, oxen, sheep and goats, (and) donkeys in huge numbers to Assyria. I gathered the kings of Ḫatti (Syria-Palestine) and the seacoast, all of them, and had (them) build a city in another place, and I named it Kār-Esarhaddon.	(As for) Abdi-Milkūti, king of Sidon, (who) did not fear my lordship (and) did not listen to the words of my lips, who trusted in the rolling sea and threw off the yoke of the god Aššur — I leveled Sidon, his stronghold, which is situated in the midst of the sea, like a flood, tore out its wall(s) and its dwelling(s), and (ii 70) threw (them) into the sea; and I (even) made the site where it stood disappear. Abdi-Milkūti, its king, in the face of my weapons, fled into the midst of the sea. By the command of the god Aššur, my lord, I caught him like a fish from the midst of the sea and cut off his head. I carried off his wife, his sons, his daughters, (ii 75) his palace retainers, gold, silver, goods, property, precious stones, garments with trimming and linen(s), elephant hide(s), ivory, ebony, boxwood, everything of value from his palace in huge quantities, (and) took away his far-flung people who were beyond counting, oxen, sheep and goats, and donkeys in huge numbers (ii 80) to Assyria. I gathered the kings of Ḫatti (Syria-Palestine) and the seacoast, all of them, and had (them) build a city in another place, and I named it Kār-Esarhaddon.
4 mules:	9 mules:
adjoining the estate of Marduk-belu-uṣur,	adjoining the estate of Bel-šarru-uṣur —
a basket of fruit,	1 basket of (mixed) fruit.
(With regard to) 154 talents, 26 minas, (and) 10 shekels of red gold, 1,604 talents (and) 20 minas of pure silver, copper, iron, obsidian, lapis-lazuli, banded agate, (... ) blue turquoise, green turquoise (... ), (iii' 5) (and) muššaru-stone in large quantities, blue-purple wool, red-purple wool, garments with multi-colored trim and linen (garments), boxwood, cedar, cypress, (and) every kind of aromatic, the products of Mount Amanus, whose scent(s) are pleasant — from the beginning of my reign until (my) third year, I presented (these things) as gifts (iii' 10) to the deities Marduk, Zarpanītu, Nabû, Tašmētu, and the (other) gods who dwell in the cult centers of the land of Sumer and Akkad.	blue turquoise, green turquoise, ... of banded agate (and) muššaru-stone ... , (vii 10) copper, tin, iron, lead, ... skilled ... , blue-purple wool, red-purple wool, garments with multi-colored trim and linen (garments), boxwood, cedar, cypress, (and) every kind of aromatic, (vii 15) the products of Mount Amanus, whose scent(s) are pleasant — from the beginning of my reign until (my) fourth year, I presented (these things) as gifts to the deities Marduk, Zarpanītu, Nabû, Tašmētu, and the (other) gods who dwell in the cult centers of the land of Sumer and Akkad.
... , saying	... said
In the future may a later prince, when the facing (of the quay wall) and the drains therein become dilapidated and he renews (them), restore the name of Aššur-uballiṭ (I), my forefather, and my inscribed name to their places. (Then) Aššur will listen to his prayers.	In the future may a later prince, when that temple becomes dilapidated and he restores (it), restore my monumental inscriptions and inscribed name to their places. (Then) Aššur will listen to his prayers.
... on the 14th day the moon was seen with the sun.	— On the 14th day their light was seen together.
We will ... Šamaš-šumu-ukin ... , 	Šamaš-šumu-ukin ... 
The moon will be seen together with the sun, it will let the eclipse pass by, it will not make (it).	The moon will be seen together with the sun in Elul (VI) on the 15th day, it will let the eclipse pass by.
May Šamaš with an iron plough overturn your city, your  country and your district.	May Šamaš with an iron plough overturn your city and your district.
700 men ... 	My men ... 
... -iqbi	... -ila'i
And Bel-Harran-... 	Witness Bel-Harran-... 
... judgement of the city ... 	... in the city ... 
Witness ... aya	Witness ... 
... -šaduni ... 	... -niše ... ,
To the king, my lord: your servant Inurta-ila'i.	To the king, my lord: your servant Aššur-bani.
Month Elul (VI), 5th day, eponym year of Nabû-nadin-ahi.	Month Iyyar (II), 6th day, eponym year of NN.
... litigation	... litigation ... 
Ilu-u... , reporter.	... NN, reporter.
Etel-pu;	Bel-epuš;
To the king, our lord: your servants Nabû-ahhe-lumur and NN. Good health to the king, our lord. The city and the guard of the king, our lord, are well.	To the king, my lord: your servant Il-yada'. Good health to the king, my lord! The land and the forts of the king my lord are well. The king, my lord, can be glad.
Nabû-ahu-iddina ... 	Nabû-šumu-iškun ... 
I raged up like a lion, then put on armor (and) placed a helmet suitable for combat on my head. (v 15') In my anger, I rode quickly in my exalted battle chariot, which lays enemies low. I took in my hand the mighty bow that the god Aššur had granted to me (and) I grasped in my hand an arrow that cuts off life.	I raged up like a lion, then put on armor (and) placed a helmet suitable for combat on my head. (v 60) In my anger, I rode quickly in my exalted battle chariot, which lays enemies low. I took in my hand the mighty bow that the god Aššur had granted to me (and) I grasped in my hand an arrow that cuts off life.
When they came ... 	in the temple ... 
and the men ... 	In the evening ... 
As for the one who removes my inscriptions and my name: May the goddess Ištar, my mistress, break his weapon (and) hand him over to his enemies.	As for the one who removes my inscriptions and my name: May the god Aššur, my lord, overthrow his sovereignty (and) destroy his name (and) his seed from the land.
the woman (... )kabuttu	the woman Sî... 
We shall see ... 	... and shall send ... 
The 'path' and 'well-being' are present ... 	The 'path,' 'strength,' and 'well-being' are present.
... of the Review Palace.	... of the Succession Palace;
... , the Sun-image, ... ,	... the men ... 
... of the centre of the city	... of the country of ... ,
2 cuts of shoulder of an ox  of the temple of Dagan, of the chief treasurer;	7 (cuts of) meat of an ox, of the temple of Dagan — of the commander-in-chief.
... beet-like carnelian	... carnelian;
Month Iyyar (II), 14th day, eponym year of Upaq-ana-Arbail.	Month Iyyar (II), 6th day, eponym year of NN.
before the (king) of Hamath ... 	 before the kings ... 
I expertly fashioned four mountain sheep colossi of silver (and) bronze, together with mountain sheep colossi of massive mountain stone, and in four directions I made (them) hold their (the gates’) suitable door bolt(s).	I expertly fashioned four mountain sheep colossi of silver (and) bronze, together with mountain sheep colossi of massive mountain stone, and in four directions I had (them) hold their (the gates’) suitable door bolt(s).
... with them to ... 	... whom the king ... 
There are ... 	there is ... 
Esarhaddon, king of the world, king of Assyria; son of Sennacherib, king of the world (and) king of Assyria; the one who (re)constructed the temple of the god Aššur, (re)built Esagil (5) and Babylon, ... , restored  the shrines of cult centers, completed the rites and ... , (10) (and) (re)confirmed the sattukku offerings ... of the great gods, am I.	I, Aššur-etel-ilāni-mukīn-apli, king of the world, king of Assyria, son of Sennacherib, king of the world (and) king of Assyria, descendant of Sargon (II), king of the world (and) king of Assyria; the one who (re)constructed the temple of the god Aššur, (5) (re)built Esagil and Babylon, restored the shrines of cult centers, completed the rites, (and) (re)confirmed the offerings of the great gods; I am also the one who knows how to greatly revere the gods and goddesses of heaven and netherworld.
a king who before ... 	which before ... 
at the disposal of Partama.	at the disposal of Banî, deputy,
