I brought ... and gave ... where ... 	... whom the king ... 
When ... the one who fashions living creatures ... , the judicious god whose command cannot be altered, the emminent god Marduk, whose command ... , (5') who hears petition(s), renders decisions, (and) takes ... , who gives share(s) of the (food) offerings to the gods of heaven and netherworld, the ruler of the black-headed people, who assigns the scepter of men, ... (who has) a cunning mind, circumspect, high(est) among the gods, (who)se supreme lordship induces awe in heaven and netherworld, ... (10') the wise, intelligent one, counselor of the Igīgū gods, the merciful god, whom to look ... , Sargon, king of Assyria, king of the world, the prince, his (Marduk’s) protégé, the pious vizier who reveres his (Marduk’s) divine majesty, the governor (appointed) by the god Enlil, the king ... , the prince who reveres him, the (city) wall of Sirara, which had been built from earlier days and ... in order to build this wall that Sargon, king of Assyria, king of the world, had desired ... , Nabû-bēlu-kaʾʾin, the governor of the city Arrapḫa ... to ... 	(As for) the citizens of (the cities) Sippar, Nippur, Babylon, (and) Borsippa who through no fault of their own had been held captive in them, I put an end to their imprisonment and let them see the light (of day). (With regard to) their fields, which long ago, while the land was in disorder, the Sutians had taken away and appropriated for their own — I struck down (those) Sutians, the people of the steppe, with the sword. I restored to their former status their territories, (whose boundaries) had been forgotten (and) fallen into disuse during the troubled period in the land. I (re)-established the freedom (from obligations) of (the cities) Ur, Uruk, Eridu, Larsa, Kullaba, Kissik, (and) Nēmed-Laguda. Moreover, I returned their gods that had been carried off as booty to their cult centers and I restored their regular offerings that had been discontinued.
At that time I built high towers in Eḫursagkurkurra, the temple of the god Aššur, my lord, at the holy Kalkal Gate. I installed a bronze entrance with large steps. I erected architraves with bosses, emblems, and bronze doors.	I filled Mount Ḫauranu (Hauran) with ... (15) I carried off ... (and) ... thousand sheep. I conquered ... Moreover, as for her (Samsi?), the terrifying radiance of (the god) Aššur, my lord, overwhelmed her and ... I spared her so (she would) praise (the victory of the god Aššur)... I set up ... as governors. 
Ṣil-Nabû, his wife, 3 adolescent sons, 1 suckling, total 6.	If the king does not punish one scribe, the others will not get scared.
In my fourth regnal year, I marched to the land Tabal. I conquered the city Šinuḫtu, Kiakki’s fortified city. That (individual), together with his family, ... elephant hides, elephant ivory, ebony, boxwood, garments with multi-colored trim (and) linen garments, equipment, battle gear ... , their sheep and goats, herds of horses, (and) donkeys, I carried off as booty in countless numbers. I received tribute from the kings of the land of Tabal ... 	I filled Mount Ḫauranu (Hauran) with ... (15) I carried off ... (and) ... thousand sheep. I conquered ... Moreover, as for her (Samsi?), the terrifying radiance of (the god) Aššur, my lord, overwhelmed her and ... I spared her so (she would) praise (the victory of the god Aššur)... I set up ... as governors. 
Send to me those who are in your presence, so I will ... 	... ditto, ditto, the front red, of the port; 4 ... ;
Witness Aplaya son of Mušallim-Aššur, ditto.	Witness Ubru-Issar, servant of ... 
... my years that I sat proudly on the throne of the father who had engendered me.	Disregard that an unclean person has performed extispicy in this place... 
Garruṣu has taken it as a loan from Bahianu.	the advice ... that they gave, it (or) anything
have been placed in him.	of the campaign ... 
Incantation. Bel-eṭir, raped captive, doubly so, runny-eyed one, doubly so, squint-eyed man, doubly so,	Assurbanipal, king of Assyria, a king created by you, whose present condition is not good,
NN and his wife NN, in all 2 (persons); Urda-Nanaya, ... ;	... and shall send ... 
Witness Zizî, deputy cohort commander.	Witness Ubru-Issar, servant of ... 
In days to come, may a future ruler among the kings, my descendants, renovate (any) dilapidated sections of this palace. May he (then) discover my inscribed object, anoint (it) with oil, offer a sacrifice, (and) return (it) to its (original) place. The god Aššur will (then) listen to his prayers.	I filled Mount Ḫauranu (Hauran) with ... (15) I carried off ... (and) ... thousand sheep. I conquered ... Moreover, as for her (Samsi?), the terrifying radiance of (the god) Aššur, my lord, overwhelmed her and ... I spared her so (she would) praise (the victory of the god Aššur)... I set up ... as governors. 
lord of the foundation of heaven (and) netherworld, 	... ditto, ditto, the front red, of the port; 4 ... ;
Witness Inurta-mušezib.	Witness ... 
x talents, the house of the tailor(s);	adjoining the house of Ṣil-Nabû,
You did battle within his city and wrought a blood bath at the city gate. You cut down his orchards. Two hundred and fifty-six cities in its vicinity you razed, destroyed, and burned.	shall place 10 minas of refined silver (and) x minas of pure gold in the lap of Ninurta residing in Calah, and shall return the money tenfold to its owners. He shall contest in his lawsuit and not succeed.
he is handing over in installments the 5 teams of colts of the memorandum;	... ditto, ditto, the front red, of the port; 4 ... ;
The work looks good; it is being done. The king, my lord, can be glad.	To the king, my lord: your servant NN. Good health to the king, my lord!
The great lord, the king of the gods, Ninurta, has sent me:	Now (however), following the king, my lord's instructions, I strictly ... do not argue with any of the sheikhs.
... my servants	... we captured
... who destroyed the habitations of ... 	... whom the king ... 
... ; NN, farmer, and his people; NN, ... 	... whom the king ... 
At that time, a statue of ... 	4 minas ... ;
These Kummeans are runaways; they have run away from Kumme.	The day (means) the sun. 
I returned the plundered gods of the lands from Assyria and the land Elam to their place and I set up proper procedures in all of the cult centers.	Now (however), following the king, my lord's instructions, I strictly ... do not argue with any of the sheikhs.
Now then I am writing to the king, my lord. Let them write to me what the king my lord's instructions are.	Now (however), following the king, my lord's instructions, I strictly ... do not argue with any of the sheikhs.
Bir-yatate, son of NN, ... 	Witness ... 
Palace of Sennacherib, (... ) ... 	of the campaign ... 
If ... comes close to the moon and stands there: ... will be sated ... the king of the land will widen (his) understanding ... 	Now (however), following the king, my lord's instructions, I strictly ... do not argue with any of the sheikhs.
the compassionate god to whom it is good to pray ... ;	Disregard that an unclean person has performed extispicy in this place... 
my inside ... 	Witness ... 
They killed ... 	Witness ... 
4 mules:	... male sheep
... words of the Lord-of-Lords, Marduk, ... 	... whom the king ... 
In their corridors, I made openings for latticed windows. At their gates, I stationed apotropaic figures of alabaster (and) elephant ivory, whose hands are folded, who are laden with pride (and) allure, (and) who are filled with exuberance, and (thus) I made (them) an object of wonder. 	I filled Mount Ḫauranu (Hauran) with ... (15) I carried off ... (and) ... thousand sheep. I conquered ... Moreover, as for her (Samsi?), the terrifying radiance of (the god) Aššur, my lord, overwhelmed her and ... I spared her so (she would) praise (the victory of the god Aššur)... I set up ... as governors. 
... Marduk-šarru-uṣur in reports	Witness Marduk-zeru-ibni, scribe.
— Mars came close to Scorpius.	The day (means) the sun. 
or any of the exempt, the troops who plotted sedition and rebellion, or their brothers, (or) their sons, or their nephews, or their friends and guests, or those who are in their confidence,	Perhaps the king will say: "Have they started a lawsuit against somebody?" By Bel, Nabû, (and) the gods of the king ... , I sent these words to the king, my lord, only today. May the lord of kings do as he deems best, and may Enlil, Šamaš and Marduk, the great gods, and the gods of Nippur and Babylon lengthen the days of the king, my lord.
... are doing what is not good to the king.	adjoining the house of Ṣil-Nabû,
Zarpanitu, whose hands are stretched out, prays to Aššur, Anu, Sin, Šamaš and Adad: "Let Bel live! Do not kill him!	May (this query) go to your great divinity, O Šamaš, great lord, and may an oracle be given as an answer.
With regard to the city Urraṭinaš, their stronghold situated in the land Panaru, the terror, fear, (and) splendor of the god Aššur, my lord, overwhelmed them. To save (ii 40) their lives they took their gods (and) possessions and flew like birds to ledges on high mountains. Taking my chariotry and army I crossed the Tigris. Šadi-Tešub, son of Ḫattuḫu, king (ii 45) of the city Urraṭinaš, submitted to me in his own land. I took his natural sons and his family as hostages. He brought to me as tribute and tax 60 copper kettles, bronze vats, (ii 50) and large bronze bath-tubs, together with 120 men, cattle, and sheep. I accepted his (tribute), spared him (and) preserved his life. (ii 55) I imposed upon him forever the heavy yoke of my dominion. I completely conquered the extensive land Katmuḫu and subdued it.	On my third campaign, I marched against Baʾalu, the king of the land Tyre who resides in the middle of the sea. Because he did not honor my royal command(s and) did not obey the pronouncement(s) from my lip(s), (iii 20') I set up outposts against him. To prevent his people from leaving, I reinforced (its) garrison. By sea and dry land, I took control of (all of) his routes (and thus) cut off (all) access to him. (iii 25') I made water and food for the preservation of their lives scarce for their mouths. I confined them in a harsh imprisonment from which there was no escape. I constricted (and) cut short their lives. I made them (the people of Tyre) bow down to my yoke.
... ayu — ... 	4 minas ... ;
The 'paths' are two ... 	4 minas ... ;
Witness Tillayu, ... 	Witness ... 
Let him organize the country and give it to the king, and may we, the dead ones, be revived; may the strong breeze of the king waft over us, so we shall be revived.	Now (however), following the king, my lord's instructions, I strictly ... do not argue with any of the sheikhs.
100 turtledoves, served hot;	1 urnutu-garment, the front (red), of the country.
We let the teams from Calah go by; my chariot, my team (and) my driver went (with) Nabû'a the bodyguard as far as Šabirešu, and those of Šabirešu let them go by.	Legitimate heir of Aššur-dān (I), bearer of the holy scepter, commander of the subjects of the god Enlil, the one whose deeds and offerings are pleasing to the great gods, and who lived to a ripe old age;
Abu (V), fifth day, eponymy of Nabû-bēlī-uṣur, governor of the city Dūr-Šarrukku (672 BC).	Month Iyyar (II), 6th day, eponym year of NN.
Through their wide understanding they ... 	... whom the king ... 
Mars was sighted in the month of Ab (V); now it has approached within 2.5 spans (= 3°30') of Libra. As soon as it has come close to it, I shall write its interpretation to the king, my lord.	Perhaps the king will say: "Have they started a lawsuit against somebody?" By Bel, Nabû, (and) the gods of the king ... , I sent these words to the king, my lord, only today. May the lord of kings do as he deems best, and may Enlil, Šamaš and Marduk, the great gods, and the gods of Nippur and Babylon lengthen the days of the king, my lord.
Your servant Ullubaya: I would gladly die for the king, my lord! Say to the king, my lord:	To the king, my lord: your servant NN. Good health to the king, my lord!
I, Sennacherib, king of Assyria, built (this) temple for the god Zababa.	To the king, my lord: your servant NN. Good health to the king, my lord!
Disregard that I, the haruspex your servant, am dressed in my ordinary soiled garments, have seen fear and terror at night ... 	Disregard that an unclean person has performed extispicy in this place... 
their seed-corn ... 	Witness ... 
I am bound by the treaty of the king my lord; I cannot conceal the words of ... 	Now (however), following the king, my lord's instructions, I strictly ... do not argue with any of the sheikhs.
If he does not pay in Marchesvan (VIII), the silver shall increase by 50 percent.	If the left of the gall bladder is attached: your expeditionary force will slay the enemy.
concerning the work on ... 	Witness ... 
Whoever you are, O scribe, who are reading (this letter), do not hide it from the king, your lord! Speak for me before the king, so Bel (and) Nabû may speak for you before the king.	Perhaps the king will say: "Have they started a lawsuit against somebody?" By Bel, Nabû, (and) the gods of the king ... , I sent these words to the king, my lord, only today. May the lord of kings do as he deems best, and may Enlil, Šamaš and Marduk, the great gods, and the gods of Nippur and Babylon lengthen the days of the king, my lord.
You throw hand-water to Sîn, ... the ‘heart’ (and) ‘wrist,’ and say: “May the heart of your god, the heart of your fate, the hand of your god and the hand of your goddess become disengaged for you!” You say (thus) and ... 	I filled Mount Ḫauranu (Hauran) with ... (15) I carried off ... (and) ... thousand sheep. I conquered ... Moreover, as for her (Samsi?), the terrifying radiance of (the god) Aššur, my lord, overwhelmed her and ... I spared her so (she would) praise (the victory of the god Aššur)... I set up ... as governors. 
The tail ... he offers to Aššur without soaking it in bouillon. 	The city Iallgu of Bīt-Adini I conquered.
The guard Nabû-eṭiranni and Issar-šumu-ereš, a recruit of the team commander, brought me a team of Egyptian horses, saying: "This is a royal order: ‘Bring the horse(s) into the city of ... 	They did not agree but said: "We will not give them ... When the horses and mules ... , and he has come, then we shall pass them over." And they said: "Bring the men who went to Nabû-belu-ka''in, and we will ... !"
O Anunītu, exalted lady, speak good things about me in the presence of the god Enlil daily.	If the left of the gall bladder is attached: your expeditionary force will slay the enemy.
... whose mind, Nanna, the ... , has  turned to (re)settling the wasteland.	Disregard that an unclean person has performed extispicy in this place... 
Yet Nabû-taklak has also claimed authority over all the servants of ... , saying: "They should do as I command, the house of my lord should not exercise authority (over them)."	They did not agree but said: "We will not give them ... When the horses and mules ... , and he has come, then we shall pass them over." And they said: "Bring the men who went to Nabû-belu-ka''in, and we will ... !"
To the king, my lord: your servant Nabû-šumu-iškun. 	The day (means) the sun. 
Aššur and Illil — regular offerings, regular offerings are your reconciliation!	If the left of the gall bladder is attached: your expeditionary force will slay the enemy.
(As for) the goddess Nanāya, who 1,635 years (ago) became angry and (went to) live in a place not befitting her, as soon as the time had come (and) the fixed time had arrived, they (the gods) commanded her journey (back) to Uruk (and) her (re)entry into Eḫiliana. The king ... by the command of (the god) Aššur ... 	I filled Mount Ḫauranu (Hauran) with ... (15) I carried off ... (and) ... thousand sheep. I conquered ... Moreover, as for her (Samsi?), the terrifying radiance of (the god) Aššur, my lord, overwhelmed her and ... I spared her so (she would) praise (the victory of the god Aššur)... I set up ... as governors. 
Dannaya (and) Aššur-da''in-šarru, reporters... 	... (my) daughter ... 
mount an attack against ... Ša-Nabû-šû and his army, and kill and plunder (them)?	... he (Argištu) abandoned his camp (and) with a single horse he disappeared... 
If Leo is black: the land will not be happy.	News of Merodach-Baladan: he is in Babylon... will not overthrow him but ... 
from Babylon to ... 	4 minas ... ;
Šamaš-šuma-ukīn, viceroy of Babylon ... had (this) ... made and a boat ... it was brought with difficulty ... procession ... for the conveyance of his great lordship, (for his) going and returning ... , the god Šiddukišarra, who administers all of heaven and netherworld ... for his descent where water, the life of the land, the well-being of the house ... 	I filled Mount Ḫauranu (Hauran) with ... (15) I carried off ... (and) ... thousand sheep. I conquered ... Moreover, as for her (Samsi?), the terrifying radiance of (the god) Aššur, my lord, overwhelmed her and ... I spared her so (she would) praise (the victory of the god Aššur)... I set up ... as governors. 
... I asked ... Belet-ili, "Why?" ... 	... whom the king ... 
2 towels ... 	Witness ... 
Til-Barsip             	Marduk-bani-zeri             
Šarru-emuranni, 'third man' of the crown prince;	Tribute of Adinu, the man of Bīt-Dakkuri, the Chaldean.
I, Ashurbanipal, great king, mighty king, king of the world, king of Assyria, king of the four quarters (of the world); son of Esarhaddon, great king, mighty king, king of the world, king of Assyria, viceroy of Babylon, king of the land of Sumer and Akkad, who (re)settled Babylon, (re)built Esagil, renovated the sanctuaries of all the cult centers, constantly established appropriate procedures in them, and (re)confirmed their interrupted regular offerings, (who) restored the rites  (and) rituals according to the old pattern; grandson of Sennacherib, great king, mighty king, king of the world, king of Assyria, I — 	On my third campaign, I marched against Baʾalu, the king of the land Tyre who resides in the middle of the sea. Because he did not honor my royal command(s and) did not obey the pronouncement(s) from my lip(s), (iii 20') I set up outposts against him. To prevent his people from leaving, I reinforced (its) garrison. By sea and dry land, I took control of (all of) his routes (and thus) cut off (all) access to him. (iii 25') I made water and food for the preservation of their lives scarce for their mouths. I confined them in a harsh imprisonment from which there was no escape. I constricted (and) cut short their lives. I made them (the people of Tyre) bow down to my yoke.
to the Borsippeans ... 	Witness ... 
May Šamaš and Marduk bless the crown prince, my lord!	To the king, my lord: your servant NN. Good health to the king, my lord!
Total, ... minas of silver.	4 minas ... ;
Addî, Šarru-lu-dari, Bagusu:	Fingernail of Šarru-lu-dari,
... if in the river ... 	Witness ... 
2 cavalry mounts, 	The day (means) the sun. 
Concerning NN, about whom the king, my lord wrote to me, ... dwelt	Now (however), following the king, my lord's instructions, I strictly ... do not argue with any of the sheikhs.
shall place 10 minas of silver and one mina of gold in the lap of Ištar of Nineveh, and shall return the money tenfold to its owners. He shall contest in his lawsuit and not succeed.	They did not agree but said: "We will not give them ... When the horses and mules ... , and he has come, then we shall pass them over." And they said: "Bring the men who went to Nabû-belu-ka''in, and we will ... !"
... will achieve life ... 	4 minas ... ;
Whoever in the future, at any time, lodges a complaint, shall return the money tenfold to its owners.	Now (however), following the king, my lord's instructions, I strictly ... do not argue with any of the sheikhs.
of their deities, the one who carries out their purification rites to perfection, whose name the god Marduk called to (re)settle the desolate cult center(s) of the gods, (and) in whose hands he placed the abandoned mounds (that were) the sanctuaries of the gods.	I filled Mount Ḫauranu (Hauran) with ... (15) I carried off ... (and) ... thousand sheep. I conquered ... Moreover, as for her (Samsi?), the terrifying radiance of (the god) Aššur, my lord, overwhelmed her and ... I spared her so (she would) praise (the victory of the god Aššur)... I set up ... as governors. 
Witness Urda-Šamaš. Witness Šamaš-eriba.	Witness Ubru-Issar, servant of ... 
... Niqi-Tubliš	... Arbela
x fat sheep and spring lambs;	of the campaign ... 
I turned around (lit. “I turned the front of my yoke”) and took the road to the land Ellipi. Before my arrival, Ispabāra, their king, abandoned his fortified cities and fled far away. I conquered and plundered the cities Marʾubištu (and) Akkuddu, cities of his royal house, together with smal­l(er) settlements in their environs, (and then) I destroyed (them), devastated (them), (and) burned (them) with fire. I conquered the cities Ṣi(ṣ)ṣirtu (and) Kummaḫlum, fortified cities, together with the small(er) settlements in their environs. I detached from his land the district of the land Bīt-Barrû in its entirety, and I added (this area) to the territory of Assyria. 	On my third campaign, I marched against Baʾalu, the king of the land Tyre who resides in the middle of the sea. Because he did not honor my royal command(s and) did not obey the pronouncement(s) from my lip(s), (iii 20') I set up outposts against him. To prevent his people from leaving, I reinforced (its) garrison. By sea and dry land, I took control of (all of) his routes (and thus) cut off (all) access to him. (iii 25') I made water and food for the preservation of their lives scarce for their mouths. I confined them in a harsh imprisonment from which there was no escape. I constricted (and) cut short their lives. I made them (the people of Tyre) bow down to my yoke.
On my third campaign, I marched against Baʾalu, the king of the land Tyre who resides in the middle of the sea. Because he did not honor my royal command(s and) did not obey the pronouncement(s) from my lips, I set up outposts against him. By sea and dry land, I took control of (all of) his routes. I constricted (and) cut short their lives. I made them (the people of Tyre) bow down to my yoke.	On my third campaign, I marched against Baʾalu, the king of the land Tyre who resides in the middle of the sea. Because he did not honor my royal command(s and) did not obey the pronouncement(s) from my lip(s), (iii 20') I set up outposts against him. To prevent his people from leaving, I reinforced (its) garrison. By sea and dry land, I took control of (all of) his routes (and thus) cut off (all) access to him. (iii 25') I made water and food for the preservation of their lives scarce for their mouths. I confined them in a harsh imprisonment from which there was no escape. I constricted (and) cut short their lives. I made them (the people of Tyre) bow down to my yoke.
Witness ... buri... 	Witness ... 
... guršî;	4 minas ... ;
The left side of the gall bladder is attached ... 	... and shall send ... 
If he goes,  will he, be it through friendliness and peaceful negotiations, or by waging war, or by whatever tricks, recover these fortresses? Does your great divinity know it?	They did not agree but said: "We will not give them ... When the horses and mules ... , and he has come, then we shall pass them over." And they said: "Bring the men who went to Nabû-belu-ka''in, and we will ... !"
son of Tiglath-pileser (II), king of the universe, king of Assyria, son of Aššur-rēša-iši (II) (who was) also king of the universe (and) king of Assyria:	Now (however), following the king, my lord's instructions, I strictly ... do not argue with any of the sheikhs.
the gods of the king, my lord, ... 	Witness Ubru-Issar, servant of ... 
— On the 1st day the moon became visible.	Month ... , 23rd day, eponym year of Zazaya.
Witness Uarbis, ditto.	Witness ... 
Šulmu-... , ... ;	4 minas ... ;
16 ... 	Witness ... 
... praises you, lady ... 	Witness ... 
8 shekels of silver belonging to Kiṣir-Aššur, at the disposal of Nargî, son of Šamaš-na'id, from Issete.	Now (however), following the king, my lord's instructions, I strictly ... do not argue with any of the sheikhs.
O Marduk, the great lord, the Enlil of the gods, the resplendent one, the light of the gods — his ancestors — by your exalted command, which cannot be altered, may I be sated with the charms of the palace that I built; may I reach extreme old age (and) attain very old age inside it; may I receive inside it, from the horizon to the zenith, wherever the sun rises, substantial tribute from the kings of the regions of the entire inhabited world; (and) inside it may my descendants rule over the black-headed (people) forever.	On my third campaign, I marched against Baʾalu, the king of the land Tyre who resides in the middle of the sea. Because he did not honor my royal command(s and) did not obey the pronouncement(s) from my lip(s), (iii 20') I set up outposts against him. To prevent his people from leaving, I reinforced (its) garrison. By sea and dry land, I took control of (all of) his routes (and thus) cut off (all) access to him. (iii 25') I made water and food for the preservation of their lives scarce for their mouths. I confined them in a harsh imprisonment from which there was no escape. I constricted (and) cut short their lives. I made them (the people of Tyre) bow down to my yoke.
Bel-šallim, son of Yadi'-il;	Seal of Adad-naṣir,
You whose mother is Mullissu, have no fear! You whose nurse is the Lady of Arbela, have no fear!	Now (however), following the king, my lord's instructions, I strictly ... do not argue with any of the sheikhs.
with the messenger of NN	Witness Ubru-Issar, servant of ... 
until your enemies ... 	Witness ... 
The doors which the Assyrians ... 	Witness ... 
I have set (aside) ... for the king, my lord; let them fetch and consult ... 	Now (however), following the king, my lord's instructions, I strictly ... do not argue with any of the sheikhs.
At the moment I am laid up in the town Ša-Turmiš on the Zab river. The  king, my lord, knows that I ... whatever Šarru-iqbi of Ša-Turmiš together  with the heralds have taken.	Now (however), following the king, my lord's instructions, I strictly ... do not argue with any of the sheikhs.
(As for) the one who alters my stele (or) erases my inscribed name, may the great gods — as many as are mentioned by name on this stele — and the gods who live in the middle of the wide sea curse him angrily and make his name (and) his descendant(s) disappear from the land. (iv 70) May they not have pity (on him). May they reduce his people through famine, want, hunger, (and) plague. May they make him live in bondage under his enemy and may (his enemy) govern his land in the sight of his (own) eyes.	On my third campaign, I marched against Baʾalu, the king of the land Tyre who resides in the middle of the sea. Because he did not honor my royal command(s and) did not obey the pronouncement(s) from my lip(s), (iii 20') I set up outposts against him. To prevent his people from leaving, I reinforced (its) garrison. By sea and dry land, I took control of (all of) his routes (and thus) cut off (all) access to him. (iii 25') I made water and food for the preservation of their lives scarce for their mouths. I confined them in a harsh imprisonment from which there was no escape. I constricted (and) cut short their lives. I made them (the people of Tyre) bow down to my yoke.
1 irginu-coloured horse, 2 mares: in all 3 horses — Harmaku/ki.	... he (Argištu) abandoned his camp (and) with a single horse he disappeared... 
“... by (my own) mouth I spoke to you. Instructions (promising) good fortune, I have sent to you. With my support you are to attack the land of Amurru... listen to the issuing of your instructions! ... take me from Elam to Babylon! Let me, ... the lord of Babylon, give Elam to you! ... above and below.”	Perhaps the king will say: "Have they started a lawsuit against somebody?" By Bel, Nabû, (and) the gods of the king ... , I sent these words to the king, my lord, only today. May the lord of kings do as he deems best, and may Enlil, Šamaš and Marduk, the great gods, and the gods of Nippur and Babylon lengthen the days of the king, my lord.
The money is paid completely... and field, house, garden, 2 wells are purchased and acquired. Any revocation, lawsuit, or litigation is void.	They did not agree but said: "We will not give them ... When the horses and mules ... , and he has come, then we shall pass them over." And they said: "Bring the men who went to Nabû-belu-ka''in, and we will ... !"
(With regard to) Ebabbar, the temple of the god Šamaš of Sippar: As for that temple, Nebuchadnezzar, king of Babylon, a king of the past, had it removed, but he did not reach its original foundation(s). He (re)built that Ebabbar (anyway) and gave (it) to the god Šamaš, his lord. In (only) fifty-two years, the walls of that temple buckled and became old. 	Perhaps the king will say: "Have they started a lawsuit against somebody?" By Bel, Nabû, (and) the gods of the king ... , I sent these words to the king, my lord, only today. May the lord of kings do as he deems best, and may Enlil, Šamaš and Marduk, the great gods, and the gods of Nippur and Babylon lengthen the days of the king, my lord.
... neck ... to enter Assur, a passer-by opened his mouth and spoke to him like a man.	News of Merodach-Baladan: he is in Babylon... will not overthrow him but ... 
... the rest of ... 	Witness ... 
the kings living close by came up and ... 	... whom the king ... 
This covenant tablet of Aššur enters the king's presence on a cushion. Fragrant oil is sprinkled, sacrifices are made, incense is burnt, and they read it out in the king's presence.	They did not agree but said: "We will not give them ... When the horses and mules ... , and he has come, then we shall pass them over." And they said: "Bring the men who went to Nabû-belu-ka''in, and we will ... !"
The eunuch (whom) my lord 'sealed' is with them at the moment.	To the king, my lord: your servant NN. Good health to the king, my lord!
Those who keep watch in the fort sent out my letter(s).	The day (means) the sun. 
The men of the governor of Arrapha are doing the ferrying at Bab-bitqi.	To the king, my lord: your servant NN. Good health to the king, my lord!
