x talents, Sam'al;	x talents, the manager of the Review Palace;
Abu (V), fifth day, eponymy of Nabû-bēlī-uṣur, governor of the city Dūr-Šarrukku (672 BC).	Ayyāru (II), eighteenth day, eponymy of Nabû-bēlī-uṣur, governor of (the city) Dūr-Šarrukku (672 BC), when the treaty concerning Ashurbanipal, the senior son of the king, who (resides in) the House of Succession, was made.
Your servant Ullubaya: I would gladly die for the king, my lord! Say to the king, my lord:	Your servant Bel-iqiša: I would gladly die for the king of the universe, my lord! May Nabû and Marduk bless the king, my lord! Say to the king, my lord:
I, Sennacherib, king of Assyria, built (this) temple for the god Zababa.	I, Sennacherib, king of Assyria, built (this) house and gave (it) to my second son Aššur-<ilī>-muballissu... 
Disregard that I, the haruspex your servant, am dressed in my ordinary soiled garments, have seen fear and terror at night ... 	Disregard that I, the haruspex your servant, am dressed in my ordinary soiled garments, or jumbled the oracle query in my mouth... 
their seed-corn ... 	If Mati'-ilu, his sons, or his magnates who (sic!) sin against (this) treaty of Aššur-nerari, king of Assyria, may his farmers not sing the harvest song in the fields, may no vegetation spring forth in the open country and see the sunlight, may women fetching water not draw water from the springs, may ... be their food, ... their drink, ... 
I am bound by the treaty of the king my lord; I cannot conceal the words of ... 	I am bound by the treaty of the king, my lord; I cannot conceal the words of ... 
If he does not pay in Marchesvan (VIII), the silver shall increase by 50 percent.	If he does not pay, the silver shall increase 50 percent per shekel.
concerning the work on ... 	Concerning the ... in Adia, they have finished ... , (but) for laying the foundations, the earlier foundation stone which we loosened was (too) calcareous.
You throw hand-water to Sîn, ... the ‘heart’ (and) ‘wrist,’ and say: “May the heart of your god, the heart of your fate, the hand of your god and the hand of your goddess become disengaged for you!” You say (thus) and ... 	“May the heart of your god, the heart of your fate, the hand of your god and the hand of your goddess be disengaged for you!” You say (thus), he performs his rinsings, and his evil will be released. You sweep (the room), swing the purification device, take his hand and make him rise. His seed will solidify. He performs his rinsings and his evil will be removed.
Dannaya (and) Aššur-da''in-šarru, reporters... 	Tablet of Dannaya, eunuch; Aššur-da''in-šarru, reporter. Month Adar (XII), ... day, eponym year of Sagab (651).
If Leo is black: the land will not be happy.	If Leo is black: the land will become unhappy.
from Babylon to ... 	... and to Babylon ... 
Til-Barsip             	Marduk-bani-zeri             
Šarru-emuranni, 'third man' of the crown prince;	... manu, 'third man' of the crown prince;
I, Ashurbanipal, great king, mighty king, king of the world, king of Assyria, king of the four quarters (of the world); son of Esarhaddon, great king, mighty king, king of the world, king of Assyria, viceroy of Babylon, king of the land of Sumer and Akkad, who (re)settled Babylon, (re)built Esagil, renovated the sanctuaries of all the cult centers, constantly established appropriate procedures in them, and (re)confirmed their interrupted regular offerings, (who) restored the rites  (and) rituals according to the old pattern; grandson of Sennacherib, great king, mighty king, king of the world, king of Assyria, I — 	I, Ashurbanipal, great king, mighty king, king of the world, king of Assyria, king of the four quarters (of the world); son of Esarhaddon, great king, mighty king, king of the world, king of Assyria, viceroy of Babylon, king of the land of Sumer and Akkad, who (re)settled Babylon, (re)built Esagil, renovated the sanctuaries of all cult centers, constantly established appropriate procedures in them, and (re)confirmed their interrupted regular offerings, (who) restored the rites (and) rituals according to the old pattern; grandson of Sennacherib, great king, mighty king, king of the world, king of Assyria, I — 
to the Borsippeans ... 	to the teams ... 
May Šamaš and Marduk bless the crown prince, my lord!	To the king, my lord: your servant Nabû-naṣir. May Nabû and  Marduk bless the king, my lord!
Total, ... minas of silver.	Kukullayu has contracted and bought from Upaqa-ana-Arbail and from Šar-Issar for half mina of silver.
... if in the river ... 	whom they guided like a father and a mother, whose foes they killed, (and) whose adversaries they cut down; the one who the god Ea created for dominion over the world and ... in the entire ... ; (the one) who the luminary of the heavens, the god Sîn, crowned with the crown of lordship to make the foundation of the land firm (and) to organize the people; (the one) in whose hands the god Nabû, overseer of the universe, placed a just scepter (and) legitimate rod for shepherding a widespread population; ... to bring order to what is confused, to repair what is destroyed ... ; whose head they lifted to make the gods Bēl (Marduk) and Nabû reside ... ; who comprehends rational thought and counsel, who speaks eloquent (words), ... , administer of just verdicts; whose words are pleasing to the people like a mountain apple; to whom treacherous talk is taboo (and) lies an abomination; the forbearing one, the purification-priest ... ; who ... their taboo; protector ... ;
2 cavalry mounts, 	The ... cavalry mounts did not arrive, and the ... about  which I wrote to the king, my lord, are in Adia. If the king, my  lord, commands, they should cross over to Nineveh. Let king, my lord,  send a letter in reply to (this) letter. 
Concerning NN, about whom the king, my lord wrote to me, ... dwelt	Concerning the guard about whom the king, my lord, wrote to me, whom the servants of the king my lord have hired, he will depart tomorrow.
shall place 10 minas of silver and one mina of gold in the lap of Ištar of Nineveh, and shall return the money tenfold to its owners. He shall contest in his lawsuit and not succeed.	shall place 10 minas of refined silver (and) x minas of pure gold in the lap of Ninurta residing in Calah, and shall return the money tenfold to its owners. He shall contest in his lawsuit and not succeed.
... will achieve life ... 	... will leave ... 
Whoever in the future, at any time, lodges a complaint, shall return the money tenfold to its owners.	Whoever in the future, at any time, lodges a complaint and breaks the contract, whether Nabû-belu-uṣur or his sons or his grandsons, and seeks a lawsuit or litigation against Abdunu, his sons and his grandsons,
Witness Urda-Šamaš. Witness Šamaš-eriba.	Witness Ahû-amur. Witness Šamaš-šallim. Witness Nabû-šarru-uṣur.
On my third campaign, I marched against Baʾalu, the king of the land Tyre who resides in the middle of the sea. Because he did not honor my royal command(s and) did not obey the pronouncement(s) from my lips, I set up outposts against him. By sea and dry land, I took control of (all of) his routes. I constricted (and) cut short their lives. I made them (the people of Tyre) bow down to my yoke.	On my third campaign, I marched against Baʾalu, the king of the land Tyre who resides in the middle of the sea. Because he did not honor my royal command(s and) did not obey the pronouncement(s) from my lip(s), (iii 20') I set up outposts against him. To prevent his people from leaving, I reinforced (its) garrison. By sea and dry land, I took control of (all of) his routes (and thus) cut off (all) access to him. (iii 25') I made water and food for the preservation of their lives scarce for their mouths. I confined them in a harsh imprisonment from which there was no escape. I constricted (and) cut short their lives. I made them (the people of Tyre) bow down to my yoke.
Witness ... buri... 	Witness ... 
... guršî;	... greatly bless the king, my lord.
The left side of the gall bladder is attached ... 	If the left of the gall bladder is attached: your expeditionary force will slay the enemy.
— On the 1st day the moon became visible.	In Ab (V) on the 30th day the moon will become visible. If the moon becomes visible in Ab (V) on the 30th day: dispersal of Akkad.
Witness Uarbis, ditto.	Witness NN, ditto ditto.
Šulmu-... , ... ;	Witness Ubru-... , ... 
8 shekels of silver belonging to Kiṣir-Aššur, at the disposal of Nargî, son of Šamaš-na'id, from Issete.	16 shekels of silver belonging to Kiṣir-Aššur, at the disposal of Abdi-Samsi.
with the messenger of NN	the messenger of its owner's household has gone and forfeited the field of his lord's household.
until your enemies ... 	... I cried out in mourning, I raged like a lion, and my mood became furious. In order to exercise kingship (over) the house of my father I beat my hands together. I prayed to the gods Aššur, Sîn, Šamaš, Bēl, Nabû, and Nergal, Ištar of Nineveh, (and) Ištar of Arbela and they accepted my word(s). With their firm ‘yes’, they were sending me reliable omen(s), (saying): ‘Go! Do not hold back! We will go and kill your enemies.’ 
I have set (aside) ... for the king, my lord; let them fetch and consult ... 	I have set (aside) ... for the king, my lord; let them fetch and consult (the dictionary) Arû = "to lead."
1 irginu-coloured horse, 2 mares: in all 3 horses — Harmaku/ki.	1 red horse, 3 irginu-coloured horses, 14 mares: in all 18 horses, 
The money is paid completely... and field, house, garden, 2 wells are purchased and acquired. Any revocation, lawsuit, or litigation is void.	The money is paid completely. Those fields, houses and people are purchased and acquired. Any revocation, lawsuit, or litigation is void.
... the rest of ... 	... his ... in the town of ... 
Witness Tabalayu, ditto. Witness NN.	Witness Kanunayu. Witness NN.
If Gemini stand in the halo of the moon and ... 	If the sun stands in the halo of the moon: (in) all lands (people) will speak the truth; the son will speak the truth with his father.
Urad-Adad, ... ;	Just as I, when I was to ask directly (the will of) Šamaš and Adad, ... listened to their ... , so you too make the haruspices to ... !
of the chief of the fodder supplies.	When Balṭaya, chief of the fodder supplies, goes to his fate in my palace with a good repute, they shall bury him where he  dictates, and he shall lie where it was his wish. Where he lies you  shall not disturb him, and you shall not raise your hand against him, to do him evil, because he is one who has deserved kindness and  favour of the king his lord.
This night, the moon was surrounded by a halo, and Jupiter and Scorpius stood in it.	If the moon is surrounded by a halo, and Jupiter stands in it: the king of Akkad will be shut up.
Emelamanna: the ziggurat of Anu.	Egišlamšaršar: the ziggurat of Adad. The three ziggurats of Assur. 
Witness Šarru-nadin-ahhe.	Witness Issar-nadin-ahhe, ša šēpi guard.
total, the 28th day.	Total 23, consumption, the 11th day.
To the god Marduk, his lord: Esarhaddon, king of Assyria, gave (this eyestone) for his (long) life.	For the god Marduk, his lord: Esarhaddon, king of Assyria (and) king of Babylon, had baked bricks made anew for Esagil and Etemenanki.
They took booty ... 	he took ... 
Seal of Lu-šakin son of Sariuni from the city of Bit-abi-ilaya, owner of the land being sold for a number of years.	Seal of Urdu-Issar, son of Urdu-Aššur, from the town of Kankanu, owner of the field being sold for a number of years.
Month Sivan (III) ... 	Month Sivan (III), 2nd day, eponym year of Nabû-kenu-uṣur, governor of Samaria.
Nabû-šumu-iddina;	Marduk-šumu-iddina 
All this ... came in.	All this ... 
I am indeed the provider.	Let the seed of my priestly office endure (along) with the foundations of Esagil and Babylon; let (my) kingship be sustaining to the people forever like the plant of life so that I may shepherd their populace in truth and justice; (and) let me reach old age, attain extreme old age, (and) be sated with the prime of life until far-off days. Truly I am the provider.
30 horses, ṣibtu-tax;	30 horses total;
He refused the river ordeal.	Nabû, who returns and goes to Borsippa, and sprinkles about the stamens of the date palms there: (that) is because Bel went to (the place of) the river ordeal. The city has revolted against him and they are fighting in there.
... -Nabû together	... altogether
Seal of Mutaqqin-ilu, owner of the man.	Fingernail of Sin-na'id, owner of the man.
Month Tammuz (IV), ... th day, eponym year of Mannu-ki-Adad.	Month Tammuz (IV), 2nd day, eponym year of ... 
... I establish 	I, Šamaš-rēša-uṣur, governor of the land of Sūḫu and the land of Mari, brought down from the mountain of the people of Ḫabḫu the bees which gather honey — which none from among my forefathers had seen or brought down to the land of Sūḫu — and I established them in the gardens of the town Āl-gabbāri-bānî.
May the god Marduk, great lord, look upon this work of mine (with pleasure) and may he grant (a long) life to Sargon, the prince who provides for him. May his reign be as firm as the foundation of Babylon.	May the god Marduk, great lord, look upon this work (with pleasure) and may he bestow a (long) life on Sargon, the prince who provides for him! May his reign be as firm as the foundation of Babylon!
my energy to ... 	my lord to ... 
26 1/2 minas in ... 	... vineyards in Zabarra; in all 2 vineyards in ... 
Witness Adad-abu-uṣur, son of Duri-Adad.	Witness Nergal-šarru-uṣur, son of Dayyan-Adad.
... they ... us	... they removed again
Witness Azi-il, ditto.	Witness Azi-il, scribe.
... he has gone... 	And as for me, my life is indeed entrusted to the king, my lord! He (= Ṣillaya) is going to destroy and kill us all by oppression. Besides having taken my property ... , he has ... ed whatever he gave me. I keep telling him ... 
... messages ... 	... these ... 
1, governor of Arrapha;	for the governor of Arrapha, the road in question is very slow. He sets out from Zaban, and it takes him three days to get there, while I can make a round-trip to Parsua going this way.
Month Sivan (III), 16th day, eponym year of Ša-Nabû-šû.	Month Iyyar (II), 6th day, eponym year of NN.
... Sin-iqbi.	Witness Bel-šarru-ibni. Witness ... -iqbi.
Ditto by all the gods of Kilizi!	Ditto by all the gods of Nineveh!
Witness Pilaqqanu, commander-of-fifty of the mounted archers.	Witness Sangu-Issar, commander-of-fifty of the tanners of  coloured leather.
... they ... and	... these ... 
Snake ... 	of the campaign ... 
If Venus in Tebet (X) from the 1st to the 30th day disappears in the west: the harvest of the land will prosper.	If Venus disappears in the west in Ab (V) from the 1st to the 30th day: there will be rains; the harvest of the land will prosper.
Witness Urda-Inurta, scribe.	Witness Nabû-nammir, scribe.
Month Elul (VI), 28(th) day, eponym year of Šamaš-šarru-ibni.	Month Elul (VI), 29th day, eponym year of Zazaya.
... has exceeded Der ... 	... has entered ... 
If the moon at its appearance is high and becomes visible: the enemy will plunder in the land.	If the moon at its appearance stands low and becomes visible: the enemy will plunder in the land.
to Nabû-tartiba-uṣur	x+10 minas, Sin-šarru-uṣur, servant of Nabû-šarru-uṣur, governor.
May a later prince, when that wall, ziggurrat, and gate become dilapidated, restore them. (Then) the goddess Ištar will listen to his prayers.	A later prince, when the wall and its gates become dilapidated, must rebuild (them). (Then) Aššur and the god Adad will listen to his prayers. May he return my clay cone to its place.
Witness Ziziya, ditto.	Witness NN, ditto ditto.
we want to become strong ... 	to be(come) strong(er) ... 
Seal of Nergal-šarru-uṣur, ... 	to Bel-šarru-uṣur ... 
the lady Ekallitu in ... 	... the lady Barsipitu ... 
Witness Nuhšaya, ... conscript.	Witness Nuhšaya, cohort commander of the chief eunuch.
... , his son, ... s ... 	Whoever ... , whether Nabû-... , ... , seeks a lawsuit or litigation against ... , his sons, ... ,
For the second time ... 	For a second time, I took the direct road to Egypt (and) Kush. Tanutamon heard about the advance of my expeditionary force and
Witness ... ni, 2 (witnesses from) Šuru.	witness ... i, 2 (witnesses from) In-mati. Witness Azi-il,
4 heads (and) breasts of x roast sheep.	3 heads, the breasts of 4 roast sheep.
My ... , whom ... to ... 	... who ... does ... 
NN, son of Balasu, ... 	Inurta-šumu-iddina, son of Hanî, ... 
In the hidden depths of its subterranean waters I very firmly bonded reeds below (and) bitumen above with large (blocks of) limestone. I raised a plot of land that was 554 cubits long (and) 289 cubits wide out of the water and converted (it) into an empty lot. (40) I added (it) to the former dimensions of the terrace, and raised its superstructure in its entirety 190 courses of brick. I enlarged the structure of the palace to 914 large cubits along (its) longer side and 440 large cubits along (its) shorter side and (thus) I made its site bigger.	In its subterranean waters I very firmly bonded reeds below (and) bitumen above with large (blocks of) limestone. I raised a plot of land that was 340 cubits long (and) 289 cubits wide out of the water and converted (it) into an empty lot. I added (it) to the dimensions of the former terrace (and) thereby enlarged the entire terrace to 700 large cubits along (its) longer side and 440 cubits along (its) shorter side. I raised its superstructure 190 courses of brick high.
In intercalary Adar (XII/2) on the 14th day the moon will be seen with the sun.	If the moon and sun are in balance: reliable speech will be placed in the mouth of people; ... ; i.e. on the 14th day (the moon) will be seen with the sun.
... saying: "Just as	... saying: "The old one wasn't fastened."
Should Esarhaddon, king of Assyria, strive and plan? Should he summon the governor of ... along with men, horses, and army, as (great as) he wishes, and send them to collect a tribute of horses?	Should Esarhaddon, king of Assyria, strive and plan? Should he send magnates and governors, together with men, horses, and an army, as great as they wish, against Kaštaritu of Karkaššî and the troops (allied) with him, to wage war at the city Kasasu? If he, having planned, sends them,
... a libation jar ... 	... litigation ... 
I will come out ... with them	I will mark ... with the ownership mark.
... rib of ... ;	... s to ... 
Witness Mannu-ki-Adad, ... 	Witness Mannu-ki-Ninua.
... the Ru'uean(s)	... the Ru'u(a)
The 'station' is present. The beginning of the 'path' ... 	The 'station' is present. The 'paths' are two, the lower one ... 
... The vertebrae are recessed ... 	The vertebrae are recessed. The coils of the colon are double on the left, and ... 
A tablet of Datâ to her brother Šumu-iddina.	Šullumâ asks about the health of his brother Šumu-iddina.
Samsi-... ,	Sin-... , son of Bel-Harran-ilê, ... 
If the moon becomes visible on the 1st day: reliable speech; the land will  become happy.	If the moon becomes visible on the 1st day: reliable speech, the land will become happy.
A bow ... 	Witness Ubru-Issar, servant of ... 
the outpost and the garrison	On my seventh campaign, the god Aššur, my lord, encouraged me and (iv 55) I marched to the land Elam. In the course of my campaign, I conquered (and) plundered the cities Bīt-Ḫaʾiri (and) Raṣā, cities on the border of Assyria that the Elamites had taken away by force in the time of my ancestor(s). I had my garrisons stationed inside them. (iv 60) I brought (those cities) back inside the border of Assyria and placed (them) under the authority of the garrison commander of Dēr.
Disregard what happens after my stipulated term; disregard that they should think about it but turn back and go away... 	Disregard what happens after my stipulated term. Disregard that they (may) think about it, but turn and ... 
The 'mass' rides upon the left side of the gall bladder.	... The 'path' on the left of the gall bladder is present... 
The base of the gall bladder is loose on the right, firm on the left... 	The base of the gall bladder is firm on the right, loose on the left.
adjoining the vineyard of Ahu-duri,	adjoining the vineyard of Aššur-ila'i,
... anywhere	... wherever he goes ... 
You sing: “Bright Lord, king of the gods” ... 	... the god Aššur, the great lord, king of the gods ... 
Whoever in the future, at any time, lodges a complaint, whether ... kiki or his sons, and seeks a lawsuit or litigation against Milki-nuri,	Whoever in the future, at any time, lodges a complaint, whether Mannu-ki-Arbail or his sons, and seeks a lawsuit or litigation against Zarpî,
Witness Mahsi-Ia'u.	Witness Lahirayu.
... the harvest of the city ... 	... the heart of the king, our lord
Nabû-bel-šumate;	Witness Nabû-bel-šumati, scribe.
Second meal of the palace:	... in the possession of the palace
we cannot do the work.'"	I went and ... : "The inscription ... ; why did you last year ... but do not do the work?"
To the king, my lord: your servant Nabû-nadin-šumi. Good health  to the king, my lord! May Nabû and Marduk bless the king, my lord!	To the king, my lord: your servant Mar-Issar. Good health to the king, my lord! May Nabû and Marduk bless the king, my lord! May the great gods bestow lasting days, well-being and joy upon the king, my lord!
x+4 1-year-old (male) sheep,	x+8 1-year-old male sheep, 
1 ... s, the house ... ;	... that house ... all ... the goddess Šerua ... which he/they donated and (re)built their ... had become dilapidated. I removed their ruined portions. I (re)built them from top to bottom (and) restored them. I deposited my monumental inscription.
... I did not seal	... of the land Ḫimme ... against/upon ... his city ... their fortresses, their ... , of the land Ḫimme, I conquered and destroyed/plundered. Men and sheep which, like the stars of heaven, had no number, I carried off. All of their cities, of the land Ḫimme, I conquered and destroyed. I did not leave a single warrior alive. I flayed the men, their city-rulers, ... Over against their numerous cities I built into mounds the corpses of their warriors which I had felled with the sword in the battlefield ... Soldiers, armed troops, ... without number I blinded. (Thus) I achieved vengeance for my land which ... their blood/corpses ... 
50 of sown land under cultivation therein.	30 hectares of arable land, 15 hectares under cultivation therein.
40 ditto of shallots;	x baskets of shallots;
Month Tebet (X), 22nd day, eponym year of Mannu-ki-šarri.	Month Tebet (X), 25th day, eponym year of Bel-na'id, commander-in-chief.
because of the capture ... 	... is present. The 'well-being' is present. The gall bladder is like a wedge. The 'base of the throne' ... 
Just as young sheep and ewes and male and female spring lambs are slit open and their entrails rolled down over their feet, so may the entrails of your sons and your daughters roll down over your feet.	Just as young sheep and ewes and male and female spring lambs are slit open and their entrails rolled down over their feet, so may your entrails (and) the entrails of your sons and your daughters roll down over your feet.
Witness Šarru-šumu-ka''in.	Witness Marduk-šumu-iddina, ... 
To the king, our lord: your servants, Ṭab-šar-Sin, Akkullanu, and Marduk-šallim-ahhe. Good health to the king, our lord. May Aššur, (Sin), Šamaš, Nabû, Marduk ... bless the king, our lord	To the king, our lord: your servants Balasî and Bamaya. Good health to the king, our lord! May Nabû and Marduk bless the king, our lord!
Month Tishri (VII), 22nd day, eponym year of Bel-šarrani, governor of Kurbail.	Month of Tebet (X), 22nd day, eponym year of Issar-duri, governor of Arrapha (714), 9th year of Sargon (II), king of Assyria.
Witness Sin-natannu, ... 	Witness Ki-Mama, ... 
... gold for ... 	... you go ... 
the priest ... to NN	The king, my lord, should examine the crimes ... of all ... s, have compassion on those whose crimes are light like breath, count (them) among his servants, and appoint them to the royal service.
x black horses, 4 irginu-coloured ... ,	5 black horses, 5 irginu-coloured horses,
The night of the 14th day there was no observation; let the son of the king sleep.	The night of the 15th day there was no observation; let the son of the king sleep.
For the god Marduk, great lord, compassionate god who dwells in Esagila, lord of Babylon, his lord: 	For the god Marduk, great lord, compassionate god who dwells in Esagil, lord of Babylon, his lord: 
of 2 male donkeys ... 	1 male donkey ... , in exchange for 1 1/2 minas 7 shekels.
(For) the god Nanna, king of the Enlil (circle of) gods, his lord: Sîn-balāssu-iqbi, viceroy of Ur, who provides for Eridu, built Ekišibgalekura, the abode of the god Ninimma.	(For) the god Nanna, king of the Enlil (circle of) gods, his lord: Sîn-balāssu-iqbi, viceroy of Ur, who provides for Eridu, built Eašanamar, the abode of the god Enlil.
I tore down that palace in its entirety. I took much fallow land from the meadow and plain of the city as an addition (and) I added (it) to (the site). I abandoned the site of the former palace and filled in a terrace in the area of the meadow that I had taken from the river bank. I raised its superstructure 200 courses of brick high.	I tore down that palace in its entirety. (60) As an addition, I took much fallow land from the meadow (and) I added (it) to it. I abandoned the site of the former palace and filled in a terrace in the fallow land that I had taken from the meadow. I raised its superstructure 200 courses of brick high, measured by my large brick mold.
in all, 4 eunuchs.	in all, 4 estates which are given over to the the son(s) of the palace maids of the New Palace.
in all 2 men, owners of the garden being sold.	ditto Aggar, in all 6 men, owner(s) of the field being sold.
the village of Ha... ,	an estate of 4 hectares of land adjoining the road which leads from the village of Dannaya to the village of ... , a total of 5 (hectares) adjoining the field of Išmanni-... 
The upper and lower parts ... 	The upper and lower parts are equal ... 
If he sends him, will ... 	If he, having planned, sends him, ... 
Witness Issar-šumu-lešir.	Witness Issar-metu-uballiṭ. Witness Kaššudu.
... the gods will make a favorable decision about ... ; there will be rains and floods.	If the moon's position at its appearance is stable: the gods will make a favorable decision about the land.
... the king, my lord should know ... 	... of the king, my lord ... 
from Cutha ... 	Witness Adad-ereš, from ... 
The baths of Sîn: 	The new baths of Anu: 
18 ditto, ditto, the front ditto, 1 1/2 mina;	... ditto, ditto, the front ditto, 1 1/3 mina;
quickly ... " —	We shall kill this family who is not willing to go with us, and thereafter we shall go and have an audience with the king, our lord." I sent them a messenger, saying: "If you come quickly, ... "
Witness Aššur-na'id.	Witness Aššur-... 
I decorated them with silver (and) copper knobbed nails... 	The covering of the roof that (hangs) over the corridors — I made their somber atmosphere cheerful, making (them) as bright as day. (vi 40) I decorated them with silver and copper knobbed nails. I adorned the arches, friezes, and all of the copings with baked bricks (glazed in the color of) obsidian (and) lapis lazuli.
Witness Aššur-taqqinanni, ... 	Witness Aššur-... 
which in the city of ... 	... his ... in the town of ... 
Witness ... ti, son of Laiti-il.	Witness ... -hutni, son of Sin-ahu-iddina.
In the future may a later prince, when the storehouses  (and) their doors become dilapidated and he restores (them), rebuild as I did. May he restore my inscribed name to its place. (Then) the gods Aššur, Anu, and Adad will listen to his prayers.	In the future may a later prince, when that wall becomes dilapidated and he restores (it), restore as I did. May he return my inscribed name, my monumental inscriptions, and my clay inscriptions to their places. (Then) the god Aššur will listen to his prayers.
