...𒅅𒀜𒋫𒍝𒀸𒁉𒀉	... ig at-ta-ṣa ina be₂-et 	I brought ... and gave ... where ... 
𒀀𒈾𒌗𒆥𒄿𒁺𒉡𒋧𒈬𒆷𒄿𒁷𒉡𒆬𒌓𒀸𒈦𒈠𒈾𒋙𒄿𒊐𒁉	a-na {ITI}-KIN i-du-nu šum₂-mu la i-din-nu KUG.UD ina 1/2 MA.NA-šu₂ i-rab-bi 	They shall pay in Elul (VI). If they do not, the silver shall increase 50 percent per mina.
𒀭𒂗𒍪𒀭𒆬𒋻𒄑𒌍𒁇𒈬𒊕𒅆𒍝𒀜𒁲𒀀𒈾𒁹𒌋𒌋𒁺𒌋𒌋𒋙𒌋𒌋𒆳𒀸𒋩𒆠𒄊𒀴𒆍𒀭𒊏𒆠𒌋𒌋𒆳𒅴𒂠𒅇𒌵𒆠𒁀𒉡𒌑𒆪𒈨𒅗𒀸𒆪𒌦𒊮𒁉𒅗𒆠𒌋𒌋𒅆𒁇𒋢𒈠𒁍𒌦𒉌𒅗𒃻𒈨𒃻𒊑𒋗𒌓𒊑𒍝𒂊𒇷𒋙𒋗𒌓𒅆𒋙𒌓𒈨𒌍𒄭𒂵𒍜𒈨𒌍𒊒𒄣𒋾𒈬𒀭𒈾𒈨𒌍𒄷𒌓𒊮𒁉𒅆𒄿𒈨𒅆𒈠𒆪𒀉𒋾𒀭𒂊𒌋𒆠𒁴𒋗𒊑𒅅𒁄𒋙𒌋𒅗𒄒𒋥𒇹𒄿𒆠𒅔𒄑𒄖𒍝𒋙	{d}-EN.ZU DINGIR KU₃ KUD-is EŠ.BAR mu-šak-lim ṣa-ad-di a-na {m}-MAN-GIN MAN ŠU₂ MAN KUR aš-šur {KI} GIR₃.NITA₂ KA₂.DINGIR.RA {KI} MAN KUR EME.GI₇ u₃ URI {KI} ba-nu-u₂ ku-me-ka ina ku-un lib₃-bi-ka ki-niš IGI.BAR-su-ma bu-un-ni-ka ša₂ me-ša₂-ri šu-ut-ri-ṣa e-li-šu₂ šu-ut-lim-šu₂ UD.MEŠ DUG₃.GA UZU.MEŠ ru-qu-ti MU.AN.NA.MEŠ hu-ud lib₃-bi ši-i-me ši-ma-tuš it-ti AN-e u KI-tim šu-ri-ik BALA-šu₂ UGU kib-rat LIMMU₂-i ki-in {GIŠ}-GU.ZA-šu₂ 	O god Sîn, the holy god, who renders decisions (and) reveals (ominous) signs, with regard to Sargon (II), king of the world, king of Assyria, governor of Babylon, king of the land of Sumer and Akkad, the one who constructed your cella, duly look at him with your steadfast heart and (5) direct your just countenance upon him. Grant him a long life (lit.: “distant days”) of physical well-being. Determine as his fate years of happiness. Make his reign last as long as heaven and netherworld. Establish his throne firmly over the four quarters (of the world).
𒀸𒌋𒅗𒉄𒈨𒌍𒊭𒈗𒁁𒉌𒅖𒁓𒀭𒉌𒈠𒀀𒌍...𒌋𒌋𒈫𒉄𒈨𒌍𒉺𒉌...𒈨𒌍𒇻𒋙𒉡𒆷𒀀𒄿𒆷𒆪𒌋𒉌𒐊𒊺𒆗𒉺𒀀𒀀𒊭𒂗𒉆𒊭𒌷𒆗𒄩𒀸𒌗...𒌓...𒄰𒄿𒊑𒆪𒉌𒈨𒈨𒉌𒀸𒊮𒋙𒉡𒌋𒌆𒇻𒆷𒀀𒂊𒁍𒋙...	ina UGU {LU₂~v}-NAGAR-MEŠ ša LUGAL be-li₂ iš-pur-an-ni ma-a 30 ... 22 {LU₂~v}-NAGAR-MEŠ pa-ni-... meš-lu-šu₂-nu la-a i-la-ku-u-ni 05 {LU₂~v}-še-lap-pa-a.a ša {LU₂~v}-EN.NAM ša {URU}-kal-ha ina {ITI}-... UD ... KAM i-tal-ku-ni me-me-ni ina ŠA₃-šu₂-nu dul-lu la-a e-pu-šu₂ ... 	As to the carpenters about whom the king my lord wrote to me: "30 ... !" 22 carpenters ... ; half of them have not yet come. Five architects of the governor of Calah have  come to me on the ... th of ... ; none of them is working ... 
𒊭𒈗𒂗𒅖𒁓𒀭𒉌𒈠𒀀𒂊𒈬𒆥𒅗𒆪𒍮𒊒𒇻𒀉𒅗𒅗𒈠𒀀𒋧𒈬𒋫𒊑𒄑𒆜𒊭𒀀𒈾𒌷𒄭𒊑𒋼𒊭𒌑...	ša LUGAL EN iš-pur-an-ni ma-a e-mu-qi-ka ku-ṣu-ru lu et-ka-ka ma-a šum₂-mu ta-ri-iṣ KASKAL ša a-na {URU}-hi-ri-te ša u₂-... 	As to what the king, my lord, wrote me: "Organize your army and be on the alert! If feasible, take the road to Hirite by ... " —
𒇻𒌋𒄭𒂵𒆪𒉡𒅆𒈪𒉆𒈠𒀀𒈾𒆪𒄿𒈾𒊏𒀀𒈪𒃻𒆳𒉏𒈠𒆠𒀀𒊏𒄠𒂗𒁵𒅀𒂗𒁵𒅀𒌋𒂗𒉌𒋾𒅀𒂗𒉌𒋾𒅀𒌌𒌑𒁀𒃼𒀀𒈾𒃮𒁉𒁵𒂊𒁍𒍑𒌋𒋗𒉡𒇷𒄷𒄭𒋾	lu-u DUG₃.GA-ku-nu-ši mi-nam-ma a-na-ku i-na ra-a-mi ša₂ {KUR}-NIM.MA {KI} a-ra-am EN—MUN-ia EN—MUN-ia u EN—ṣal-ti-ia EN—ṣal-ti-ia ul u₂-ba-qar a-na gab-bi MUN e-pu-uš u šu-nu le-mut-ti 	How can I love by loving Elam? I do not contest my friend or my enemy. I do good to everybody, but they have done evil to me.
...𒁳𒌅	... DIB-tu 	... seize?
𒉺𒉌𒋙𒌌𒈤𒊑𒃻𒀀...𒌝𒈠𒈪𒉆𒈠𒆷𒁹𒂗...𒁳𒁉𒃻𒈪𒌅𒌅𒅆...𒅋𒋫𒀮𒌓𒆠𒄿𒉺𒀭𒈗𒈤𒊒𒀀𒈾𒂍𒁁𒉌𒉌𒂍𒁁𒉌𒉌𒇻𒄴𒄭𒋢𒅇...	pa-ni-šu₂ ul mah-ri ša₂ a-... um-ma mi-nam-ma la 01-en ... dib-bi ša₂ mi-tu-tu ši ... il-ta-nap-par ki-i pa-an LUGAL mah-ru a-na E₂—be-li₂-ni E₂—be-li₂-ni lu-uh-hi-su u₃ ... 	... If he does not like what I said, (viz.) "Why does not a single ... ?", and keeps sending words of death ... , if it is agreeable to the king, let me move back to the house of my lord! And ... 
...𒋾𒌋𒋗𒄿𒈨𒌍𒋙	... ti u ŠU.I-MEŠ-šu₂ 	... while engaged in ... or shaving,
𒋫𒍝𒊍...	ta-za-az ... 	it stands ... 
𒂊𒉡𒈠...𒉺𒋾𒅅𒀮𒉌𒋾...𒀭𒈲𒋫𒈝𒃻𒆷𒄿𒊩𒌆𒉡𒌑𒆠𒁉𒋢𒀭𒀫𒌓𒋾𒄑𒋡𒊒𒃻𒆠𒁉𒋢...𒊺𒈬𒌑𒌨𒇷𒋾𒉺𒊑𒄑𒌍𒁇𒍝𒁉𒋾...𒈾𒁷𒄑𒄣𒉻𒀭𒈹𒈨𒌍𒀀𒈾𒀭𒈨𒌍𒋗𒌓𒀭𒂊𒌋𒆠𒁴𒈠𒌨𒉌𒆳𒊕𒁺𒈬𒆠𒅔𒉺𒇽𒈨𒌍...𒋼𒀀𒀾𒊩𒌨𒆷𒀀𒋾𒀀𒄭𒄑𒈩𒁲𒃻𒄣𒌑𒀭𒈨𒌍𒀸𒀭𒂊𒌋𒆠𒁴𒊒𒇻𒄩𒀜𒂗𒇻𒌑𒋢𒋩𒁀𒋾...𒅆𒅅𒀉𒄫𒈠𒌨𒀭𒐊𒐕𒐕𒀭𒀖𒉡𒌑𒃻𒀮𒇻𒋢...𒈗𒄀𒈾𒈗𒆳𒀸𒋩𒆠𒈗𒋙𒉣𒌑𒋾𒊑𒄑𒋗𒅀𒋙𒍇𒅗𒇻𒄷𒄭𒅔𒊩𒌆𒉡𒌑𒉺𒂟𒀭𒌑𒋾𒋙𒈲𒋾𒄊𒀴𒀭𒂗𒆤𒈗...𒉣𒌑𒉺𒂟𒋙𒂦𒌓𒈣𒀏𒋓𒆠𒃻𒌌𒌓𒌓𒈨𒉺𒉌𒅁𒋗𒈬𒅋𒋙...𒀀𒈾𒂊𒄫𒂦𒋗𒀀𒋾𒃻𒈗𒄀𒈾𒈗𒆳𒀸𒋩𒆠𒈗𒋙𒊮𒋙...𒌑𒁀𒇴𒁹𒀭𒉺𒂗𒄀𒈾𒇽𒃻𒆳𒌷𒌒𒊐𒄭...𒀀𒈾...	e-nu-ma ... pa-ti-iq nab-ni-ti ... DINGIR muš-ta-lum ša₂ la i-nen-nu-u₂ qi₂-bi-su {d}-AMAR.UTU ti-iz-qa-ru ša₂ qi₂-bi-su ... še-mu-u₂ tes₂-li-ti pa-ri-is EŠ.BAR ṣa-bi-ti ... na-din is-qu NIDBA.MEŠ a-na DINGIR.MEŠ šu-ut AN-e u KI-tim ma-lik ṣal-mat SAG.DU mu-ki-in GIDRU {LU₂}-MEŠ ... kar-aš₂ nik-la-a-ti a-hi-iz rid-di ša₂-qu-u₂ DINGIR.MEŠ ina AN-e u KI-tim šup-lu-ha-at EN-lu-u₂-su šur-ba-ti ... IGI.GAL₂ it-peš ma-lik {d}-i₂-gi₃-gi₃ DINGIR reme₂-nu-u₂ ša₂ nap-lu-su ... LUGAL-GI.NA LUGAL KUR aš-šur {KI} LUGAL ŠU₂ NUN-u₂ ti-ri-iṣ ŠU.II-šu₂ suk₃-ka-lu mut-{in}-nin-nu-u₂ pa-lih₂ DINGIR-u₂-ti-šu₂ ṣir-ti GIR₃.NITA₂ {d}-EN.LIL₂ LUGAL ... NUN-u₂ pa-lih₂-šu₂ BAD₃ sirara₂ {KI} ša₂ ul-tu₂ u₄-me pa-ni ep-šu-mu IL-šu₂ ... a-na e-peš BAD₃ šu-a-ti ša₂ LUGAL-GI.NA LUGAL KUR aš-šur {KI} LUGAL ŠU₂ ŠA₃-šu₂ ... u₂-ba-lam {m}-{d}-MUATI-EN-GI.NA {LU₂}-GAR KUR {URU}-ar₂-rap-he ... a-na ... 	When ... the one who fashions living creatures ... , the judicious god whose command cannot be altered, the emminent god Marduk, whose command ... , (5') who hears petition(s), renders decisions, (and) takes ... , who gives share(s) of the (food) offerings to the gods of heaven and netherworld, the ruler of the black-headed people, who assigns the scepter of men, ... (who has) a cunning mind, circumspect, high(est) among the gods, (who)se supreme lordship induces awe in heaven and netherworld, ... (10') the wise, intelligent one, counselor of the Igīgū gods, the merciful god, whom to look ... , Sargon, king of Assyria, king of the world, the prince, his (Marduk’s) protégé, the pious vizier who reveres his (Marduk’s) divine majesty, the governor (appointed) by the god Enlil, the king ... , the prince who reveres him, the (city) wall of Sirara, which had been built from earlier days and ... in order to build this wall that Sargon, king of Assyria, king of the world, had desired ... , Nabû-bēlu-kaʾʾin, the governor of the city Arrapḫa ... to ... 
𒂊𒉡𒈠𒄿𒈾𒂍𒄯𒊕𒆳𒆳𒊏𒂍𒀭𒀸𒋩𒁁𒇷𒅀𒄿𒈾𒆍𒂖𒇻𒋾𒊭𒀭𒆗𒆗𒈾𒈠𒊑𒊭𒄣𒋾𒇻𒂊𒁍𒍑𒉈𒊑𒅁𒌓𒅗𒁇𒈨𒇷𒂊𒃲𒈨𒌍𒇻𒌑𒌑𒊺𒄑𒍣𒄑𒄑𒃶𒌌𒈨𒌍𒉌𒅁𒄭𒋗𒊑𒉌𒅇𒄑𒅅𒈨𒌍𒌓𒅗𒁇𒇻𒌑𒌑𒄯	e-nu-ma i-na e₂-hur-sag-kur-kur-ra E₂ {d}-aš-šur be-li-ia i-na KA₂ el-lu-ti ša {d}-kal-kal na-ma-ri ša-qu-ti lu e-pu-uš ne-re-eb ZABAR me-le-e GAL.MEŠ lu-u₂ u₂-še-ez-zi-iz {GIŠ}-GAN.DU₇.MEŠ ni-ip-hi šu-ri-ni u₃ {GIŠ}-IG.MEŠ ZABAR lu-u₂ u₂-kin₂ 	At that time I built high towers in Eḫursagkurkurra, the temple of the god Aššur, my lord, at the holy Kalkal Gate. I installed a bronze entrance with large steps. I erected architraves with bosses, emblems, and bronze doors.
𒁹𒉣𒀭𒉺𒊩𒋙𒐈𒌉𒈨𒌍𒍝𒄯𒋾𒁹𒂵𒉽𒐋	{1}-ṣil—{d}-PA MI₂-šu₂ 03 DUMU-MEŠ ṣa-hur-ti 01 GA PAB 06 	Ṣil-Nabû, his wife, 3 adolescent sons, 1 suckling, total 6.
𒀸𒐉𒁄𒅀𒀀𒈾𒆳𒋫𒁀𒇷𒀠𒌨𒌷𒅆𒉡𒄴𒌓𒌷𒆗𒉡𒋾𒋙𒃻𒁹𒆠𒀝𒆠𒆳𒌓𒃻𒀀𒋙𒂵𒁲𒁶𒋾𒋙...𒋢𒄠𒋛𒅗𒄠𒋛𒄑𒆗𒄑𒌆𒇻𒇧𒋾𒄵𒈨𒌆𒃰𒄑𒌀𒇷𒌑𒉡𒌓𒋫𒄩𒍣𒄑𒆠...𒉡...𒍢𒉌𒋙𒉡𒋢𒆰𒆳𒀲𒆳𒈨𒌍𒀲𒈨𒌍𒀀𒈾𒆷𒈠𒉌𒀾𒇻𒆷𒈠𒁕𒀜𒌅𒊭𒌋𒌋𒈨𒌍𒉌𒊭𒆳𒋫𒁀𒇷𒄠𒄯...	ina 4 BALA-ia a-na {KUR}-ta-ba-li al-lik {URU}-ši-nu-uh-tu₂ URU dan-nu-ti-šu₂ ša₂ {m}-ki-ak-ki KUR-ud ša₂-a-šu₂ ga-di kim-ti-šu₂ ... KUŠ AM.SI ZU₂ AM.SI {GIŠ}-ESI {GIŠ}-TUG₂ lu-bul-ti bir-me {TUG₂}-GADA {GIŠ}-til-li u₂-nu-ut ta-ha-zi IZ KI ... NU ... ṣe-ni-šu₂-nu su-gul₂-lat ANŠE.KUR.MEŠ ANŠE.MEŠ a-na la ma-ni aš₂-lu-la ma-da-at-tu ša MAN.MEŠ-ni ša {KUR}-ta-ba-li am-hur ... 	In my fourth regnal year, I marched to the land Tabal. I conquered the city Šinuḫtu, Kiakki’s fortified city. That (individual), together with his family, ... elephant hides, elephant ivory, ebony, boxwood, garments with multi-colored trim (and) linen garments, equipment, battle gear ... , their sheep and goats, herds of horses, (and) donkeys, I carried off as booty in countless numbers. I received tribute from the kings of the land of Tabal ... 
𒃻𒀸𒉺𒉌𒅗𒊒𒉘𒈠𒀜...	ša₂ ina pa-ni-ka šup-ram-ma ad-... 	Send to me those who are in your presence, so I will ... 
𒅆𒁹𒌉𒍑𒀀𒀀𒀀𒁹𒈬𒁲𒀸𒋩	IGI {1}-DUMU.UŠ-a.a A {1}-mu-DI—aš-šur 	Witness Aplaya son of Mušallim-Aššur, ditto.
...𒈬𒀭𒈾𒈨𒌍𒅀𒊭𒃻𒆠𒅖𒌑𒅆𒁍𒀸𒄑𒄖𒍝𒀜𒁀𒉌𒅀	... MU.AN.NA.MEŠ-ia ša ša₂-qi₂-iš u₂-ši-bu ina {GIŠ}-GU.ZA AD ba-ni-ia 	... my years that I sat proudly on the throne of the father who had engendered me.
𒁹𒂵𒊒𒍮	{1}-ga-ru-ṣu 	Garruṣu has taken it as a loan from Bahianu.
𒊕𒈾𒋗𒀜𒋫...	šak-na-šu at-ta-... 	have been placed in him.
𒋙𒀭𒁹𒂗𒋼𒀀𒅕𒄭𒅁𒌓𒉌𒆪𒀀𒆠𒈫𒈠𒈤𒄷𒀀𒆠𒈫𒈠𒉈𒍮𒀀𒆠𒈫𒈠	EN₂ {1}-EN—KAR-ir hi-ib-tu₂ ni-ku a-ki 02-ma mah-hu a-ki 02-ma bil-ṣu a-ki 02-ma 	Incantation. Bel-eṭir, raped captive, doubly so, runny-eyed one, doubly so, squint-eyed man, doubly so,
...𒆳𒊩𒋙𒉽𒈫𒁹𒀴𒀭𒈾𒈾𒀀...	... KUR MI₂-šu₂ PAB 02 {1}-ARAD—{d}-na-na-a ... 	NN and his wife NN, in all 2 (persons); Urda-Nanaya, ... ;
𒅆𒁹𒍣𒍣𒂊𒈫𒂊𒊭𒃲𒆠𒈲𒃲𒆠𒈲	IGI {1}-zi-ze-e {LU₂~v}-02-e ša GAL—ki-ṣir GAL—ki-ṣir 	Witness Zizî, deputy cohort commander.
𒅇𒀀𒀊𒁀𒈨𒌍𒆷𒀝𒊒𒈾𒆠𒆗𒃻𒀀𒈾𒅈𒆑𒌓𒈨𒉣𒅈𒆪𒌑𒀸𒈗𒈨𒌍𒉌𒌉𒈨𒌍𒅀𒀭𒄷𒌓𒂍𒃲𒃻𒀀𒋙𒇻𒌓𒁹𒈬𒊬𒀀𒀀𒇷𒄯𒈠𒉌𒄑𒈜𒋗𒍑𒉌𒋡𒀀𒌨𒆠𒀀𒈾𒀾𒊑𒋙𒇻𒌁𒀭𒀸𒋩𒅅𒊑𒁉𒋙𒄿𒊺𒅎𒈨	u₃ A.AB.BA.MEŠ la-aq-ru-na qe₂-reb-ša₂ a-na ar-kat₃ u₄-me NUN ar-ku-u₂ ina LUGAL.MEŠ-ni DUMU.MEŠ-ia an-hu-ut E₂.GAL ša₂-a-šu₂ lu-ud-diš MU.SAR-a-a li-mur-ma I₃.GIŠ lip-šu-uš ni-qa-a liq-qi₂ a-na aš₂-ri-šu₂ lu-ter {d}-aš-šur ik-ri-bi-šu₂ i-še-em-me 	In days to come, may a future ruler among the kings, my descendants, renovate (any) dilapidated sections of this palace. May he (then) discover my inscribed object, anoint (it) with oil, offer a sacrifice, (and) return (it) to its (original) place. The god Aššur will (then) listen to his prayers.
𒂗𒋼𒀭𒆠...𒀀	en temen an ki-... a 	lord of the foundation of heaven (and) netherworld, 
𒅆𒁹𒀭𒈦𒈬𒊺𒍦	IGI {1}-{d}-MAŠ—mu-še-zib 	Witness Inurta-mušezib.
...𒄘𒂍𒇽𒅗𒈲	... GU₂ E₂ {LU₂}-ka-ṣir 	x talents, the house of the tailor(s);
𒄿𒈾𒆠𒆗𒌷𒋙𒁁𒄷𒍮𒋫𒊓𒃶𒁲𒅅𒌅𒀸𒆍𒃲𒋙𒋫𒁺𒀝𒄑𒊬𒈨𒌍𒋙𒋫𒀝𒋃𒈫𒈨𒐐𒐋𒌷𒈨𒌍𒉌𒃻𒇷𒈨𒌓𒋙𒋫𒋫𒁄𒋫𒋫𒃼𒀸𒉈𒋫𒊓𒊐	i-na qe₂-reb URU-šu₂ mit-hu-ṣu ta-sa-kan de-ek-tu ina KA₂.GAL-šu₂ ta-du-ak {GIŠ}-SAR-MEŠ-šu₂ ta-ak-šiṭ 02-me-56 URU-MEŠ-ni ša₂ li-me-tu₂-šu₂ ta-ta-pal ta-ta-qar ina IZI ta-sa-rap 	You did battle within his city and wrought a blood bath at the city gate. You cut down his orchards. Two hundred and fifty-six cities in its vicinity you razed, destroyed, and burned.
𒐊𒌑𒊏𒀀𒋼𒊭𒍢𒄴𒊒𒋼𒊭𒄭𒋛𒋼𒀸𒁁𒋫𒋫𒀀𒀀𒄿𒄷𒆤𒆗𒉌	05 u₂-ra-a-te ša ṣe-eh-ru-te ša hi-se-te ina bat-ta-ta-a.a i-paq-qid-dan-ni 	he is handing over in installments the 5 teams of colts of the memorandum;
𒌋𒌆𒇻𒉺𒉌𒋗𒁕𒀭𒄣𒌋𒌆𒇻𒃻𒅔𒉌𒉺𒀾𒊮𒁍𒃻𒈗𒂗𒅀	dul-lu pa-ni-šu da-an-qu dul-lu-ša₂ in-ne₂-pa-aš₂ ŠA₃-bu ša₂ LUGAL EN-ia 	The work looks good; it is being done. The king, my lord, can be glad.
𒂗𒃲𒌑𒈗𒀭𒈨𒌍𒀭𒊩𒌆𒅁𒅖𒁍𒊏𒉌	EN GAL-u₂ LUGAL DINGIR-MEŠ {d}-NIN.URTA iš-pu-ra-ni 	The great lord, the king of the gods, Ninurta, has sent me:
...𒌑𒄬𒇷𒄣𒁕𒀜𒈨𒋙	... u₂-hal-li-qu da-ad-me-šu₂ 	... who destroyed the habitations of ... 
...𒇽𒀳𒀀𒁲𒌦𒈨𒌍𒋙𒁹𒀭...	... {LU₂}-ENGAR a-di UN-MEŠ-šu₂ {1}-{d}-... 	... ; NN, farmer, and his people; NN, ... 
𒀸𒌓𒈨𒋙𒈠𒍝𒇴...	ina u₄-me-šu₂-ma ṣa-lam ... 	At that time, a statue of ... 
𒁹𒆪𒈠𒀀𒀀𒀭𒉡𒋼𒄬𒄣𒌋𒋼𒋗𒉡𒋬𒌷𒆪𒌝𒈨𒄬𒄣	{1}-ku-ma-a.a an-nu-te hal-qu-u-te šu-nu TA@v {URU}-ku-um-me hal-qu 	These Kummeans are runaways; they have run away from Kumme.
