I brought ... and gave ... where ... 	... and shall send ... 
Disregard that I, the haruspex your servant, am dressed in my ordinary soiled garments, have seen fear and terror at night ... 	Disregard that I, the haruspex your servant, have jumbled the oracle query in my mouth, or changed (or) altered the proceedings... 
their seed-corn ... 	Witness ... 
I am bound by the treaty of the king my lord; I cannot conceal the words of ... 	The forts and the land of the king, my lord, are well.
If he does not pay in Marchesvan (VIII), the silver shall increase by 50 percent.	If the king does not punish one scribe, the others will not get scared.
concerning the work on ... 	... whom the king ... 
Whoever you are, O scribe, who are reading (this letter), do not hide it from the king, your lord! Speak for me before the king, so Bel (and) Nabû may speak for you before the king.	Tablet of the šandabakku to the king, his lord. Good health to the king, my lord! May the great gods of Ekur and Nippur make you achieve whatever you plan.
You throw hand-water to Sîn, ... the ‘heart’ (and) ‘wrist,’ and say: “May the heart of your god, the heart of your fate, the hand of your god and the hand of your goddess become disengaged for you!” You say (thus) and ... 	... should he take the hand of his god, or the hand of his goddess, or the hand of his city god, or the hand of a god of heaven, or the 'hand' of a god of earth,
The tail ... he offers to Aššur without soaking it in bouillon. 	... he pours out three libation bowls.
O Anunītu, exalted lady, speak good things about me in the presence of the god Enlil daily.	The messenger of the king, my lord is in the presence of  Inurta-ila'i ... 
... whose mind, Nanna, the ... , has  turned to (re)settling the wasteland.	... holds ... ; ... have passed into the possession of the people of Kannu'.
Yet Nabû-taklak has also claimed authority over all the servants of ... , saying: "They should do as I command, the house of my lord should not exercise authority (over them)."	(They are) under the responsibility of ... ; nobody else shall exercise authority over them.
To the king, my lord: your servant Nabû-šumu-iškun. 	To the king, my lord: your servant NN. Good health to the king, my lord!
Aššur and Illil — regular offerings, regular offerings are your reconciliation!	... regular offerings, the oil presser of the regular offerings, ... 
(As for) the goddess Nanāya, who 1,635 years (ago) became angry and (went to) live in a place not befitting her, as soon as the time had come (and) the fixed time had arrived, they (the gods) commanded her journey (back) to Uruk (and) her (re)entry into Eḫiliana. The king ... by the command of (the god) Aššur ... 	(As for) the sanctuaries of Assyria (and) the land Akkad whose foundation(s) Esarhaddon, king of Assyria, the father who had engendered me, had laid, but whose construction he had not finished, I myself now completed their work by the command of the great gods, my lords.
Dannaya (and) Aššur-da''in-šarru, reporters... 	Witness Aššur-šarru-ušur, chariot driver ... 
mount an attack against ... Ša-Nabû-šû and his army, and kill and plunder (them)?	... Will they mount a dangerous attack on ... , (and) kill and plunder (them)?
If Leo is black: the land will not be happy.	If the king does not punish one scribe, the others will not get scared.
from Babylon to ... 	my lord ... 
... I asked ... Belet-ili, "Why?" ... 	... — ... -ili
2 towels ... 	Witness ... 
Til-Barsip             	Marduk-bani-zeri             
Šarru-emuranni, 'third man' of the crown prince;	Kinanni-Issar, cohort commander of the crown prince;
I, Ashurbanipal, great king, mighty king, king of the world, king of Assyria, king of the four quarters (of the world); son of Esarhaddon, great king, mighty king, king of the world, king of Assyria, viceroy of Babylon, king of the land of Sumer and Akkad, who (re)settled Babylon, (re)built Esagil, renovated the sanctuaries of all the cult centers, constantly established appropriate procedures in them, and (re)confirmed their interrupted regular offerings, (who) restored the rites  (and) rituals according to the old pattern; grandson of Sennacherib, great king, mighty king, king of the world, king of Assyria, I — 	I, Sîn-šarra-iškun, great king, strong king, king of the world, king of Assyria; son of Ashurbanipal, king of the world, king of Assyria; son of Esarhaddon, king of the world, king of Assyria; (5) son of Sennacherib, king of the world, king of Assyria; descendant of Sargon (II), king of the world, king of Assyria, governor of Babylon, king of the land of Sumer and Akkad: 
to the Borsippeans ... 	Witness ... 
May Šamaš and Marduk bless the crown prince, my lord!	... greatly bless the king, my lord.
Total, ... minas of silver.	Total, 2 talents ... 
Addî, Šarru-lu-dari, Bagusu:	Fingernail of Šarru-lu-dari,
... if in the river ... 	... we arrived
2 cavalry mounts, 	... cavalryman
Concerning NN, about whom the king, my lord wrote to me, ... dwelt	... Aššur to the king, my lord ... 
shall place 10 minas of silver and one mina of gold in the lap of Ištar of Nineveh, and shall return the money tenfold to its owners. He shall contest in his lawsuit and not succeed.	shall place 10 minas of refined silver (and) x minas of pure gold in the lap of Ninurta residing in Calah, and shall return the money tenfold to its owners. He shall contest in his lawsuit and not succeed.
... will achieve life ... 	... we arrived
Whoever in the future, at any time, lodges a complaint, shall return the money tenfold to its owners.	Whoever ... , at any time, breaks the contract, whether ... or his sons or his grandsons or his brothers ... 
of their deities, the one who carries out their purification rites to perfection, whose name the god Marduk called to (re)settle the desolate cult center(s) of the gods, (and) in whose hands he placed the abandoned mounds (that were) the sanctuaries of the gods.	As soon as the emissaries had arrived, they brought the treaty tablet to the Inner City; the bodyguard and the messenger of the Palace Superintendent went with them and introduced it into the courtyard of the temple.
Witness Urda-Šamaš. Witness Šamaš-eriba.	Witness Ahû'a-eriba. Witness Šamaš-nammir, merchant.
... Niqi-Tubliš	... Tabal
x fat sheep and spring lambs;	... sheep and donkeys
I turned around (lit. “I turned the front of my yoke”) and took the road to the land Ellipi. Before my arrival, Ispabāra, their king, abandoned his fortified cities and fled far away. I conquered and plundered the cities Marʾubištu (and) Akkuddu, cities of his royal house, together with smal­l(er) settlements in their environs, (and then) I destroyed (them), devastated (them), (and) burned (them) with fire. I conquered the cities Ṣi(ṣ)ṣirtu (and) Kummaḫlum, fortified cities, together with the small(er) settlements in their environs. I detached from his land the district of the land Bīt-Barrû in its entirety, and I added (this area) to the territory of Assyria. 	I carried off people, young (and) old, male and female, horses, mules, donkeys, camels, oxen, and sheep and goats without number, then (ii 20) I brought him (Ispabāra) to nought and made his land smaller. I detached from his land the cities Ṣi(ṣ)ṣirtu (and) Kummaḫlum, fortified cities, together with the small(er) settlements in their environs (and) the district of the land Bīt-Barrû in its entirety, and I added (this area) to the territory of Assyria.
On my third campaign, I marched against Baʾalu, the king of the land Tyre who resides in the middle of the sea. Because he did not honor my royal command(s and) did not obey the pronouncement(s) from my lips, I set up outposts against him. By sea and dry land, I took control of (all of) his routes. I constricted (and) cut short their lives. I made them (the people of Tyre) bow down to my yoke.	On my third campaign, I marched against Baʾalu, the king of the land Tyre who resides in the middle of the sea. Because he did not honor my royal command(s and) did not obey the pronouncement(s) from my lip(s), (iii 20') I set up outposts against him. To prevent his people from leaving, I reinforced (its) garrison. By sea and dry land, I took control of (all of) his routes (and thus) cut off (all) access to him. (iii 25') I made water and food for the preservation of their lives scarce for their mouths. I confined them in a harsh imprisonment from which there was no escape. I constricted (and) cut short their lives. I made them (the people of Tyre) bow down to my yoke.
Witness ... buri... 	Witness ... 
... guršî;	... Arbela
The left side of the gall bladder is attached ... 	If the left of the gall bladder is attached: your expeditionary force will slay the enemy.
If he goes,  will he, be it through friendliness and peaceful negotiations, or by waging war, or by whatever tricks, recover these fortresses? Does your great divinity know it?	will they instigate insurrection and rebellion against Esarhaddon, king of Assyria, (or) act with evil intent against him? Does your great divinity know it?
son of Tiglath-pileser (II), king of the universe, king of Assyria, son of Aššur-rēša-iši (II) (who was) also king of the universe (and) king of Assyria:	Arik-dīn-ili, strong king, king of Assyria, builder of the temple of the god Šamaš, the exalted shrine, for posterity;  son of Enlil-nārārī, king of Assyria; son of Aššur-uballiṭ (I) (who was) also king of Assyria:
the gods of the king, my lord, ... 	... whom the king ... 
— On the 1st day the moon became visible.	... on the horizon the moon and sun ... 
Witness Uarbis, ditto.	Witness ... 
Šulmu-... , ... ;	... s to ... 
16 ... 	Witness ... 
... praises you, lady ... 	... and shall send ... 
8 shekels of silver belonging to Kiṣir-Aššur, at the disposal of Nargî, son of Šamaš-na'id, from Issete.	Two minas of silver by the mina of Carchemish, belonging to Sin-remanni, at the disposal of Mannu-ki-Issaran, major-domo of the viziers.
Bel-šallim, son of Yadi'-il;	Zer-lešir, son of Iddin-ahhe;
You whose mother is Mullissu, have no fear! You whose nurse is the Lady of Arbela, have no fear!	A word from their lips is blazing fire! Their utterances are valid for ever!
with the messenger of NN	The messenger
until your enemies ... 	Witness ... 
The doors which the Assyrians ... 	... whom the king ... 
I have set (aside) ... for the king, my lord; let them fetch and consult ... 	... Aššur to the king, my lord ... 
At the moment I am laid up in the town Ša-Turmiš on the Zab river. The  king, my lord, knows that I ... whatever Šarru-iqbi of Ša-Turmiš together  with the heralds have taken.	Perhaps the king, my lord, will say: "Do not cross (the river). The king, my  lord, knows that the trees are (already) cut.
(As for) the one who alters my stele (or) erases my inscribed name, may the great gods — as many as are mentioned by name on this stele — and the gods who live in the middle of the wide sea curse him angrily and make his name (and) his descendant(s) disappear from the land. (iv 70) May they not have pity (on him). May they reduce his people through famine, want, hunger, (and) plague. May they make him live in bondage under his enemy and may (his enemy) govern his land in the sight of his (own) eyes.	As for the one who removes my inscriptions and my name, may Aššur, my lord, overthrow his sovereignty; may he destroy his name (and) his seed from the land. May the goddess Ištar, my mistress, bring about the defeat of his land. May he not stand firm before his enemy. May the god Adad strike his land with terrible lightning (and) afflict his land with want.
1 irginu-coloured horse, 2 mares: in all 3 horses — Harmaku/ki.	1 red horse, 3 irginu-coloured horses, 14 mares: in all 18 horses, 
The money is paid completely... and field, house, garden, 2 wells are purchased and acquired. Any revocation, lawsuit, or litigation is void.	The money is paid completely. Those fields, houses and people are purchased and acquired. Any revocation, lawsuit, or litigation is void.
... neck ... to enter Assur, a passer-by opened his mouth and spoke to him like a man.	In Calah, the display (takes place) on the 27th and the 28th in like manner.
... the rest of ... 	Witness ... 
the kings living close by came up and ... 	the king's mother ... 
This covenant tablet of Aššur enters the king's presence on a cushion. Fragrant oil is sprinkled, sacrifices are made, incense is burnt, and they read it out in the king's presence.	The moment is good for entering into the presence of the  king, my lord. If the king, my lord, says, let him enter, and may he (= the king) see him prosper!
The eunuch (whom) my lord 'sealed' is with them at the moment.	... The night of the 11th day was cloudy; in the morning watch the moon came out.
Those who keep watch in the fort sent out my letter(s).	That is why we have written to the king, my lord.
The men of the governor of Arrapha are doing the ferrying at Bab-bitqi.	Will the magnates and governors who are going to the district of Media ... 
Witness Innanni, superintendent of Nineveh.	Witness Ubru-Issar, servant of ... 
3 seahs of grapes, 1 seah of ... ,	Witness Ubru-Issar, servant of ... 
I received payment from the chieftains of Chaldea, Balāssu of (the land Bīt)-Dakkūri (lit. “son of Dakkūri”), Nādinu of (the city) Larak, Marduk-apla-iddina (II) (Merodach-baladan) of (the land Bīt)-Yakīn (lit. “son of Yakīn”), king of the Sealand: natural, unrefined gold, silver, precious stones, ebony, ellūtu-wood, oxen, (and) sheep and goats.	I received the payment of Balāssu of (the land Bīt)-Dakkūri (lit. “son of Dakkūri”) (and) Nādinu of (the city) Larak: silver, gold, (and) precious stones. (As for) Marduk-apla-iddina (II) (Merodach-baladan) of (the land Bīt)-Yakīn (lit. “son of Yakīn”), a king of the Sea(land) who had not come before any of the kings, my ancestors, and who had not kissed their feet, fear of the brilliance of (the god) Aššur, my lord, overwhelmed him and he came to the city Sapīya (Šapīya), before me, and kissed my feet. I received as his payment natural, unrefined gold in great quantity, jewelry made of gold, a gold necklace, pearls (lit. “precious stones, produce of the sea”), beams of ebony, ellūtu-wood, ašqulālu-plant(s), amīlānu-plant(s), multi-colored garments, all types of aromatics, oxen, and sheep and goats.
The first day after we left the Palace, we stayed overnight in Ubasê. The boats are all right. On the next day, the gods of the king guarding, we shall safely arrive in the Inner City, and I shall personally bring the golden monsters ... into  the temple of Aššur.	Since I heard these words from the mouth of the Governor, that the river is navigable from Ariawate as far as the Inner City, the gods of the king willing, we shall tow the logs past the risky places and bring them to Inner City; then we shall see what lies ahead and tow them to Nineveh as best as we can. 
Witness Tabalayu, ditto. Witness NN.	Witness Ahû'a-eriba. Witness Šamaš-nammir, merchant.
If it pleases the king, my lord, let us build the temple of DN, ... and let the inscription of the king, my lord, be put therein. However, let the king, my lord do as it pleases him.	I have now written down the labour duty which Hau carries for these towns, and I am herewith sending it to the king, my lord. What are the king my lord's orders?
(He shall pay) 1/10 of the corn tax (and) 1/4 of the straw tax.	(On the) 14th day of month of Nisan (I) he led the oxen away.
If Gemini stand in the halo of the moon and ... 	... ditto, ditto, the front red, of the port; 4 ... ;
Urad-Adad, ... ;	my lord ... 
... the rites of Illilship and Eaship within ... 	... I wrote my monumental inscription ... 
At that time I delineated in the sacred area of my city Aššur (which is on) the north side, remote regions, (and) much terrain. Eighty mušaru straight down its foundation pit I reached bedrock. I built Elugalumunkurkurra, the royal residence which I love, completed it from top to bottom, and deposited my monumental inscription.	... that house ... all ... the goddess Šerua ... which he/they donated and (re)built their ... had become dilapidated. I removed their ruined portions. I (re)built them from top to bottom (and) restored them. I deposited my monumental inscription.
of the chief of the fodder supplies.	... of the opopanax of the mountains
This night, the moon was surrounded by a halo, and Jupiter and Scorpius stood in it.	If the moon is surrounded by a halo, and two stars stand in the halo with the moon: a reign of long days.
Emelamanna: the ziggurat of Anu.	Egišlamšaršar: the ziggurat of Adad. The three ziggurats of Assur. 
Witness Šarru-nadin-ahhe.	Witness Azi-il, scribe.
total, the 28th day.	If on the 1st day,
To the god Marduk, his lord: Esarhaddon, king of Assyria, gave (this eyestone) for his (long) life.	The word of Ištar of Arbela to Esarhaddon, king of Assyria:
... his ... ,	Witness ... 
They took booty ... 	my lord ... 
and after he had boasted in the middle ... 	they should intercalate ... 
Seal of Lu-šakin son of Sariuni from the city of Bit-abi-ilaya, owner of the land being sold for a number of years.	Seal of Bel-aplu-iddina, chief singer of Til-Barsip, owner of the people being sold.
Month Sivan (III) ... 	... whom the king ... 
As to the matter of the 'third man' and the chariot driver of the palace scribe, about whom the king, my lord, wrote to his servant, saying: "Tell me the truth!" — how could I speak dishonestly to the king, my lord? What have I been able to give to my lord in exchange for this favour that the king, my lord, has shown his servant? Would the patronage of the palace scribe have had such an influence over me that I would still be obliged to him? (No), I shall tell to the king, my lord, the thing that I have seen and heard.	Concerning the report on the lunar eclipse about which the king,  my lord, wrote to me — they used to receive and introduce all astrological reports into the presence of the father of the king, my  lord. Afterwards, a man whom the father of the king, my lord, knew, used  to read them to the king in a qirsu on the river bank. Nowadays it should be done as it (best) suits the king, my lord.
Nabû-šumu-iddina;	Marduk-šumu-iddina 
All this ... came in.	there is ... 
I am indeed the provider.	I have ruled the country ... 
30 horses, ṣibtu-tax;	24 Kushite horses total;
He refused the river ordeal.	... the ... s in the river.
The chariots are in my charge in Arzuhina. Those which ... 	The gods of the king, my lord, have taken action, total health ... 
... -Nabû together	... has done
Seal of Mutaqqin-ilu, owner of the man.	Seal of ... , owner of the ... being sold.
... left of the moon ... 	... whom the king ... 
Month Tammuz (IV), ... th day, eponym year of Mannu-ki-Adad.	Month ... , 23rd day, eponym year of Zazaya.
... is present, and the left side of the 'finger' faces the top of the lung. Favorable... 	... ditto, ditto, the front red, of the port; 4 ... ;
... I establish 	... and shall send ... 
Nabû-bel-šimate, the Sealander, who did not keep the favor of Assurbanipal, king of Assyria, your creature, his lord, who invoked your great name lightly, and disregarded it haughtily —	A tablet of the elders of Elam to Assurbanipal, king of Assyria, our lord. Good health to you!
May the god Marduk, great lord, look upon this work of mine (with pleasure) and may he grant (a long) life to Sargon, the prince who provides for him. May his reign be as firm as the foundation of Babylon.	May the god Aššur, king of the gods, look upon him with fury, overthrow his kingship, make his name (and) his seed disappear from the land, (and) have no pity on him.
my energy to ... 	... whom the king ... 
26 1/2 minas in ... 	Witness ... 
Why is it that I have more than once petitioned the king, my lord, but nobody has questioned me, as if the name of the land of Akkad were not good in the eyes of the king, my lord, and as if I had sinned against the king, my lord?	I have now written down the labour duty which Hau carries for these towns, and I am herewith sending it to the king, my lord. What are the king my lord's orders?
They wrote to me from the Palace: "Write down all the locusts that you collect and all that you kill, and send  (the information) to the Palace!" Now then I am writing it down and sending it to my lord.	I have now written down the names of each of them, including the towns where they come from, and am herewith sending (this information) to the king, my lord.
Witness Adad-abu-uṣur, son of Duri-Adad.	Witness Ubru-Issar, servant of ... 
I am sending him (= the tracker) to the king, my lord. The king, my lord,  may ask him. I sent him as soon as he had come back.	I have sent ... to the king, my lord; the king may act as  it (best) suits the king, my lord.
On the site of its (original) structure, I fashioned its brickwork fifty courses of brick (high). I filled in the terrace. In a favorable month, (on) an auspicious day, (vi 45) I laid its foundation(s) on that terrace (and thereby) secured its brickwork. I mixed its kalakku-mortar with beer and wine; I blended its šallaru-plaster. Its brick maker(s and) hod carrier(s) spent their days in rejoicing (and) singing. While there were joyous celebrations, I built (it) from its foundation(s) to its crenellations. (vi 50) I made its structure larger (and) its workmanship more splendid than the one of the kings, my ancestors.	With wagons of the land Elam that I had carried off by the command of the great gods, my lords, in order to build that House of Succession, the people of my land were carrying bricks there. (As for) the kings of the land of the Arabs who had sinned against my treaty (and) (x 90) whom I had captured alive in the thick of battle, in order to build that House of Succession, I made them take up hoe(s and) basket(s of earth), (and) carry kudurru-baskets. Its brick maker(s and) hod carrier(s) (x 95) spent their days in rejoicing (and) singing. While there were joyous celebrations, I built (it) from its foundation(s) to its crenellations. I made its structure larger (and) its workmanship more splendid than the previous one.
... they ... us	Witness ... 
Witness Azi-il, ditto.	Witness ... 
a well ... 	Witness ... 
... he has gone... 	4 minas ... ;
... messages ... 	Witness ... 
2 minas for the hind-part of the ... -garments.	Seal of ... , owner of the ... being sold.
These seven years I have been held in durance vile. Without the king, they have taken my estate (and) destroyed my property. I am dying of hunger in my imprisonment.	They have utilized the land of this sustenance field. The king should have them watched more strictly. They say: "It is our own sown field."
1, governor of Arrapha;	1, Nabû-šarru-uṣur, governor of Nineveh
Month Sivan (III), 16th day, eponym year of Ša-Nabû-šû.	Month ... , 23rd day, eponym year of Zazaya.
... is resident in ... And according to ... 	... is present... 
... Sin-iqbi.	... — ... -ili
Ditto by all the gods of Kilizi!	total — the god ... 
He shall bring in the month Elul (VI) and give (them) to the official of Nusku-šarru-uṣur in Arpadda.	He shall pay in the month of Tishri (VII). If he does not pay, it shall increase by a fourth.
Witness Pilaqqanu, commander-of-fifty of the mounted archers.	Witness NN, chariot driver.
... they ... and	Witness ... 
Snake ... 	Witness ... 
If Venus in Tebet (X) from the 1st to the 30th day disappears in the west: the harvest of the land will prosper.	If Orion comes close to the moon: the days of the reign of the king will become long ... 
